[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/SideQuests/Horndean/CryMeARiver/CryMeARiverQuest_TalkToCalita.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageProtection/ChestDamageOverride.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_Cancel.uasset: Package has unversioned properties but mapping file is missing, can't serializeersioned properties but mapping file is missing, can't serialize
ng file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_HoldFormation
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/CultResearcherQuestNPCManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/BearCarcass_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenTownsfolkTunic_3_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Resources.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Characters/Customization/Hair/Hair_ManBun.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/IronRock_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_SquadSwitch.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenCrusaderHelmet_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Tier2/SteeledWoodBeam.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Characters/Customization/Hair/Hair_Female_Serath.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/FoxCarcass_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Liquids.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenFarmerHat2_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_Order.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Characters/Customization/Hair/Hair_Medium_Layered.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Tier2/HayPlankChunks.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_Radius.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Seeds.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenReinforcedLeatherShoes_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/Liberation/BradfordLiberation/SuccessfullLibration/BradfordLiberatedQuest.uasset: Package has unversioned properties but mapping file is missing, can't serializesBigHatQuest_NPC_Menager_Profile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
ments/Tier2/HayPlankChunks.uasset: Package has unversioned properties but mapping file is missing, can't serial
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/MeleePickaxeDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Tier2/PallisadeWallRope.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Tools.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/FishScale_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenEliteBrigandTorso_01_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/GraveyardQuest_NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/SpearPiercingDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/MeleeBluntTorchDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/Resin_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Ammo.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_Follow.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenPathfindersHighBoots_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/Liberation/BradfordLiberation/LiberationAttempt/BradfordLiberationQuest.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/BurningStatusEffect.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/PrisonerEldricNpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/UnarmedDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_Enter.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/BoarTusk_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenTownsfolkTunic_5_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/TownBuildingDefense.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/MeleeRepairHammerDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/CuttingDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/Charcoal_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenMailRobberArmour_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/TownBuildingStorage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_Wait.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/WarriorsGuild2Quest_NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/PiercingDamageStone.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/BluntDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/Liberation/BradfordLiberation/LiberationAttempt/BradfordLiberationQuest_TalkToElderStart.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Tier2/WoodenPlankTiny.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_SquadPrevious.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/Wool_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenBrigandsThickShoes_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/TownBuildingHarvesting.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/MeleePiercingDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/BrigandPrisoner3NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/BoltPiercingDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_SquadNext.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/CottonBolt_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Characters/Customization/Hair/Hair_M_SideSweptFringe.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenRuggedShirt_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/FireDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Tier2/HardwoodPlanksLogs.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/WhereTheLoostLay_Tree_NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Deployable.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/MeleeBluntDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/CrudeFur_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenMongolBoots_2_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/MeleeAxeDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Farming.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Tier2/TinyWoodenKnob.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/SteelIngot_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/KickDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenNomadsBoots_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_GameMenu.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/MeleeCuttingDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/LubomirJuiceQuest_NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Decorations.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/RamCarcass_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/combat/AI/UtilityProcessors/SwitchWeapon.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/ArrowPiercingDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/BrigandPrisoner1NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Tier2/WindowBlock.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenMailHauberk_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/TownBuildingAnimalHandling.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_Codex.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/LambCarcass_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/combat/AI/UtilityProcessors/FightTarget.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/LostandPantsless/LostandPantlessQuestMaria_NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenPeasantTunic_1_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Ammo_Arrows.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/TheFishermensNets/TheFishermensNetsFishermanNpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_QuickSave.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/combat/AI/UtilityProcessors/BashMelee.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/ThirstDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/combat/AI/UtilityProcessors/HealAlly.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/TheFishermensNets/TheFishermensNetsFisherWomanNpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_QuickLoad.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenBrigandsThickGalligaskins_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageTypes/InsectDamage.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/RiverReed_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Medicine.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/combat/AI/UtilityProcessors/AttackMelee.uasset: Package has unversioned properties but mapping file is missing, can't serializeed properties but mapping file is missing, can't serialize
 file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenBrigandsThickGa
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/FishingTournament/MasterOfOceanNpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenEliteBrigandPants_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/combat/CombatAimOffsetConversion.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/TownBuildingGeneral.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/combat/AI/UtilityProcessors/DefendMelee.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenSpikedMace_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/CrudeStone_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_WorldMenuHold.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/FishingTournament/MasterOfRiversNpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/Liberation/BradfordLiberation/LiberationAttempt/BradfordLiberationQuest_TalkToElderComplete.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/YoungWildGoatCarcass_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/FishingTournament/TheFishermeMasterOfSwampsNpcManagerProfille.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenBrigandsGloves_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/TownBuildingCooking.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_RotatePitch.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenHalmayan_LongSpear_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/SimpleCord_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/RaidMap/FunAndGames/FunAndGamesPart2Quest_TalkToSilasVeldrin.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/HappyHour/HappyHourQuest_NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize mapping file is missing, can't serialize
st/Data/PlayerInput/Controller/IA_Controller_RotatePitch.uasset: Package has unversioned properties but mapping file is missing, can't seriali
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_QuickMenuHold.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/MainQuest/TheSigil/TheSigilPart4TalkToMichael.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/Wine_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenBrigandGloves_2_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/CryMeARiver/CryMeARiverHermitQuest_NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Roads.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_RotateYaw.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/RaidMap/FunAndGames/FunAndGamesPart2Quest_TalkToGarethVander.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/MainQuest/TheSigil/TheSigilPart2Hidden.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenQuiltedVestOverGambeson_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Tier2/TowerStairs.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/WhitePearl_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_CallToArms.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Characters/Customization/Hair/Hair_Short_Layered_Bob.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/RaidMap/FunAndGames/FunAndGamesQuest.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/GenericCarcassCodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/BrokenItems/BrokenTravelersTrousers_Auto.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Controller/IA_Controller_WorldMenuTap.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/combat/HeavyAttackHitDisplacement.uasset: Package has unversioned properties but mapping file is missing, can't serialize
