[url][key][hash],source,Translation
[][0A9D471B42F0D260E0AFCDBBB8EA6E61][1579568498],"With the oppressive shadow of Lord Ashbourne finally lifted, Blackridgepool can embrace a night of tranquility. As the stars shine above, we look forward to a new dawn that symbolizes our hard-won freedom and resilience.",
[][0AA0FF9C4AD7760901110FB5AB1D8A6F][2281765728],Market,
[][0AA16AF24B3161580BAF4CBDD767E2BC][2513899375],Can be crafted at Armourer.,
[][0AA3917545538BD1FDEB05B3F729C7EF][3928987885],Goatee_M_Soulpatch,
[][0AA553B340584E81948DFEA37B875B65][1240106199],Find the wolves,
[][0AADB2B246218A7F61625D84F6A9535F][4281174051],Cragkeep Prison Guard,
[][0AE6BF244C27FC9AC2C61BA84E480BE8][911862748],A Banquet of Gold,
[][0AE84A6C41E789637D13E197B393B1BD][2308008529],Kill Kug's Bodyguard,
[][0AEB4A994F40FBB9F1574FA6C522A5A1][1238873615],Can be crafted at Weaver Loom,
[][0AF7A5F84B1922E001A4838D724A0247][35973946],Palisade Wall with Battlements,
[][0B210ACF441707E55CAAAE81446D33E2][1062681964],Village Cattle Pens,
[][0B3088A646E128EC1D4F24B2CE0C940B][1585880714],Meet Berthold Kug Viceroy of the Cragkeep.,
[][0B359F594F3C31EFABA8588195168ECA][2737968425],Lodge,
[][0B446AF342C263A98BF4A0AF474C7200][238230562],"Cotton fabric used to make armor, clothing, and other soft but durable fibers. Crafted by skilled artisans.",
[][0B6359A542CEA0D5AC4DF6881B1EB4EA][2292979584],Bandits,
[][0B81BB584B2B2D4AC8FF358E0D51810E][92083393],She told me to come back today to receive my reward.,
[][0BA21646422CC6CA0AADAD935E10A3C0][1016127711],Crossbow Aim Speed,
[][0BB9A0C240E0A69A98969DBE979321A7][2663219704],"I brought the bandages to Horndean's healer to help with the injured workers. Now, she also needs me to bring cloth. I should be back once I have everything.",
[][0BEA9810466E53E2001D76AD8AC529B6][3908127191],Hobb,
[][0BF7394745201D4EC065BCA1ED340F0C][740854936],The best way to see in the dark.,
[][0C0590184743427C1E3E4887A21C88A3][2089058190],I relayed back to Viktor about my conversation with Baltasar. My decision will surely affect my reputation with the Halmayans.,
[][0C0E576C4FFA035C6C166B8556F52B3D][2448369942],Falsgar Shield,
[][0C1986C1437BFEDDF0E9A8B9B99DD0F7][3999700594],Iron Bolts,
[][0C3C57A74915160032929E90950744A2][1770316926],Blood and Gored,
[][0C42BD3E4310C446A914D28C978EFC52][3858551326],A space to grow various plants.,
[][0C61613345EF52C79FE18C838F9EF0EC][916248971],Find the bandits who kidnapped the carpenter's daughter.,
[][0CBD349446342133893D0DAE4358FA42][1991768892],Probably not the best idea to eat this. Made by keeping over a campfire for too long.,
[][0CE583E9489512FC78775E8A36992950][2042773433],Find the Husband,
[][0CE95CF7432A4E266523CBB0571C2D07][2748324681],Wait until dusk,
[][0CEDE3634BCAD55AABE909A6CFFD4826][2564043823],Graveyard Stranger,
[][0CFB0D6948E138D9D06E71A0E8873654][985520295],Falsgar,
[][0D0BD9E4448D312206BB8484ECD7B2BA][757842274],"Look for Maria in the Tavern, close to Lower Town.",
[][0D0D5BB845C99D6C4BA64F993F5B2601][2198288747],Do you have any tasks for me?,
[][0D18D9474EC2A9218BF9079BB77C1C61][209178701],Rawhide Jerkin,
[][0D2415D245E173A5C1BFB991FE56802D][2162161660],Spiked Mace,
[][0D3881C44B5E578D92355E9A84F66C4E][151990807],Earthworms,
[][0D39F07D441CC260212BB6B69D50C76F][3922268657],Bearded Mullet,
[][0D44DA9646DCCCBE9A1C8CBA078AF9E4][3820742769],Regarding the task you gave me...,
[][0D4B9AB94341B2A8FEDA31B67F9ECC8B][1401129284],Beard_L_Messy,
[][0D5EA0D4416955AB04EFC58B5F93B46F][1467026035],Townsfolk Tunic,
[][0D6BD677449BF93B95F2D89EC92F17D9][563105794],Track the gambito to the outhouse.,
[][0D6D15994B176C025D1328B2176F35EA][3987980054],Now the blacksmith has everything he needs to finishe the job. I should be back tomorrow when everything is done.,
[][0D74DAB541CA96C0955431919587EF6F][2233157606],Blackburn,
[][0D7E52D148B58AC60F15B3B512347B48][3260884698],Labourer,
[][0D95DF2B4F69427A236346BC842B10B9][1742282298],Hard Truces,
[][0D9A36A744DF092EC65424AB3782A8F6][3576450404],Talk to {Npc},
[][0DA3AB3F4336E61970DE0F957EE67C78][3793298856],Food stored here spoil more slowly than in regular storage.,
[][0DAF35C54019FFE43AE3B49FAB1B26EE][884832068],Fresin,
[][0DB1F6194798AF5738593293F9009A0C][1731682255],Baker,
[][0DB82959421357C61BE3CA8D9FB64734][1457903558],Villager clothing.,
[][0DB9080D41D9D7E917DCB992A8DBC0C9][1715059179],Jan,
[][0DC168AE45EE59CCD4331C9F4A914D1A][2513899375],Can be crafted at Armourer.,
[][0DCFC30442DFBBFD16F87C85D689E327][1776190807],Beggar Tunic,
[][0DDE312441D837BB9C461FAC5F3F047D][348586790],Can be crafted at Caravan station.,
[][0DE924C746F087D52ADCDFB672EBBCDE][503629504],Fine Longsword,
[][0DF8CECD4121EDA97CC5E4A21A3B1FA2][3067318440],Can be crafted at Tanner's Hut,
[][0E1EB3854972660324C2A0BDD9C28D11][2643110293],Incubating,
[][0E3199C84D1EDC3B554B6C91473723EC][619897438],Find Falsgar prison,
[][0E3A3EAB4ED914A2C016DA8227C25EBE][2775890435],Knight Plate Cuirass,
[][0E3B563B4A1545F1E663FD8A91BA7865][441436786],Deliver items to Mark Tholy,
[][0E3BE9D84A998FE58E1890867F63B73D][1689098704],Friends in High Places,
[][0E6686EB48C78CCF1AB9F6A0DF630DFA][3975842787],The Lesson They Taught,
[][0EC2EA904966BB16D05D6EB635E85881][25444397],Terricus,
[][0ED22D9D4C9EABF51F32338F0A320AD7][4074636312],Training Ground,
[][0ED8526B42A0014B6632BDA7B85F6C77][1991605176],Weak Robber's Garb,
[][0EE0D2B1461C8E8A89EDCDB643667954][4114563262],Find the new stockpile Miller was talking about,
[][0EE74D534E64330D3E5E5FBD157FE7FB][870484808],Nettle Seeds,
[][0EEB2AF942268DBC0C415CA88689DC83][2513899375],Can be crafted at Armourer.,
[][0EFC83F1482DF2CCB524ECA0127BDDAC][2142820878],"A grim trophy of the wild's merciless challenges. While field skinning can yield a modest return, processing it at a Butchery unlocks far greater rewards.",
[][0F2477324A8468E4D2A1DEBF7A7D5C46][2311444335],Perfect for adding a touch of nature to your village paths and corners.,
[][0F2C12644E1121813A52E2A7669724DA][1968640120],Medicine for Elder,
[][0F35A1A447F9AD6AE54DD3A1CCCFE5FC][3067318440],Can be crafted at Tanner's Hut,
[][0F4E2CCD4354F6BB0ACD9F92F1C01097][2547686558],Read the Inscription,
[][0FB6003E4FA17F4513B8B08AD07E163D][2699764041],Can be crafted at Blacksmith,
[][0FCB4D014CF2531A46E2C3B738CE77CB][2595000794],Village Game Table,
[][0FED6F7841E8DD7BC895AC8B0326F1D0][3376184745],Recruit {Npc} for the merchant,
[][102344674A10A1CA46632C81817D8EA7][1457903558],Villager clothing.,
[][102F68B2492C0395A3448BBB861B87CF][2410681552],Linen,
[][105D188849D438EF3E198E8869F94A7D][1232448748],Quilted Trousers,
[][1078B0CA45B7AFA5E1E941AC7F415FA0][490569887],Bag,
[][10A316A34869F000C426F79EED7637D2][1354259411],Can be crafted at Toolmaker,
[][10CA27EA4364A179F82DBCB05262A522][1211248528],"Increases prosperity by providing livestock for food and village sustainability. If the village has an Animal Merchant, it also enhances the quality of animals available for purchase, improving their attributes and overall value.",
[][10D4C0874C561B785F3BC289BCCD24BB][3349519183],Agility,
[][10E7D1314D7564ADB4B566BF3B35E63C][1730224021],"Build the Bakery, where the scent of freshly baked goods fills the air. From hearty loaves to sweet pastries, find comfort in every bite crafted with care.",
[][10EDEC1140FD09DD6FBFCCAB497D7710][1092022015],Falsgar Boots 1,
[][10F8CBF1458A2754AD1CD5836AD58710][1699653719],Handwraps,
[][10FA3F294DC7A691A13A40BD4927313B][2745468400],Earn {TrustLevel} trust level from people in {VillageName}.,
[][1110A8614633605594E2F8B307DA3A9D][826026353],Thatch,
[][11122A0C4338895DA6ACABA34C270B62][2349511704],Heavy Mittens,
[][111DD5224B55FDCFA5B62BB763F0E054][3482395305],Pious Reward,
[][116B48444D4BB03F6C18C2921936B2A2][1457903558],Villager clothing.,
[][116E580243E156F3215E03927D905250][862307966],Leopold,
[][117337B641E2471625318282E7D8848F][1348857225],Palisade wall with improved defensive positions.,
[][11916EF84BE223BF713D0FBE02B9C759][3597405662],Stranger,
[][11BA0791456E1A435169F2879EC13EF5][2699764041],Can be crafted at Blacksmith,
[][11C169054B462AF5DC6334A77DC328C9][1869863776],"Can be crafted at Shack, Advanced Workbench",
[][11C17D904C9945E9137CE0AC841D87B0][1238317112],Open and examine the chest,
[][11FD8BDB4398A39AC7DB96A8E3F8BDBF][2634375430],Shrines Continuation,
[][120526B64DB19C3A9117ACAC49777EDD][3317932852],Scout's Boots,
[][120A8ECA465E683846ACC5B1ECC8B425][3292972235],Fuel,
[][1212492140064FAC855973B15C15A5BC][67353725],Game Table,
[][12163AE34C8E02841E910CA87366577B][1315373699],Village Palisade Gates,
[][1251BE9E44C862768483ADBEE7C4D64E][2513899375],Can be crafted at Armourer.,
[][12525C0840D643E938BD54B1BE1B7C3D][2699764041],Can be crafted at Blacksmith,
[][125DDD574630CB0FF1FE92B41B08A181][2790520362],Civilian Clothing,
[][1260611D4635427EA026E086867767FD][522112893],"Used for smelting copper, tin and bronze ingots. Requires wood as fuel.",
[][1270826A423F2D7D6B955FAA6DDF5D2C][693970429],Brigands,
[][12743DFF42CA3FDD7114A8BA8B6BF802][2292979584],Bandits,
[][1284798B4781FE8D4816D7B891C54AE1][4280423442],"Once the nurturing heart of the sty, now a promise of provision. While field skinning can yield a modest return, processing it at a Butchery unlocks far greater rewards.",
[][12A77AFE47CE7B96183EF39D3C9F5701][3777401844],I delivered the iron to Teodor. Hopefully this will help him fulfill the demanding order he has on his hands.,
[][12A86933407524C20B9A9DBF7BB4296B][3836020465],Mattias,
[][12C6E80E4D44F2851C9CA4BF35F732F7][2623812322],Snowpetal Seeds,
[][12E2E39541C39873CC505E924D599E1A][3127793468],"The bell has been rung, echoing throughout the village, however now I must confront Ashbourne's men who threathen our resolve.",
[][12F65B8D4F49C5DA9FB0E9B576AA9622][2513899375],Can be crafted at Armourer.,
[][12F917C04E02DFF81E08D781304067D4][3078162380],Arms for the Unknown,
[][1324BDB647F25920D9A867965E854FA9][1297323796],Warriors Guild,
[][1344B9BA48BF2496548BDA90229B2F91][633720436],Deliver Solstice Delirium,
[][1354CA264A0060D14AD1DBBC8F6E1AC9][1402714297],Basic building material much stronger than wood. Used in higher-tier construction. Scattered around good soil.,
[][13631194462D9DDF299F3ABA44F3BC8E][2007474445],Occurs in oceans. Typically weighs between 20 and 80.,
[][136449D84467DCA73DE84698A1D0FE7E][3554388682],"I found the husband still alive, although it might not have been for long. I need to get rid of those boars.",
[][137960B949E80C1E9B4863AE890EAD19][1030550296],Bakery,
[][137D7CEB42D61C971C1372BA2DF805B5][255365991],Bull,
[][13A815774DE8ABFE4B1E1EB968144E20][2606583275],Wait until tomorrow to check with {QuestGiver}.,
[][13ACE23A4B1B94E2ADD08394B8639D88][1238873615],Can be crafted at Weaver Loom,
[][13B9CE4D41BB19BEEAC2278F6A726CFB][1492207144],Awaiting orders,
[][13BE20BE4B3938CED4CECBBF43F82C48][1858502725],This is a first step in the plan of overthrowing Kug. We will go through the slaves tunnels and exit at the port to cut off the Falsgar reinforcements and also kill the betrayer that caused the massacre at the Town Gathering.,
[][13C4A50A4664F7934ECFD8920C744704][580830842],"A growing tree, ready to be planted in a forest by your worker.",
[][13CF4DF34F3DE5B358DF85833BFCEA0F][3020611641],Rugged Coif,
[][13D0F48D43E7FFA0D8C21C842CBFFDCB][1182324872],Plate Boots,
[][13E9F844425342E23BC211BF9A90B35D][539889732],"The lifeblood of medieval sustenance, these bountiful crops serve as the foundation for bread, porridge, and other hearty meals. Can be grown on on a farm.",
[][140918C14E451905BB450281BFF6F885][1646736419],Talk to {Npc}.,
[][1412A7C7416D20A93BE5088CBB2D2A7E][2708592375],Mining Hut,
[][142C308E489C9BBD5866A9BF4BEAB768][2387825798],"The Bradford merchant asked for my help. Apparently, a bandit patrol had been terrorizing the trade routes, stealing his goods and scaring off his customers. The merchant promised a handsome reward if I could deal with the bandits.",
[][1442F6054CABE5483697B5A64E504C5A][1978107295],"Paws, Pestilence and Predicaments",
[][145E1F914C3467A7C05D178137886B3B][3020674196],Leave the Halmayan Sigil,
[][14789DBD4A05A5E9EB8E92B155837F79][3496851969],Hair Updo Braids,
[][1479095942D8DF97091B16A4CDC00577][3067318440],Can be crafted at Tanner's Hut,
[][1483FA9E4433434DE22923A00B6239D3][1094205753],Water Collector,
[][14BBE83F4B43441FA0D6258561F5BFE8][2570815710],Eyebrows_M_SlightArch,
[][14D5337349B9335E63D6D08042762726][1666590412],Can be smelted into Steel to produce advanced items. Can be mined from iron rocks in mountains with a pickaxe.,
[][14E90A994AD000FAE2D3A397D5CCD006][2453200448],Kill Imran,
[][14F6C10F46DC07F3FCDAB390A7175C71][3703834206],Can be eaten raw or used to cook advanced dishes.,
[][1510CA834AEF5E345DCAEABC486152B6][3826140356],Lancelin,
[][151D6165446BBCBBB8719CA89F7DD35C][2298583633],Kill guards,
[][152D0C734528B366432C2D9D56497AEB][1882009581],Robber's Beeches,
[][1536EF1F49D6FB19E7EF4BB7EF9B3E35][1238873615],Can be crafted at Weaver Loom,
[][15536ECD4911162841907297B88D38ED][3895361214],Jaques,
[][155790ED487596A8A6730EAB3B0C2905][1848485085],Regarding the ingredients...,
[][155D76DB44CAD32D982BD1A8E7CD3485][494457410],Peasant Clothing,
[][157CF229490702DE80250DB8ED2A8566][3890527630],A small workshop where you can craft decorative items to make your village cozy and inviting.,
[][158CC0184E9CCA4E292F308BB929D764][1859415519],Cows,
