# Slovníček pojmů pro českou lokalizaci Bellwright
#
# Formát:  anglicky <TAB> česky <TAB> další přijímané tvary (oddělené čárkou)
#
# Třetí sloupec je tu kvůli skloňování - kontrola hledá v překladu kterýkoli
# z uvedených tvarů, takže stačí uvést kmen nebo pár pádů, ne celé paradigma.
#
# Styl: tykání hráči, mírně starosvětský slovník, ale čtivý. Kde existuje dobové
# české slovo (lapka, dýmačka, prošívanice), má přednost před kalkem z angličtiny.
#
# Tenhle soubor je odhad postavený na názvech assetů ve hře. Až budeme mít
# skutečné anglické texty z ModKitu, projdeme ho a doplníme podle reality.

# --- osada a lidé -------------------------------------------------------------
settlement	osada	osad, osadě, osadu, osadou
wheat	pšenice	pšenic
rye	žito	žit
flour	mouka	mouk
bread	chléb	chléb, chleb
firewood	palivové dříví	palivov, dříví
ingot	ingot	ingot
tool	nástroj	nástroj

# --- obchod a logistika -------------------------------------------------------
trade	obchod	obchod
trade post	obchodní stanice	obchodní stanic, tržišt
merchant	kupec	kupc, kupec
cart	povoz	povoz, vozík
caravan	karavana	karavan
price	cena	cen
goods	zboží	zboží

# --- boj ----------------------------------------------------------------------
combat	boj	boj
battle	bitva	bitv
ambush	přepad	přepad
raid	nájezd	nájezd
party	družina	družin
damage	poškození	poškoz, zranění
armor	zbroj	zbroj
weapon	zbraň	zbran, zbraň
shield	štít	štít
buckler	pěstní štítek	pěstní štít
sword	meč	meč
saber	šavle	šavl
spear	kopí	kopí
polearm	dřevcová zbraň	dřevcov
axe	sekera	seker
mace	palcát	palcát
bow	luk	luk
crossbow	kuše	kuš
arrow	šíp	šíp
one-handed	jednoruční	jednoručn
two-handed	obouruční	obouručn
unarmed	beze zbraně	beze zbraně, holýma
helmet	přilba	přilb
gambeson	prošívanice	prošívanic
mail	kroužková zbroj	kroužkov
block	kryt	kryt, blok
parry	odražení	odraz, odraž
stagger	vyvedení z rovnováhy	rovnováh, otřes

# --- činnosti -----------------------------------------------------------------
hunting	lov	lov
skinning	stahování z kůže	stahován
butchering	porcování	porcován
fishing	rybolov	rybolov, ryba
farming	zemědělství	zemědělstv, hospodař
foraging	sběr	sběr
mining	těžba	těžb
logging	kácení	kácen
harvest	sklizeň	sklizn, sklizeň

# --- svět a úkoly -------------------------------------------------------------
quest	úkol	úkol
objective	cíl	cíl
reward	odměna	odměn
codex	kodex	kodex
journal	deník	deník
map	mapa	map
region	kraj	kraj
territory	území	území
influence	vliv	vliv
control	nadvláda	nadvlád, ovládá
camp	tábor	tábor
outpost	základna	základn

# --- rozhraní -----------------------------------------------------------------
inventory	batoh	batoh, inventář
equipment	výbava	výbav
container	bedna	bedn, nádob
settings	nastavení	nastaven
save	uložit	ulož
load	načíst	načíst, načt
quit	ukončit	ukonč
back	zpět	zpět
confirm	potvrdit	potvrd
cancel	zrušit	zruš

# ---------------------------------------------------------------------------
# Doplněno po první revizi: víc tvarů, aby kontrola nehlásila falešné poplachy.
# Pozdější řádek přebíjí dřívější, takže tyhle nahrazují původní zápisy výše.
# ---------------------------------------------------------------------------
equipment	výbava	výbav, vybaven
harvest	sklizeň	sklizn, sklizeň, sklid, sklíz
building	stavba	stavb, budov, stavěn, staveb
hide	surová kůže	surová kůže, kůž, skrýt, skrý, schov
experience	zkušenosti	zkušenost, zážit
town	město	měst, radnic
quest	úkol	úkol, vývěsk
combat	boj	boj, bojov, střelb
crafting	výroba	výrob, vyráb
research	bádání	bádán, výzkum, vybádan
trade	obchod	obchod, kupec, kupc

# Nové pojmy zavedené v dávce "stavby, úkoly, dovednosti"
renown	věhlas	věhlas
trust	důvěra	důvěr
prosperity	prosperita	prosperit
loyalty	věrnost	věrnost
wrath	hněv	hněv
tier	úroveň	úrovn, úroveň
sapling	semenáček	semenáč
bait	návnada	návnad
squad	oddíl	oddíl, oddíl

# "hide" se z kontroly slovníku vyřazuje - má dva různé významy (kůže / skrýt)
# a hlídá ho příkaz "bwloc homographs", ne tahle tabulka.
hide	surová kůže	surová kůže, kůž, skrýt, skrý, schov, pokrýv
