# Obsah hry, dávka 01 (abecedně A) - originál <TAB> překlad
# Vkládá se příkazem "bwloc bysource", takže jeden řádek pokryje všechny výskyty.
#
# Vlastní jména (Abel, Adam, Accrington, názvy hospod) se záměrně nepřekládají.
# Názvy úkolů se překládají volněji - jde o titulky, ne o věcný popis.

# --- dialogové značky a volby ---
(BACKSTORY)	(PŘÍBĚH)
About the roasted mushroom you wanted…	Ohledně té pečené houby, cos chtěl…
About the shovel...	Ohledně té lopaty…
About the shovels you asked me for…	Ohledně těch lopat, cos po mně chtěl…
About the shrine...	Ohledně té svatyně…
About the stash...	Ohledně té skrýše…
About the stash…	Ohledně té skrýše…
About the straw you asked me for…	Ohledně té slámy, cos po mně chtěl…
About the stuff you asked for...	Ohledně těch věcí, cos chtěl…
About the stuff you asked for…	Ohledně těch věcí, cos chtěl…
About the sword.	Ohledně toho meče.
About the sword…	Ohledně toho meče…
About the thief...	Ohledně toho zloděje…
About the tools.	Ohledně těch nástrojů.
About the tools...	Ohledně těch nástrojů…
About the treasure...	Ohledně toho pokladu…
About the vendor....	Ohledně toho obchodníka…
About the witch problem...	Ohledně toho trápení s čarodějnicí…
About these arrows…	Ohledně těch šípů…
About things you need to fix the mill…	Ohledně toho, co potřebuješ na opravu mlýna…
About this fertilizer…	Ohledně toho hnojiva…
About this task you gave me…	Ohledně toho úkolu, cos mi dal…
About those bandits...	Ohledně těch lapků…
About those brawlers...	Ohledně těch rváčů…
About those charcoals...	Ohledně toho dřevěného uhlí…
About those herbs for the sick cow…	Ohledně těch bylin pro nemocnou krávu…
About those items you wanted…	Ohledně těch věcí, cos chtěl…
About those logs and cords…	Ohledně těch klád a provazů…
About those planks and nails…	Ohledně těch prken a hřebíků…
About those travel signs…	Ohledně těch rozcestníků…
About those trophies you wanted…	Ohledně těch trofejí, cos chtěl…
About those weapons you wanted…	Ohledně těch zbraní, cos chtěl…
About what you asked…	Ohledně toho, cos chtěl…
About your debt.	Ohledně tvého dluhu.
About your debt...	Ohledně tvého dluhu…
About your friend.	Ohledně tvého přítele.
About your friend...	Ohledně tvého přítele…
About your husband…	Ohledně tvého manžela…
About your little problem...	Ohledně toho tvého trápení…
About your problem...	Ohledně tvého trápení…
About your sword…	Ohledně tvého meče…
About meeting the Blackridgepool Elder…	Ohledně setkání se stařešinou Blackridgepoolu…
About meeting with this trader…	Ohledně setkání s tím kupcem…
About the Horndean Elder...	Ohledně stařešiny Horndeanu…

# --- názvy úkolů ---
A Banquet of Gold	Hostina ze zlata
A Cask Too Far	O sud navíc
A Cut Above	O třídu výš
A Different Outcome	Jiný konec
A Father's Grief	Otcův žal
A Father's Message	Otcův vzkaz
A Fool and His Limbs	Hlupák a jeho údy
A Healing Touch	Léčivý dotek
A Hearty Request	Prosba od srdce
A Light History	Krátká historie
A New Home	Nový domov
A new boat	Nová loď
A Plague	Mor
A Remedy for Remembrance	Lék na vzpomínky
A Shot at Redemption	Šance na vykoupení
A Tall Tusk	Pořádný kel
A Toast to War	Přípitek na válku
A Village in Need	Ves v nouzi
A village in need	Ves v nouzi
A Walking Target	Chodící terč
A Way Out	Cesta ven
Against the Grain	Proti srsti

# --- popisy předmětů a staveb ---
A Bucket With Metal Handle.	Vědro s kovovým uchem.
A Cut Above quest item.	Předmět k úkolu O třídu výš.
A key to the Isandro's mansion	Klíč od Isandrova sídla
A note about roaming mad warrior.	Zápisek o potulném šíleném válečníkovi.
A potion that helps heal wounds.	Lektvar, který pomáhá hojit rány.
A potion that helps with pests.	Lektvar, který pomáhá proti škůdcům.
A simple bed to get through the night	Prostá postel, aby ses přenesl přes noc
A simple wooden gate.	Prostá dřevěná brána.
A space to grow various plants.	Místo pro pěstování různých rostlin.
A space to grow various trees	Místo pro pěstování různých stromů
A space to grow various trees.	Místo pro pěstování různých stromů.
A special glue stolen from the bandits.	Zvláštní klih ukradený lapkům.
A wall made of tightly spaced logs.	Hradba z těsně sražených klád.
Abel's Pants (Quest Item)	Abelovy kalhoty (předmět k úkolu)

# --- rozhraní ---
 None materials selected	 Nevybrán žádný materiál
 Optional	 Volitelné
 seconds	 sekund
1 Remaining Use	Zbývá 1 použití
1 Warehouse	1 skladiště
5 Buildings	5 staveb
4 guards	4 strážní
4 workers	4 dělníci
99 guards	99 strážných
99 reservists	99 záložníků
99 residents	99 obyvatel
5 armies are attacking	Útočí 5 vojsk
5 Bandits were spotted.	Bylo spatřeno 5 lapků.
5 Brigands were spotted.	Bylo spatřeno 5 lupičů.
000/999 space	000/999 místa
[Hold]	[Podrž]
[hold] Craft	[podrž] Vyrobit
[hold] Options	[podrž] Možnosti
Accept and Continue	Přijmout a pokračovat
Action	Akce
Actions	Akce
Active	Aktivní
Add	Přidat
Add Order	Přidat zakázku
Add squad	Přidat oddíl
Add stop	Přidat zastávku
Add tab	Přidat kartu
Add To Reserve	Přidat do zálohy
Age	Věk
Agility	Hbitost

# --- technologie a stavby "Advanced" ---
Advanced Animal Feed	Vylepšené krmivo
Advanced Armorer	Vylepšený platnéř
Advanced Armors	Vylepšené zbroje
Advanced Cart Station	Vylepšená stanice povozů
Advanced Clothing	Vylepšený oděv
Advanced Decorations	Vylepšené ozdoby
Advanced Fiber Clothing	Vylepšený látkový oděv
Advanced Fletcher	Vylepšený šípař
Advanced Gear	Vylepšená výstroj
Advanced Helmets	Vylepšené přilby
Advanced Pit Saw	Vylepšená jámová pila
Advanced Research Desk	Vylepšený badatelský stůl
Advanced Shieldmaker	Vylepšený štítař
Advanced Tailor	Vylepšený krejčí
Advanced Toolmaker	Vylepšený nástrojař
Advanced Weapons	Vylepšené zbraně
Advanced Weaponsmith	Vylepšený zbrojíř
Adventurer's Garb	Dobrodruhův šat
