# Obsah hry, dávka 10 (F-H) - originál <TAB> překlad

# --- repliky ---
Greetings.	Buď zdráv.
Go to Cragkeep Bay	Jdi do zálivu Cragkeep
Go to find the bottle near the tavern	Najdi láhev u hospody
Go to Rustshore Tavern and look for the bottle	Jdi do hospody v Rustshore a hledej láhev
Go to Sorwynn’s shrine.	Jdi ke svatyni Sorwynn.
Go to the cave with the researcher	Jdi s badatelem do jeskyně
Go to the meeting spot with Cassandra	Jdi s Cassandrou na místo schůzky
Go to the meeting spot with Lyra	Jdi s Lyrou na místo schůzky
Go to the Port	Jdi do přístavu
Go to the Port.	Jdi do přístavu.
Go to the Redhold	Jdi do Redholdu
Go to the Redhold.	Jdi do Redholdu.
Go to the Sol Winery with Cassandra	Jdi s Cassandrou do vinařství Sol
Guide Eliza to an observation point.	Doveď Elizu na vyhlídku.
Guide Guillermo outside the town	Vyveď Guillerma z města
Give more charm to the village and earn trust of locals.	Dodej vsi na půvabu a získej důvěru místních.

# --- názvy úkolů ---
Fur, Pelt and Gold	Kožešina, kůže a zlato
Gathering the Faithful	Shromáždění věrných
Gifts from the Beyond	Dary ze záhrobí
Glorious purpose	Slavné poslání
Golden Scales	Zlaté šupiny
Golden Scales quest item.	Předmět k úkolu Zlaté šupiny.
Golden Scales: Part 1	Zlaté šupiny: část 1
Golden Scales: Part 2	Zlaté šupiny: část 2
Goods For Better Future	Zboží pro lepší zítřek
Grain Delivery quest item.	Předmět k úkolu Dodávka obilí.

# --- předměty k úkolům ---
Garrick's Letter	Garrickův dopis
Gift for Kug (Quest Item)	Dar pro Kuga (předmět k úkolu)
Glue for Blacksmith (Quest Item)	Klih pro kováře (předmět k úkolu)
Grave Bottle	Láhev z hrobu
Grave Bottle (Quest Item)	Láhev z hrobu (předmět k úkolu)
Guillermo’s Trinket (Quest Item)	Guillermův přívěsek (předmět k úkolu)
Great armor of Cassians as a proof of your ally.	Skvělá cassianská zbroj jako důkaz spojenectví.
Great armor of Halmayans as a proof of your ally.	Skvělá halmayanská zbroj jako důkaz spojenectví.

# --- suroviny a jídlo ---
Glass	Sklo
Glue	Klih
Gold	Zlato
Gold Bar	Zlatý prut
Gold Ore	Zlatá ruda
Golden coins used as currency.	Zlaté mince, které slouží jako platidlo.
Granite	Žula
Grain Farm	Obilné hospodářství
Grain from Farnworth	Obilí z Farnworthu
Grain from Padstow	Obilí z Padstowu
Grain shipment	Zásilka obilí
Grains	Obiloviny
Grape	Hroznové víno
Grape Must	Hroznový mošt
Grape Seeds	Semena vinné révy
Garlic	Česnek
Garlic Seeds	Semena česneku
Gruel	Kaše
Grilled Food	Grilované jídlo
Grilled Fish Fillet	Grilovaný rybí filet
Grows mostly in forests.	Roste hlavně v lesích.
Grows mostly in forests. Can be planted on a farm.	Roste hlavně v lesích. Dá se vysadit na hospodářství.

# --- zvířata a ryby ---
Gander	Houser
Gander Carcass	Houserova mršina
Goose	Husa
Goose Carcass	Husí mršina
Geese	Husy
Gosling	House
Gosling Carcass	Housecí mršina
Goat	Koza
Goat Carcass	Kozí mršina
Gillslap	Žábroplesk
Glutton	Nenasyta
Gluttonfish Trophy	Trofej nenasytky
Golden Bandedfish	Zlatá pruhovka
Golden Bandedfish Trophy	Trofej zlaté pruhovky
Golden Clawfin Trophy	Trofej zlatého drápoploutvého

# --- zbraně a výstroj ---
Fur Cape	Kožešinový plášť
Great Plate Armour	Velká plátová zbroj
Greataxe	Velká sekera
Greatsword	Obouruční meč
Green Townsfolk Gown	Zelený měšťanský šat
Green Townsfolk Robe	Zelená měšťanská róba

# --- stavby a místa ---
Furnace	Pec
Gallow	Šibenice
Game Table	Herní stůl
Garden	Zahrada
Garden Flowers	Zahradní květiny
Gatehouse	Brána s věží
Gates	Brány
Garrick's Forge	Garrickova kovárna
Gavin Stalls	Gavinovy stánky
Gavin's Fish Stall	Gavinův rybí stánek
Gavin's fish stall	Gavinův rybí stánek
Glassworks	Sklárna
Granary	Sýpka
Grave	Hrob
Graves	Hroby
Graveyard	Hřbitov
Graveyard Stranger	Cizinec ze hřbitova
Guard House	Strážnice
Guard Post	Strážní stanoviště
Girl's room	Dívčin pokoj
Group Meeting Spot	Místo srazu
Haerndean settlers	Osadníci z Haerndeanu
Haerndean village	Ves Haerndean
Grows saplings from tree seeds to replenish forest areas.	Pěstuje ze semen semenáčky na obnovu lesů.

# --- lidé ---
Guard	Strážný
Guards	Strážní
Guard/Companion	Strážný/družiník
Gourmand	Labužník
Garrison reinforcements	Posily posádky
Guards are holding defensive locations in your settlement.	Strážní drží obranná místa v tvé osadě.
Guards are patrolling your settlement.	Strážní hlídkují ve tvé osadě.

# --- rozhraní ---
Gathering	Sběr
Gear	Výstroj
Gear Presets	Předvolby výstroje
Gear presets	Předvolby výstroje
Generic	Obecné
Give order	Vydat rozkaz
Gloves Slot	Pozice na rukavice
Got attacked recently	Nedávno napaden
Gpu	Grafická karta
Grin	Úšklebek
Group Travel	Cestování ve skupině
GAME DIRECTION	REŽIE HRY
GRASS	TRÁVA
GETTING UP IN	VSTÁVÁŠ ZA
