The watchtower is built, now, the only path is forward to freedom.	Strážní věž je postavena, teď vede jediná cesta – vpřed ke svobodě.
There is plenty of weapon types - swords, axes, bows, shields and more. Advance your town and unlock technologies to be able to order them or craft yourself.	Je mnoho druhů zbraní – meče, sekery, luky, štíty a další. Rozvíjej své město a odemykej technologie, abys je mohl objednat nebo vyrobit sám.
There must be another way out. Places such as this are often built with hidden passages, meant for the royal family or some high-ranking visitor to leave unseen.	Musí být jiná cesta ven. Taková místa se často stavějí se skrytými chodbami, aby královská rodina nebo vysoce postavený návštěvník mohli odejít nepozorovaně.
There should be a lever or a switch that reveals a door. If not, we will have to find a weak point in the wall and somehow break through it.	Měla by tu být páka nebo spínač, který odhalí dveře. Pokud ne, budeme muset najít slabé místo ve zdi a nějak se prorazit.
There was a time we ate soup made from rats and mice during winter! And so they were starving too so we ate only bones, no meat left on them.	Byla doba, kdy jsme v zimě jedli polévku z krys a myší! A protože i ony hladověly, jedli jsme jen kosti, žádné maso na nich nezůstalo.
There was no other inn and no free drinks, those men just wanted to beat me up just for asking about the Special Menu.	Žádný jiný hostinec ani pití zdarma nebylo, ti chlapi mě chtěli zmlátit jen za to, že jsem se zeptal na zvláštní nabídku.
There were dangers along the way but I helped bringing the traveler safely to Bradford.	Cestou byla nebezpečí, ale pomohl jsem poutníka bezpečně dovést do Bradfordu.
There's a farmer in Padstow with a cow in a bad way, bitten by wolves. He reckons you can help.	V Padstow je sedlák s krávou ve špatném stavu, pokousanou od vlků. Myslí si, že můžeš pomoct.
There’s a few broken bottles around here, maybe they got drunk and lost control over the caravan. I should report it to Ravio.	Je tu pár rozbitých lahví, možná se opili a ztratili kontrolu nad karavanou. Měl bych to ohlásit Raviovi.
There’s been rumors of a murder near Farnworth. But for some reason, I have an uneasy feeling about this… I should go speak to the Elder and learn more.	Kolují řeči o vraždě u Farnworthu. Ale z nějakého důvodu z toho mám neklidný pocit… Měl bych promluvit se stařešinou a zjistit víc.
There’s something suspicious about the outcome of the Bradford Elder election. Amelia and I are going to investigate.	Na výsledku voleb stařešiny v Bradfordu je něco podezřelého. S Amelií to prošetříme.
These bandits must have been capturing anyone that came near them, just like they did to Zaira.	Tihle bandité museli zajímat každého, kdo se k nim přiblížil, stejně jako Zairu.
These bandits wasted no time making themselves comfortable at the lighthouse.	Tihle bandité neztráceli čas a udělali si na majáku pohodlí.
These experiments don't sound very ethical, but I hope it turns out for the good of the Lowlands.	Tyhle pokusy nezní moc eticky, ale doufám, že to dopadne k dobru Nížin.
These guild's men seem to be very keen in keeping their secrets, but I gave my word to Paul.	Ti cechovní muži si zjevně velmi hlídají svá tajemství, ale dal jsem Paulovi slovo.
These tools made of bronze ingot are essential for crafting and researching. Can be found as loot and produced by a Toolmaker.	Tyto nástroje z bronzového ingotu jsou nezbytné k výrobě a bádání. Lze je najít jako kořist a vyrábí je nástrojář.
They found me, didn’t they? Just showed up to my workshop one day.	Našli mě, že? Jednoho dne se prostě objevili v mé dílně.
They had seen nothing that could place Norton nearby Marek's shed.	Neviděli nic, co by Nortona umístilo poblíž Markovy kůlny.
They were walking with their dog, nothing out of the ordinary for them.	Šli na procházku se psem, nic pro ně neobvyklého.
They’re dead. There was no chance of surviving that fall.I don’t see any wounds from arrows or blades either. But how did they fall?I should report what I found to Ravio.	Jsou mrtví. Ten pád nešlo přežít. Nevidím ani rány od šípů či čepelí. Ale jak spadli? Měl bych ohlásit, co jsem našel, Raviovi.
They’ve been chasing me for days, and I don’t know how much longer I can keep running. Wherever I go, they seem to find me… If anyone sees this note, please, bring it to Elder Yaxley. Let him know that there’s a group of violent individuals hunting down innocent people. None of us are safe.	Pronásledují mě už dny a nevím, jak dlouho ještě dokážu utíkat. Kamkoli jdu, najdou mě… Jestli někdo najde tento lístek, prosím, doneste ho stařešinovi Yaxleymu. Dejte mu vědět, že skupina násilníků loví nevinné lidi. Nikdo z nás není v bezpečí.
Thiana Reesling has died at the hand of Gilroy Loxley, throwing Blackridgepool into chaos and uncertainty. I need to help. I’ll speak with Amelie and plan our next steps.	Thiana Reesling zemřela rukou Gilroye Loxleyho, což uvrhlo Blackridgepool do zmatku a nejistoty. Musím pomoci. Promluvím s Amelií a naplánujeme další kroky.
Things are steady, for now. The people work hard. Cassians keep to their ways, and so do the Halmayans.	Věci jsou prozatím stálé. Lidé tvrdě pracují. Cassiané si hledí svého a Halmayané také.
This area is off limits, citizen. Talk to the captain if you're seeking an audience with his excellency Berthold Kug.	Tato oblast je zakázaná, občane. Promluv s kapitánem, jestli hledáš slyšení u jeho excelence Bertholda Kuga.
This basic trap requires bait and actual rabbits nearby to secure a quick meal, so placing it in dense forest is most effective.	Tato základní past vyžaduje návnadu a skutečné králíky v okolí, aby zajistila rychlé jídlo, takže umístění v hustém lese je nejúčinnější.
This Brigand insists I give him the grain, that can not happen.	Tenhle Brigand trvá na tom, abych mu dal obilí. To se nestane.
This campfire should be enough to provide warmth and cook meals. Now we need to make a Research Desk so Lubomir can show me how to craft Basic Traps.	Tenhle táborák by měl stačit na teplo a vaření jídla. Teď musíme vyrobit badatelský stůl, aby mi Lubomir mohl ukázat, jak vyrábět základní pasti.
This can be used to farm Grain as long as the soil is suitable. Requires watering and the growing process can be sped up by using fertilizer.	Lze použít k pěstování obilí, pokud je půda vhodná. Vyžaduje zavlažování a růst lze urychlit hnojivem.
This character has a broken arm - his fighting and production capabilities are significantly reduced	Tato postava má zlomenou ruku – její bojové i pracovní schopnosti jsou výrazně sníženy
This character has a broken leg - his speed and mobility are significantly reduced!	Tato postava má zlomenou nohu – její rychlost a pohyblivost jsou výrazně sníženy!
This character has a head injury - confusion and pain significantly reduce his fighting and production capabilities!	Tato postava má zranění hlavy – zmatenost a bolest výrazně snižují její bojové i pracovní schopnosti!
This character has a punctured lung - he struggles to catch his breath and is mobility is significantly reduced.	Tato postava má proraženou plíci – těžko popadá dech a její pohyblivost je výrazně snížena.
This character has an arrow in the eye - his fighting and production capabilities are significantly reduced!	Tato postava má šíp v oku – její bojové i pracovní schopnosti jsou výrazně sníženy!
This character has broken ribs - his mobility is significant impacted and he struggles to take deep breaths!	Tato postava má zlomená žebra – její pohyblivost je výrazně omezena a těžko se zhluboka nadechuje!
This is a first step in the plan of overthrowing Kug. We will go through the slaves tunnels and exit at the port to cut off the Falsgar reinforcements and also kill the betrayer that caused the massacre at the Town Gathering.	Toto je první krok plánu na svržení Kuga. Projdeme otrockými tunely a vyjdeme v přístavu, abychom odřízli posily Falsgaru a také zabili zrádce, který způsobil masakr na Sněmu města.
This is a substantial amount of money. And for it to be hidden in plain sight like this. Carlos was right, this is proof of their misdealings. I need to report this to Carlos.	Je to značná částka. A schovaná takhle všem na očích. Carlos měl pravdu, toto je důkaz jejich nekalých obchodů. Musím to ohlásit Carlosovi.
This is the shipment meant for Kug’s feast. All this refinery whilst people starve on the streets. Now I have a choice: distribute it amongst the hungry or take it back to its owner.	Toto je zásilka určená na Kugovu hostinu. Všechen ten přepych, zatímco lidé hladovějí v ulicích. Teď mám na výběr: rozdělit ji mezi hladové, nebo ji vrátit majiteli.
This is the shrine near Blackridgepool. Interesting to see these pieces of history still standing.	Toto je svatyně u Blackridgepoolu. Zajímavé vidět tyto kusy dějin ještě stát.
This letter has orders to scrub the Western Wind's shipment from the log. Something's off. That hidden payment mentioned in the letter might explain it.	Tento dopis obsahuje rozkaz vymazat zásilku ze Západního větru ze záznamů. Něco nehraje. Ta skrytá platba zmíněná v dopise to možná vysvětlí.
This lodge will provide a place to sleep along with interiors and a small garden.	Tato chata poskytne místo na spaní spolu s vybavením a malou zahradou.
This lunatic, again and again, wanted me to duel him. I hope the blunt force trauma will help him to return to senses.	Ten blázen se se mnou znovu a znovu chtěl utkat. Doufám, že mu rána tupým předmětem pomůže vrátit se k rozumu.
This man does not have a hunter bone in his body, I need to help him with the boars.	Tenhle muž nemá v těle jedinou loveckou kost, musím mu pomoci s kanci.
This must be Padstow's shrine. I should tell Oscar about the inscriptions perhaps he can tell me more.	Toto musí být svatyně Padstow. Měl bych Oscarovi říct o nápisech, možná mi poví víc.
This must be the stuff Balzar mentioned, Blue Sky. Lysara was right; the scent is unnatural. But who’s brewing it? This elegant bottle is etched with faint markings at the base. But I can’t quite make them out. The scent is faintly sweet but undercut by a harsh chemical sharpness.	Toto musí být to, co zmínil Balzar, Modré nebe. Lysara měla pravdu; ta vůně je nepřirozená. Ale kdo to vaří? Tato elegantní lahev má u dna slabé vyryté znaky. Ale nedokážu je rozeznat. Vůně je slabě sladká, ale podbarvená ostrou chemickou pachutí.
This new guy thought he was so clever, joining us and setting us up for the Brigand’s trap. Pathetic. Oh how much fun we had toying with him instead. It’s just a shame that the rat ran away. But we’ll get him. He’s bound to come back for our loot.	Ten nový si myslel, jak je chytrý, když se k nám přidal a nastražil na nás past Brigands. Ubohé. Ó, jak jsme se bavili, když jsme si místo toho hráli s ním. Jen škoda, že ta krysa utekla. Ale dostaneme ho. Určitě se vrátí pro naši kořist.
This note seems a waning directed at me. This cult fantasy is becoming more and more real. I should thread carefully.	Tento lístek vypadá jako varování určené mně. Ta kultovní fantazie se stává čím dál skutečnější. Měl bych našlapovat opatrně.
This reminds me of the necklace Tomas was looking for. Such a treasured item, I must return it to him.	Připomíná mi to náhrdelník, který hledal Tomas. Tak cenná věc, musím mu ji vrátit.
This seems the to be the treasure that Paul was looking for. It looks like it's not an easy task.	Zdá se, že toto je poklad, který Paul hledal. Vypadá to, že to nebude snadný úkol.
This seems to be the place of the man Calita's patient mentioned.	Zdá se, že toto je místo muže, o kterém mluvil Calitin pacient.
This shack will provide a personal place to sleep for you along with a private chest.	Tato bouda ti poskytne vlastní místo na spaní spolu se soukromou truhlou.
This shack will provide a place to sleep, along with access to a crafting workbench and some basic recipes.	Tato bouda poskytne místo na spaní spolu s přístupem k pracovnímu stolu a některým základním receptům.
This specialized satchel offers extra food storage for you and your companions, essential for long crusades.	Tato zvláštní brašna nabízí další místo na jídlo pro tebe a tvé společníky, nezbytné pro dlouhé výpravy.
This statue honors Weskeras, the founder of Rustshore, whose presence was as fearsome as the ram horns he wore into battle. Once a warrior and leader, he donned the horns to intimidate enemies and command respect on the battlefield.\r\n\r\nOver time, his deeds became legend among the Halmayans, and the settlement he established grew into the village now known as Rustshore. To this day, the statue stands as a symbol of courage, cunning, and the enduring spirit of the Halmayans who call the Rustshore and the Halmare isles home.	Tato socha ctí Weskerase, zakladatele Rustshore, jehož přítomnost byla stejně obávaná jako beraní rohy, které nosil do bitvy. Kdysi válečník a vůdce, nasazoval si rohy, aby zastrašil nepřátele a vzbudil úctu na bitevním poli.\r\n\r\nČasem se jeho činy staly legendou mezi Halmayany a osada, kterou založil, vyrostla ve vesnici dnes známou jako Rustshore. Dodnes socha stojí jako symbol odvahy, lstivosti a nezlomného ducha Halmayanů, kteří nazývají Rustshore a Halmarské ostrovy domovem.
This story is about twin brothers Kael, full of joy, and Ryn, eaten by envy. At a festival, Sorwynn appeared and made them an offer that would make them the richest men in the land. Kael, ever so trusting, agreed, Ryn, started weaving his plan.	Tento příběh je o dvojčatech Kaelovi, plném radosti, a Rynovi, sžíraném závistí. Na slavnosti se objevil Sorwynn a dal jim nabídku, která by z nich udělala nejbohatší muže v zemi. Kael, vždy důvěřivý, souhlasil, Ryn začal spřádat svůj plán.
This structure is used for mixing various things to produce cob, animal feed, fishing bait and fertilizer.	Tato stavba slouží k míchání různých věcí na výrobu hliněné mazaniny, krmiva pro zvířata, rybářské návnady a hnojiva.
This tent will provide shelter for your settlers. Can only accommodate 2 people, so build enough for everyone that might need it.	Tento stan poskytne přístřeší tvým osadníkům. Pojme jen 2 lidi, tak postav dost pro každého, kdo ho může potřebovat.
This the shrine near Crasmere, Oscar will be pleased to know about this one.	Toto je svatyně u Crasmere, Oscar bude rád, až se o ní dozví.
This trade will surely benefit the two villages, a small step to better fortune.	Tento obchod jistě prospěje oběma vesnicím, malý krok k lepšímu osudu.
This upgrade from the mining camp allows both Iron Ore and Granite to be mined, more workers to be assigned to it, has a larger storage space, and mines within an increased radius.	Toto vylepšení důlního tábora umožňuje těžit železnou rudu i žulu, přiřadit více pracovníků, má větší úložný prostor a těží ve větším okruhu.
This was a massacre. But I stand victorious, now I must rescue The Butcher, he is crucial in my search for answers regarding this mysterious sigil.	Byl to masakr. Ale stojím jako vítěz, teď musím zachránit Řezníka, je klíčový pro mé hledání odpovědí o tom záhadném znaku.
This was an excruciating read. But it’s a clue, this Edoardo is her secret lover.	Bylo to mučivé čtení. Ale je to stopa, ten Edoardo je její tajný milenec.
This was the last of rescues that Klara asked for my assistance. Surely this will help our cause.	To byla poslední ze záchran, u kterých Klara žádala mou pomoc. Jistě to pomůže naší věci.
This whole caravan plan could really help the village, I should help the {QuestGiver} with this endeavor.	Celý ten plán s karavanou by vesnici opravdu mohl pomoci, měl bych {QuestGiver} s tím podnikem pomoci.
This will prove useful. The research desk is equipped for studying new buildings and other items. Traps should be first.	To se bude hodit. Badatelský stůl je vybaven ke zkoumání nových budov a dalších předmětů. Pasti by měly být první.
Thomas denied everything at first, but when I pointed out the matching gloves, he slipped up. Eventually, he admitted to cutting the nets, hoping to take the best fishing spots for himself.	Thomas zprvu všechno popíral, ale když jsem poukázal na shodné rukavice, uklouzl. Nakonec přiznal, že sítě rozřezal v naději, že si vezme nejlepší rybářská místa pro sebe.
Those Red Thorns, dirty bandits. Took that smuggler caravan right out from under us. Getting the mole inside was expensive, now Ashbourne is going to be mad. But we can fix it if we find the hostages they took.	Ti Red Thorns, špinaví bandité. Sebrali nám tu pašeráckou karavanu přímo pod nosem. Dostat dovnitř toho krtka bylo drahé, teď bude Ashbourne zuřit. Ale můžeme to napravit, když najdeme rukojmí, které vzali.
Though the isle and its people receive you kindly, settling here amidst the political turmoil is unwise.\r\n\r\nExplore the region, study its tensions, and lend your strength to the side you deem worthy. In return, those you aid may well rally to your cause when the time comes.	Ačkoli tě ostrov a jeho lid přijímají vlídně, usadit se tu uprostřed politických zmatků není moudré.\r\n\r\nProzkoumej kraj, poznej jeho napětí a propůjč svou sílu straně, kterou uznáš za hodnou. Na oplátku se ti, kterým pomůžeš, mohou přidat k tvé věci, až přijde čas.
Thought that someone could poison the well deliberately is sickening to me, I wonder who could do such a thing. I better help solve this, hunger is enough of a problem for the Lowlands we don’t need a drinking water shortage.	Představa, že by někdo úmyslně otrávil studnu, se mi hnusí. Zajímalo by mě, kdo by něco takového udělal. Radši pomohu to vyřešit, hlad je pro Nížiny dost velká potíž, nedostatek pitné vody nepotřebujeme.
Threat - Upon attacking brigands your relation will worsen increasing the strength of their forces on the map.	Hrozba – útokem na Brigands se váš vztah zhorší a síla jejich oddílů na mapě vzroste.
Thrice times the charm with this crazy man. I’m amazed that he survived this long.	Do třetice všeho dobrého s tímhle bláznem. Divím se, že přežil tak dlouho.
To <highlight>TRADE</> with a village, enter the <highlight>STOP</> details and select items to sell or buy. You can apply various delivery rules there, as well as desired price.	K <highlight>OBCHODU</> s vesnicí otevři podrobnosti <highlight>ZASTÁVKY</> a vyber předměty k prodeji nebo koupi. Můžeš tam nastavit různá pravidla dodávky i požadovanou cenu.
To all tax-payers of the Lowlands,\r\n\r\nLord Ashbourne, in his noble wisdom, calls for a modest increase in contributions to the community. Fear not, for these coins shall blossom into citadels, walls, and bridges, fortifying our realm against adversity. Rejoice, as prosperity dawns under the benevolent gaze of the Lord of the Lowlands!\r\n\r\nSigned,\r\nThe Council of Great Lord Ashbourne.	Všem poplatníkům Nížin,\r\n\r\nlord Ashbourne ve své vznešené moudrosti vyzývá k mírnému zvýšení příspěvků obci. Nebojte se, neboť tyto mince rozkvetou v citadely, hradby a mosty a opevní naši říši proti protivenství. Radujte se, neboť pod laskavým zrakem pána Nížin svítá rozkvět!\r\n\r\nPodepsána,\r\nRada velkého lorda Ashbournea.
To get a clearer picture of what’s happening around here, I’ll need to talk to whoever leads the militia. I’ve heard whispers of a name: Darek Voss. I’ll start by talking to him.	Abych si udělal jasnější obraz o tom, co se tu děje, musím promluvit s tím, kdo vede milici. Slyšel jsem šeptat jméno: Darek Voss. Začnu rozhovorem s ním.
To Haldor,\r\n\r\nYou and the Red Thorns can keep your cursed treasure. I should’ve never agreed to bury it in this forsaken place. The wolves don’t just stalk this den, they hunt anyone who comes near it.\r\n\r\nI can’t make it out. I’m holed up, bleeding bad. If you find this, tell the others I did my part. But mark my words, this stash will only bring more blood.\r\n\r\nBurn it. Forget it. No gold is worth this.\r\n\r\nThin Val.	Haldorovi,\r\n\r\nty a Red Thorns si nechte svůj prokletý poklad. Nikdy jsem neměl souhlasit, že ho zakopu na tomhle zapomenutém místě. Vlci tohle doupě nejen střeží, loví každého, kdo se přiblíží.\r\n\r\nNedostanu se ven. Jsem zalezlý a těžce krvácím. Jestli to najdeš, řekni ostatním, že jsem svůj díl splnil. Ale pamatuj si má slova, tahle skrýš přinese jen další krev.\r\n\r\nSpal to. Zapomeň na to. Žádné zlato za to nestojí.\r\n\r\nHubený Val.
