# Quests/SideQuests - delsi texty, 43. davka (dokonceni do 160 znaku)
What the Queen doesn’t know is that I’ve called in a favor to find out where he’s being held.	Co královna neví, je že jsem si vyžádala laskavost a zjistila, kde ho drží.
Why should I care? I’m a mercenary, not a patriot, I’m here for money. Now begone, I’ve told you everything.	Co je mi do toho? Jsem žoldák, ne vlastenec, jsem tu pro peníze. A teď zmiz, řekl jsem ti všechno.
Will do. Though I'm not expecting to find a cheerful festival among these gloomy prayers.	Udělám to. I když nečekám, že mezi těmi ponurými modlitbami najdu veselou slavnost.
Will you? Well, I respect you enough to give you a chance to fight for your life rather than sending you to the tree.	Vážně? Inu, ctím tě natolik, abych ti dal šanci bojovat o život, místo abych tě poslal na strom.
Wise one, I thought you would share all your knowledge with me, not just how to build a shine…	Moudrý muži, myslel jsem, že se se mnou podělíš o veškeré své vědění, ne jen o to, jak postavit svatyni…
With great difficulty. Like you said, eyes everywhere. And the people in Crasmere don’t want to rock any boats, so we get no support from them.	S velkými potížemi. Jak jsi řekl, oči všude. A lidé v Crasmere nechtějí čeřit vodu, takže od nich podporu nemáme.
With that attitude, we won’t get anywhere! Prepare animal feed and bring it to me, then I shall give you my precious hen.	S takovým přístupem se nikam nedostaneme! Připrav krmivo a přines mi ho, pak ti dám svou drahocennou slepici.
With that question, you’re acting the same as people here. So now you can see the problem, all I need is respect and lower market fees.	Tou otázkou se chováš stejně jako zdejší lidé. Takže vidíš ten problém - potřebuji jen úctu a nižší tržní poplatky.
Within these pages lie knowledge that will change your life forever. Come, let me show you the way.	V těchto stránkách leží vědění, které navždy změní tvůj život. Pojď, ukážu ti cestu.
Without it, our village struggles to get the ore we need. If we don’t repair it soon, we’ll be left with nothing but empty hands and empty bellies.	Bez něj naše vesnice těžko shání rudu, kterou potřebujeme. Jestli ho brzy neopravíme, zbudou nám jen prázdné ruce a prázdná břicha.
Wonderful now I can work on the cure, I can’t describe how much I and the rest of the village are grateful to you. Take this and take care, friend.	Skvělé, teď mohu pracovat na léku, nedokážu popsat, jak jsme ti já i zbytek vsi vděční. Vezmi si to a opatruj se, příteli.
Wonderful! First, I need you to gather some special feed for the pig. You can make it yourself or buy it from a farmer.	Skvělé! Nejdřív potřebuji, abys sehnal zvláštní krmivo pro to prase. Můžeš si ho vyrobit sám nebo koupit od sedláka.
Wonderful! Let me take those off your hands. With these new constructions and supplies, we can get Padstow's construction projects back on track.	Skvělé! Vezmu ti to z rukou. S těmito novými stavbami a zásobami můžeme vrátit padstowské stavby zpátky do chodu.
Wonderful, wonderful work my friend. Two pairs of extra helping hands! The rebuilding will be done in no time.	Skvělá, skvělá práce, příteli. Dva páry rukou navíc! Obnova bude hotová co nevidět.
Wonderful. You did your part and now I will do mine. Also here, take this little extra coin, you might be interested in buying my other hens.	Skvělé. Svou část jsi splnil a teď splním já svou. A tu máš, vezmi si pár mincí navíc, možná bys měl zájem koupit mé další slepice.
Worry not, I will give you some coins for your efforts. I need two wooden logs and two simple cords. It shouldn’t be too hard.	Neboj se, za tvé úsilí ti dám pár mincí. Potřebuji dvě dřevěné klády a dvě prosté šňůry. Nemělo by to být těžké.
Would you be willing to help us construct some new buildings to help flourish Haerndean?	Byl bys ochoten nám pomoct postavit nové budovy, aby Haerndean rozkvetl?
Would you be willing to help us recruit workers? We need at least two people to get started.	Byl bys ochoten nám pomoct najmout dělníky? Na začátek potřebujeme aspoň dva lidi.
Would you like to help us with those planks and nails? Our fishing place still needs some improvements.	Chtěl bys nám pomoct s těmi prkny a hřebíky? Naše rybářské místo pořád potřebuje vylepšit.
Ydrassa, goddess of water, governs all forms of water—from oceans to rivers. She is linked to the cycles of tides and the mysteries of the deep.	Ydrassa, bohyně vod, vládne veškeré vodě - od oceánů po řeky. Je spjata s koloběhem přílivu a se záhadami hlubin.
Yeah, about that problem I mentioned earlier… When I was in Horndean a couple days back, I got robbed by some bandits.	Jo, ohledně té potíže, co jsem zmínil dřív… Když jsem byl před pár dny v Horndeanu, okradli mě lapkové.
Yeah, I found one. It was pretty intriguing. There's an old prayer inscribed on it.	Jo, jednu jsem našel. Bylo to docela zajímavé. Je do ní vyryta stará modlitba.
Yeah, it’s a treasure map for some fancy fishing rod, made by a fellow named Badcocke.	Jo, je to mapa pokladu k nějakému nóbl rybářskému prutu od chlapíka jménem Badcocke.
Yeah, they’ll claim to represent our interests, but it's all for show. They're in it for control and coin, nothing else.	Jo, budou tvrdit, že hájí naše zájmy, ale je to všechno na oko. Jde jim o moc a mince, o nic jiného.
Yeah, well, it wasn’t as funny at the time, Hank uh, he started something, and I just couldn’t back down, y’know?	Jo, no, tehdy to tak vtipné nebylo, Hank, ehm, něco začal a já prostě nemohl couvnout, víš?
Yeah… I know. I was so focused on proving I could handle it, I didn’t stop to think if I should. That’s not happening again.	Jo… vím. Byl jsem tak zabraný do dokazování, že to zvládnu, že jsem se nezastavil a nepřemýšlel, jestli mám. To se už nestane.
Yeah… it is. Charging in like that wasn’t doing anyone any favors. Least of all me.	Jo… to je. Takhle se do toho hnát nikomu neprospělo. Nejmíň mně.
Yes! Thank you, my wife would have a breakdown if the sword was damaged. Please take this, for your trouble.	Ano! Děkuji ti, má žena by se zhroutila, kdyby byl ten meč poškozený. Vezmi si to prosím za svou námahu.
Yes, Cressida, she’s very strong willed with a good head on her shoulders. Did she agree?	Ano, Cressida, má velmi pevnou vůli a hlavu na správném místě. Souhlasila?
Yes, everyone has made their point in telling me that endlessly. Tomas… he won’t forgive me. I don’t know what else to do.	Ano, všichni mi to donekonečna opakují. Tomas… mi neodpustí. Nevím, co jiného dělat.
Yes, for the most part, the people of Padstow have been quite welcoming. After the liberation, there's a sense of camaraderie among us.	Ano, lidé z Padstow byli většinou docela vlídní. Po osvobození mezi námi panuje jistá pospolitost.
Yes, I found a shrine near Padstow. It had an inscription that seemed like a prayer. Would you like to hear it?	Ano, u Padstow jsem našel svatyni. Byl na ní nápis, který vypadal jako modlitba. Chceš ho slyšet?
Yes, I found their patrols and dealt with them. They won’t trouble the village any longer.	Ano, našel jsem jejich hlídky a vypořádal se s nimi. Vesnici už obtěžovat nebudou.
Yes, I got him and had to kill him in self-defense. He was a royal agent, he had a letter with instructions with him.	Ano, dostal jsem ho a musel jsem ho v sebeobraně zabít. Byl to královnin agent, měl u sebe dopis s pokyny.
Yes, I think they should, but what can I do? Ashbourne doesn’t care about our well-being, as long as we meet quotas.	Ano, myslím, že by měli, ale co mohu dělat? Ashbournovi na našem blahu nesejde, hlavně když plníme dávky.
Yes, I think we need to go to the bottom of all this. You need to go to Horndean and ask about their grandfather’s debt.	Ano, myslím, že tomu musíme přijít na kloub. Musíš jít do Horndeanu a poptat se na dluh jejich děda.
Yes, I trade with Bernar. He gets a better price, I get quality goods. It's simple economics. Nothing nefarious about it.	Ano, s Bernarem obchoduji. On dostane lepší cenu, já kvalitní zboží. Prostý obchod. Nic hanebného na tom není.
Yes, I won’t leave you by yourself. I’ll escort you to Bradford for 50 coins. Follow me.	Ano, samotného tě nenechám. Doprovodím tě do Bradfordu za 50 mincí. Pojď za mnou.
Yes, Indeed. They came to Lowlands as one tribe but then split and chose another path. That's all I know.	Ano, vskutku. Přišli do Nížin jako jeden kmen, ale pak se rozdělili a zvolili jinou cestu. Víc nevím.
Yes, it is… remind him to add it to hot water and just try to sit or lay in warm places.	Ano, je… připomeň mu, ať to přidá do horké vody a snaží se sedět nebo ležet v teple.
Yes, it should be. But if confront them for not doing their job, I’ll get smacked around, so I prefer to avoid it.	Ano, měla by být. Ale kdybych jim vyčetl, že nedělají svou práci, dostal bych nakládačku, takže se tomu radši vyhýbám.
Yes, I’ve got the letter with an order for chairs and the tools you asked for. Is that everything?	Ano, mám ten dopis s objednávkou židlí i nářadí, o které jsi žádal. To je vše?
Yes, my friend, there’s a lot to be done now that we’re free. We have to look to the future so we don’t fall prey to the mistakes of the past.	Ano, příteli, teď když jsme svobodní, je hodně práce. Musíme hledět do budoucna, ať nepadneme za oběť chybám minulosti.
Yes, of course, I’ll mark the location on your map! Thank you, thank you ever so much!	Ano, ovšem, označím ti to místo na mapě! Děkuji, mockrát ti děkuji!
Yes, of course. I don’t have much, but finding my husband is more important than money now.	Ano, ovšem. Nemám mnoho, ale najít muže je teď důležitější než peníze.
Yes, one of the oldest settlements with quite an interesting history and skilled blacksmiths. You have my undivided attention.	Ano, jedna z nejstarších osad s docela zajímavými dějinami a zručnými kováři. Máš mou plnou pozornost.
Yes, that's why I need new armor for them. The previous ones are in pieces, but luckily for me, my men are mostly unscarred.	Ano, proto pro ně potřebuji novou zbroj. Ta předchozí je na kusy, ale naštěstí jsou mí muži většinou bez zranění.
Yes, very smart, you! Bring me Rawhide, I show them, I can hunt again! Finally be useful again!	Ano, ty jsi chytrý! Přines mi surovou kůži, ukážu jim, že zase umím lovit! Konečně být zase užitečný!
Yes, well I can’t do much about the bandits and the brigands and wild animals, can I?	Ano, inu, s lapky, brigandy a divou zvěří toho moc nezmohu, viď?
Yes, yes of course good deeds shouldn’t go unrewarded, my friend. So if you could take this letter to my friend Osbert Coburns, he lives in a hut near Crasmere.	Ano, ano, dobré skutky by samozřejmě neměly zůstat bez odměny, příteli. Takže kdybys mohl odnést tenhle dopis mému příteli Osbertu Coburnsovi, bydlí v chatrči u Crasmere.
Yes, yes of course I will pay you but please can you retrieve this sword as fast as possible?	Ano, ano, samozřejmě ti zaplatím, ale prosím tě, můžeš ten meč získat co nejdřív?
Yes, you did well, traveler. Here is your reward. Now, I have important things that require my attention.	Ano, vedl sis dobře, pocestný. Tady máš odměnu. A teď mě volají důležité věci.
Yes, you're right. Hope is all I have now. Thank you for bringing this back to me. It's a sign, it must be.	Ano, máš pravdu. Naděje je vše, co mi zbylo. Děkuji, žes mi to přinesl. Je to znamení, musí být.
Yes. It hasn’t been easy, but with the poison samples you brought me, I think I figured it out now.	Ano. Nebylo to snadné, ale se vzorky jedu, které jsi mi přinesl, jsem na to myslím přišla.
Yes. Now I have everything. Come back tomorrow and I’ll be sure to have everything finished for you.	Ano. Teď mám všechno. Vrať se zítra a určitě to budu mít hotové.
You are as blunt as a hammer, my friend. While it may seem esoteric, understanding our past shapes our future.	Jsi tupý jako kladivo, příteli. I když se to zdá odtažité, porozumění naší minulosti utváří naši budoucnost.
You bring me Rawhide from deer, we trick them. Make them think I did it all. They’ll have no choice but to let me hunt again!	Přines mi jelení surovou kůži, oklameme je. Ať si myslí, že jsem to zvládl sám. Nezbude jim než mě zase nechat lovit!
You butchered one of my animals! You owe me coins for your deed. Pay up, or I’ll make sure no one in town trades with you!	Porazil jsi mi zvíře! Za ten skutek mi dlužíš mince. Zaplať, nebo se postarám, aby s tebou ve městě nikdo neobchodoval!
You can also ask Amelie. Even at her most defiant, she tends to know what’s going on in the village.	Můžeš se zeptat i Amelie. I když je nejvzpurnější, obvykle ví, co se ve vsi děje.
You can buy it from a farmer, you know? Or mix it in your mixing bucket - if you have one, that is.	Můžeš to koupit od sedláka, víš? Nebo si to namíchat v míchací kádi - máš-li ovšem nějakou.
You can come back to me later if you’re looking for more work. My research is often intense and I lack competent help here.	Můžeš se ke mně později vrátit, jestli hledáš další práci. Mé bádání bývá náročné a schopná pomoc mi tu schází.
You can laugh at me all you want, but I believe it could really be some kind of ghost.	Můžeš se mi smát, jak chceš, ale já věřím, že to opravdu může být nějaký duch.
You can’t prove them wrong if you’re dead. Stop putting yourself in danger, and get some real training.	Mrtvý jim nedokážeš, že se mýlí. Přestaň se vystavovat nebezpečí a pořádně se vycvič.
You could also speak with Eliza Greenbergg, Teodor, the blacksmith, and Maren Lupton; they live nearby and might have heard something.	Mohl bys promluvit i s Elizou Greenbergg, kovářem Teodorem a Maren Luptonovou; bydlí poblíž a možná něco slyšeli.
You did what!? That was not yours to sell! Get out of my sight, and don’t come back!	Cos to udělal!? To nebylo tvoje, abys to prodával! Zmiz mi z očí a nevracej se!
You don’t get it! It doesn’t matter if those savages are dead or they just left! We’re not gonna be safe anymore!	Ty to nechápeš! Je jedno, jestli jsou ti divoši mrtví nebo jen odešli! Už nebudeme v bezpečí!
You don’t know a damn thing about me, Bellwright. If I’m walking away from this, it’s not because I’m scared.	Nevíš o mně zbla, Bellwrighte. Jestli od toho odcházím, není to strachem.
You get crushed. This is not an alliance that we keep because we want to. Remember that, traveler.	Rozdrtí tě to. Tohle spojenectví neudržujeme, protože chceme. Pamatuj na to, pocestný.
You get me some coin for this old sage, and I’ll be more willing to part from my very special honey.	Sežeň tomuhle starému mudrci pár mincí a já se se svým docela zvláštním medem rozloučím ochotněji.
You guessed right, I'm worried about the crew. They should be back by now, but I haven’t heard from them…	Uhodl jsi, mám o posádku obavy. Už měli být zpátky, ale neozvali se…
You have taught me not to become an arsehole when I get older, and I’m very grateful. But I still need the gold.	Naučil jsi mě, abych na stará kolena nebyl hlupák, a jsem ti velmi vděčný. Ale zlato pořád potřebuji.
You killed a man because of your pet boar you kept in secret from your wife. This is getting ridiculous.	Zabil jsi člověka kvůli krotkému kanci, kterého jsi tajil před ženou. Tohle začíná být směšné.
You know how it is. We are swarmed by all smugglers of any kind who offer stolen goods or exclusives we don’t have in Karvenia.	Znáš to. Hemží se to tu pašeráky všeho druhu, kteří nabízejí kradené zboží nebo výjimečnosti, jaké v Karvenii nemáme.
You know nothing about the situation, that old bastard was consumed by Ashbourne propaganda, scheming with the Brigands.	O té situaci nevíš nic, toho starého parchanta pohltila Ashbournova propaganda, kul pikle s Brigands.
You know there was a big fervent group that wouldn’t allow themselves to forget their gods.	Víš, byla tu velká horlivá skupina, která si nedovolila na své bohy zapomenout.
You know what? Maybe you’re right. If the elder believes in me, then I should at least give it a try. I’ll do it.	Víš co? Možná máš pravdu. Jestli ve mě stařešina věří, měl bych to aspoň zkusit. Udělám to.
You must be aware of what’s going on these days? One group of bandits fighting the other, it’s like being stuck between a hammer and an anvil.	Jistě víš, co se dnes děje? Jedna lapkovská tlupa bojuje s druhou, je to jako být mezi kladivem a kovadlinou.
You must be the man with the… performance problem. Your wife asked me to bring you back home.	Ty budeš ten muž s… potíží ve výkonu. Tvá žena mě požádala, abych tě přivedl domů.
You must stand on your own in a duel against one of our fearsome members of the guild! Defeat him however you like, by sword or bow! Or by fists!	Musíš sám obstát v souboji proti jednomu z našich obávaných členů cechu! Poraz ho, jak chceš, mečem nebo lukem! Nebo pěstmi!
You poor thing! Here, take your pay. Replace whatever they took from you, I’ll find something else to serve at the Solstice.	Ty chudáku! Tu máš, vezmi si odměnu. Nahraď si, co ti vzali, já na slunovrat naleju něco jiného.
You previously mentioned where I should start my search. Could you refresh my memory?	Dřív jsi zmínil, kde mám začít hledat. Osvěžil bys mi paměť?
You say you’re both broken—but maybe that’s why you need each other. Lyanna wouldn’t want you to go through this alone.	Říkáš, že jste oba zlomení - ale možná právě proto se potřebujete. Lyanna by nechtěla, abys tím procházel sám.
You see, a cat has wandered into my house and made its home. Don’t get me wrong, fantastic hunter!	Víš, do domu mi zabloudila kočka a zabydlela se. Nechápej mě špatně, báječná lovkyně!
You see, I need help preparing Gertrude. I’m hoping to get a good deal with the farmer for her trade.	Víš, potřebuji pomoct připravit Gertrudu. Doufám, že se sedlákem uzavřu při výměně dobrý obchod.
You see, I tried to build it, but I’m used to plowing the soil, not hammering wood.	Víš, zkusil jsem to postavit, ale jsem zvyklý orat půdu, ne tlouct do dřeva.
You see, it's been quite the stir lately. You know Bradford, right? They've been encroaching on our hunting grounds again.	Víš, poslední dobou je tu pěkný poprask. Znáš Bradford, viď? Zase nám zabírají lovecká území.
You see, I’ve got this prized pig, the finest in the land, and I’m looking to trade her with a farmer who’s coming by tomorrow.	Víš, mám chovné prase, nejlepší v zemi, a chci ho vyměnit se sedlákem, co má zítra přijít.
You see, our fields are bursting with grain, and we’ve nowhere to store it. The village is thriving. But there’s a problem we didn’t foresee.	Víš, naše pole praskají obilím a my nemáme kam ho uložit. Vesnice vzkvétá. Ale je tu potíž, kterou jsme nepředvídali.
You see, our village is struggling to accommodate them. We need more homes and resources to support our new neighbors.	Víš, naše vesnice je jen stěží ubytuje. Potřebujeme víc domů a zásob, abychom nové sousedy uživili.
You see, the mine. It’s in a sorry state. Years of neglect and a few cave-ins have left it in disarray.	Víš, ten důl. Je v žalostném stavu. Léta zanedbávání a pár závalů ho uvrhly do rozvratu.
You should also visit the merchant, tell him what you did and you might get a little something extra. We are really grateful.	Měl bys taky navštívit kupce, pověz mu, co jsi udělal, a možná dostaneš něco navíc. Jsme opravdu vděční.
You should know that size doesn’t matter! Especially when it comes to fine craft like fishing.	Měl bys vědět, že na velikosti nezáleží! Obzvlášť u vytříbeného řemesla, jako je rybaření.
You shouldn’t give up on your passion of being a hunter. But maybe we can work together someday.	Neměl bys svou vášeň pro lov vzdávat. Ale možná bychom jednou mohli spolupracovat.
You think you can just slaughter my animals like some wild beast? You’ll pay for what you’ve done, or I’ll make sure no merchant deals with you!	Myslíš, že mi můžeš porážet zvířata jako nějaká divá šelma? Zaplatíš za to, co jsi udělal, nebo se postarám, aby s tebou žádný kupec neobchodoval!
You understand nothing! The Overseer's vision extends beyond your feeble comprehension. We are the harbingers of a new age!	Ničemu nerozumíš! Dohlížitelova vidina sahá za hranice tvého chabého chápání. Jsme zvěstovatelé nového věku!
You understand the meaning, much is lost in the transformation to this infidel language.	Smysl chápeš, ale mnoho se ztrácí v převodu do téhle bezvěrecké řeči.
You wouldn’t be alone. The lookout is well-supplied, and others will rely on your reports. You’d be making a real difference.	Nebyl bys sám. Hlídka je dobře zásobená a ostatní se budou spoléhat na tvá hlášení. Opravdu bys něco změnil.
You! I need your help. That book merchant, Reinold, has been swindling us for months now!	Ty! Potřebuji tvou pomoc. Ten knihkupec Reinold nás už měsíce šidí!
You're a grown woman, time to act like one and take responsibility for your actions.	Jsi dospělá žena, je čas se tak chovat a nést odpovědnost za své činy.
You're Brigands, aren't you? Ashbourne hired you to at least pretend to guard the Lowlands, did he? <Fight>	Vy jste Brigands, viďte? Ashbourne vás najal, abyste aspoň předstírali, že Nížiny hlídáte, že ano? <Fight>
You're not far off. They talk a lot of guff about community and support, but it's all about lining their pockets.	Nejsi daleko od pravdy. Melou spoustu nesmyslů o obci a podpoře, ale jde jim jen o plnění vlastních kapes.
You're right. I've never really opened up about it. It's always been about meeting expectations. Maybe it's time for a change.	Máš pravdu. Nikdy jsem se o tom pořádně nesvěřil. Vždycky šlo o naplňování očekávání. Možná je čas na změnu.
You're taking the place of someone who wants to work and earn a living. If you keep this up, you should leave town… or I might make you.	Zabíráš místo někomu, kdo chce pracovat a živit se. Jestli v tom budeš pokračovat, měl bys z města odejít… nebo tě k tomu donutím.
You're welcome. But be careful, they are seasoned soldiers and you’re just a carpenter with a mace.	Není zač. Ale opatrně, jsou to ostřílení vojáci a ty jsi jen tesař s palcátem.
You've got a sense of humor, I appreciate that. But I'm in a serious predicament.	Máš smysl pro humor, toho si vážím. Ale jsem ve vážné šlamastyce.
You've got the look of someone who knows when there is a good opportunity to earn some honest coin.	Vypadáš jako někdo, kdo pozná dobrou příležitost vydělat si poctivou minci.
You? A fisherman? Ha! You’ve got the hands of a scribe and the patience of a hungry hound.	Ty? Rybář? Ha! Máš ruce písaře a trpělivost hladového psa.
Your arrival couldn't be more timely. Our village faces a crisis of faith, and we desperately need your help.	Tvůj příchod nemohl přijít vhodněji. Naši vesnici stihla krize víry a zoufale potřebujeme tvou pomoc.
Your courage is commendable. Standing by someone in the face of fear and suspicion is no small thing. I will stand with you as well.	Tvá odvaha je chvályhodná. Stát při někom tváří v tvář strachu a podezření není maličkost. Budu stát i já při tobě.
Your daughter was caught in the crossfire when the Red Thorns attacked the camp. The bandits used her as a human shield.	Tvá dcera se dostala do křížové palby, když Red Thorns napadli tábor. Lapkové ji použili jako živý štít.
Your diligence in this matter is greatly appreciated. We must handle it delicately to maintain harmony in the village.	Tvé píle v téhle věci si velmi vážíme. Musíme to řešit citlivě, abychom ve vsi udrželi soulad.
Your efforts are appreciated, truly. We would be grateful if you’d consider helping us in the future. We’ll need it.	Tvého úsilí si opravdu vážíme. Byli bychom vděční, kdybys zvážil pomoc i v budoucnu. Budeme ji potřebovat.
Your enthusiasm is a breath of fresh air. Rest assured, any breakthroughs in my research, you'll be the first to know. Safe travels on your journey.	Tvé nadšení je jako závan čerstvého vzduchu. Buď klidný, o každém průlomu ve svém bádání ti dám vědět jako prvnímu. Šťastnou cestu.
Your full membership is pending. In the future, we will have a grand ceremony to induct you properly.	Tvé plné členství čeká na schválení. V budoucnu uspořádáme velký obřad a řádně tě přijmeme.
Your investigation into Bernar has given us much to consider. However, while we've been focused on internal matters, the bandit threat has grown more severe.	Tvé pátrání po Bernarovi nám dalo mnoho k zamyšlení. Zatímco jsme se však soustředili na vnitřní věci, hrozba lapků zesílila.
Your justification for your actions are hollow. Draw your weapon. I will take back what you stole from them!	Tvé ospravedlnění je prázdné. Tas. Vezmu zpět, co jsi jim ukradl!
Your people are being hanged from a tree north of here. How were you not aware of this?	Tvé lidi věší na strom severně odsud. Jak o tom můžeš nevědět?
You’ll find it deep in the swamp, where the ground turns black and the air stinks of rot. Stay sharp—it’s not just the tusks you should worry about.	Najdeš to hluboko v bažině, kde země černá a vzduch páchne hnilobou. Měj se na pozoru - starosti ti nemají dělat jen ty kly.
You’ll forgive me if I take your words with a grain of salt. You’re Dalibor’s rival, after all.	Odpustíš mi, že tvá slova beru s rezervou. Jsi koneckonců Daliborův soupeř.
You’ll meet with the buyer and show him this bag with weapons, he’ll give it a quick check, make sure it’s good enough for himself.	Sejdeš se s kupcem a ukážeš mu tenhle pytel se zbraněmi, on to rychle prohlédne a ujistí se, že mu to vyhovuje.
You’re a straightforward one, aren't you? I can’t give you the recipe but I can give you a sample.	Ty jsi ale přímočarý, viď? Recept ti dát nemohu, ale mohu ti dát vzorek.
You’re back! What did you find out? Did the villagers confirm what I’ve been saying? What about Charles? Did he admit to anything?	Jsi zpátky! Co jsi zjistil? Potvrdili vesničané, co jsem říkal? A co Charles? Přiznal něco?
You’re clinging to a ghost of what you had. It’s time to face the truth—it’s over.	Držíš se přízraku toho, co jste měli. Je čas postavit se pravdě - je konec.
You’re havin’ a laugh. You have any idea how much them tools cost? I can’t just give them to you without proper compensation.	To si děláš legraci. Máš vůbec tušení, kolik to nářadí stojí? Nemohu ti ho jen tak dát bez řádné náhrady.
You’re much friendlier than I expected, with all those stories about crushing skulls…	Jsi mnohem přívětivější, než jsem čekal, po všech těch historkách o drcení lebek…
You’re not as sharp as you think. Now, the note mentioned a reward for finding you…	Nejsi tak bystrý, jak si myslíš. A ten vzkaz zmiňoval odměnu za tvé nalezení…
You’re not getting a damn reward! You have no idea how much danger you’ve put us in!	Žádnou zatracenou odměnu nedostaneš! Nemáš tušení, do jakého nebezpečí jsi nás uvrhl!
You’re offering me a bag of coins to find out a bait recipe. No offense, but that’s suspicious.	Nabízíš mi měšec mincí za zjištění receptu na návnadu. Bez urážky, ale to je podezřelé.
You’re right I can’t be a coward. I’ll act like a real man and face the consequences.	Máš pravdu, nemohu být zbabělec. Zachovám se jako opravdový muž a ponesu následky.
You’re right. Charles is cheating the villagers. We need to report him to the elder.	Máš pravdu. Charles vesničany šidí. Musíme ho ohlásit stařešinovi.
You’ve been doing well gathering everyone’s trust by helping them. In fact, there’s one thing I need help with.	Dobře si vedeš, získáváš si důvěru všech tím, že jim pomáháš. Vlastně bych s jednou věcí pomoc potřeboval.
You’ve done a great service to our village! With the bandits gone, our people can travel without fear. Tell me everything!	Prokázal jsi naší vsi velkou službu! Když jsou lapkové pryč, mohou naši lidé cestovat beze strachu. Pověz mi všechno!
You’ve done it! Thank you so much. Here, take this as a token of our appreciation for both the house and the food.	Dokázal jsi to! Mockrát ti děkuji. Tu máš, vezmi si to jako projev naší vděčnosti za dům i za jídlo.
You’ve doomed me… Do you know how many people want me dead? And now I’m stuck here!	Odsoudil jsi mě… Víš, kolik lidí mě chce mrtvého? A teď tu trčím!
You’ve got a point. I’ve been complaining about the lack of materials for years. Maybe it’s time I did something about it.	Máš pravdu. Léta si stěžuji na nedostatek materiálu. Možná je čas s tím něco udělat.
You’ve got to help me! I’m losing chickens … every night, more is gone! Those hens, they’re my livelihood. Meat, eggs - I’m ruined if this keeps up.	Musíš mi pomoct! Přicházím o slepice… každou noc jich zmizí víc! Ty slepice jsou má obživa. Maso, vejce - jestli to takhle půjde dál, jsem zničená.
