# Quests/SideQuests - delsi texty, 26. davka
A boar… A BOAR?! I don’t know what to say, I’m stunned. I hope the Elder doesn’t exile him.	Kanec… KANEC?! Nevím, co na to říct, jsem ohromený. Doufám, že ho stařešina nevyžene.
A new well? No small feat, indeed! For a job that size, let's say 20 gold per shovel oughta do it. They’re worth their weight in well, dirt, I suppose.	Nová studna? Vskutku nemalý úkol! Na takovou práci řekněme 20 zlatých za lopatu. Mají cenu svojí váhy v… inu, v hlíně, řekl bych.
A shadowy figure… There must be a more reasonable explanation than some phantom haunting the village.	Stínová postava… Musí být rozumnější vysvětlení než nějaký přízrak, co straší ve vsi.
A solid deal?! Are you mad? Gertrude is a winning pig. This is the payback I get for sending a babe to an important dealing.	Slušná dohoda?! Zbláznil ses? Gertruda je vítězné prase. Tak takhle se mi vyplatilo poslat na důležité jednání nemluvně.
A tavern, huh? Lots of coin in keeping the ale flowing. But the danger isn’t really in the tavern, is it? It's the road outside it.	Krčma, ano? V čepování piva je hodně mincí. Ale nebezpečí není v krčmě, viď? Je na cestě před ní.
A true lifesaver! Thank you, please take this as a reward. Now I need to excuse you, it's time to fix this damn door.	Skutečný zachránce! Děkuji ti, vezmi si to prosím jako odměnu. A teď se omlouvám, je čas spravit ty zatracené dveře.
A villager, Joren has gone missing in just the past week. And it’s not just that — a strange altar appeared near the village.	Jeden vesničan, Joren, zmizel zrovna minulý týden. A nejen to - u vesnice se objevil podivný oltář.
A warning, actually. If you want answers, I’m not the one to give them to you. But our leader can.	Vlastně varování. Jestli chceš odpovědi, ode mě je nedostaneš. Ale náš vůdce ano.
A wise approach. Decisions like these should not be made lightly. Whatever you’ve chosen, know that I will support you.	Moudrý přístup. Taková rozhodnutí se nemají dělat lehkovážně. Ať sis vybral cokoli, věz, že tě podpořím.
A wise decision! Even an unforeseen encounter with these relics could unveil secrets that only someone with your insight could decipher.	Moudré rozhodnutí! I nečekané setkání s těmi památkami může odhalit tajemství, která rozluští jen někdo s tvým vhledem.
About his backbone or his blade? Messin’ aside, if I’m gonna fix this, I need you to bring me some iron ingots.	O jeho páteři, nebo o jeho čepeli? Žerty stranou, jestli to mám spravit, potřebuji, abys mi přinesl železné ingoty.
About time. First, we need a proper drinking station—somewhere folks can gather without causing trouble.	Konečně. Nejdřív potřebujeme pořádnou nálevnu - místo, kde se lidé sejdou a nenadělají potíže.
Absolutely, I do love books. They've been my teachers and friends when I didn't have any.	Rozhodně, knihy miluji. Byly mi učiteli i přáteli, když jsem žádné neměl.
Absolutely. There's much more to uncover about the beliefs and customs here. I'll keep exploring.	Rozhodně. O zdejší víře a zvycích se dá odhalit ještě mnohem víc. Budu pátrat dál.
Absolutely. This pig will fetch you double that at the market. This is a prized pig, mind you. Trust me, it’s a steal.	Rozhodně. Na trhu za to prase dostaneš dvakrát tolik. Je to chovné prase, uvědom si to. Věř mi, je to skoro zadarmo.
Accusations like these can ruin a man's life. You should be more careful about who you listen to.	Taková obvinění mohou člověku zničit život. Měl by sis dávat větší pozor, koho posloucháš.
Actually, before I go… Marek mentioned you’re in pretty bad health. And you were struggling to pay your last apprentice?	Vlastně, než půjdu… Marek se zmínil, že na tom se zdravím nejsi dobře. A že jsi měl potíže zaplatit poslednímu učedníkovi?
Actually, while you’re here, I had an idea. After this whole bullying incident, I’ve decided I want to become brave like you, but I’m not sure where to start.	Vlastně, když už jsi tady, dostal jsem nápad. Po celé té šikaně jsem se rozhodl, že chci být statečný jako ty, ale nevím, kde začít.
Actually, y’know what? Maybe you could help me… Hire someone who will protect me and the tavern.	Vlastně, víš co? Možná bys mi mohl pomoct… Najmi někoho, kdo ochrání mě i krčmu.
After the fight, he went to the tavern and got pissed. And on his way home, he tripped and fell. A branch punctured his arm when he tried to break the fall.	Po té rvačce šel do krčmy a opil se. A cestou domů zakopl a upadl. Když se snažil pád zbrzdit, propíchla mu paži větev.
After which, I ask you to also build a herbalist station and an herb garden. With all these new people gods know what kind of injuries or illnesses might occur.	Potom tě žádám, abys postavil i bylinkářskou dílnu a bylinkovou zahradu. S tolika novými lidmi bohové vědí, jaká zranění či nemoci se mohou objevit.
Agreement? Ha! The Elder’s idea of an agreement is me selling at a loss while he pockets market fees. No, I’ve had enough.	Dohoda? Ha! Stařešinova představa dohody je, že já prodávám se ztrátou a on si strká do kapsy tržní poplatky. Ne, mám toho dost.
Ah yes, yes, I saw you in at least one of my dreams, yes. How can this sage help you?	Ach ano, ano, viděl jsem tě aspoň v jednom ze svých snů, ano. Jak ti tento mudrc může pomoci?
Ah! Do you really want to know more about the history of our village, or do you actually want to know about its people?	Ach! Chceš opravdu vědět víc o dějinách naší vesnice, nebo tě spíš zajímají její lidé?
Ah! My diligent friend! The moment of truth! I trust the task was as smooth as a fine silk thread?	Ach! Můj pilný příteli! Chvíle pravdy! Věřím, že úkol šel hladce jako jemná hedvábná nit?
Ah! Typical of Norton. Always busy. I thank you for your trouble. I hope your reward is worthy.	Ach! To je celý Norton. Vždycky zaneprázdněný. Děkuji ti za námahu. Doufám, že tvá odměna stojí za to.
Ah, a delicate situation. Let’s see if we can reach a middle ground. Want to strike a deal?	Ach, choulostivá situace. Uvidíme, jestli najdeme střední cestu. Chceš uzavřít dohodu?
Ah, a fellow warrior! You’re a bit young, perhaps you’re more of a junior member. Either way, your initiation will continue!	Ach, druh válečník! Jsi trochu mladý, spíš mladší člen. Tak či tak, tvé zasvěcení bude pokračovat!
Ah, Blackridgepool. I once knew a young maiden from there, but that's a story for another time. Tell me what you've got.	Ach, Blackridgepool. Kdysi jsem odtamtud znal mladou dívku, ale to je příběh na jindy. Pověz, co máš.
Ah, curious one, are you? These herbs possess unique properties that are potent against pests. One numbs their senses, another disrupts their appetite.	Ach, zvědavý, ano? Ty byliny mají jedinečné vlastnosti účinné proti havěti. Jedna otupí jejich smysly, druhá jim naruší chuť k jídlu.
Ah, finally! Someone who looks capable! My trade routes are being terrorized by a bandit patrol lurking just outside the village.	Ach, konečně! Někdo, kdo vypadá schopně! Mé obchodní cesty sužuje lapkovská hlídka, co číhá hned za vsí.
Ah, hello. I was told you would be coming to see me today. I hope you’ve come with an open mind!	Ach, zdravím. Řekli mi, že mě dnes navštívíš. Doufám, že přicházíš s otevřenou myslí!
Ah, how long have you got? Let's just say blacksmithing itself is much easier than dealing with the Ogden clan.	Ach, kolik máš času? Řekněme, že samotná kovařina je mnohem snazší než jednání s klanem Ogdenů.
Ah, I see, fresh meat. Let’s see what you can do. But beware! Any fool can fish a lake. But this?	Ach, chápu, čerstvé maso. Uvidíme, co dokážeš. Ale pozor! Jezero uloví každý hlupák. Ale tohle?
Ah, I see. This craftsmanship… It's meticulous and thoughtful. You've proven your worth today, well done.	Ach, chápu. To řemeslo… je pečlivé a promyšlené. Dnes jsi prokázal svou cenu, výborně.
Ah, I see. Well, I can assure you my business with Bernar is entirely legitimate.	Ach, chápu. Inu, mohu tě ujistit, že mé obchody s Bernarem jsou zcela poctivé.
Ah, I was convinced it was Teodor. Maybe he should just let off the stews. Either way, thank you for your trouble. Take this.	Ach, byl jsem přesvědčený, že to byl Teodor. Možná by měl s těmi guláši přestat. Tak či tak, děkuji za tvou námahu. Vezmi si to.
Ah, it’s all about intention! I light candles and offer little tokens, like flowers or freshly baked bread. They appreciate sincerity and love.	Ach, všechno je v úmyslu! Zapaluji svíce a přináším drobné dary, třeba květiny nebo čerstvě upečený chléb. Cení si upřímnosti a lásky.
Ah, I’m afraid I do not work for others’ causes. Especially if it means taking orders. I’m sure you understand.	Ach, obávám se, že pro cizí věci nepracuji. Zvláště když to znamená přijímat rozkazy. Jistě chápeš.
Ah, Norton. That man’s had it out for me for years. It all started when I refused to sell him a rare book at a loss.	Ach, Norton. Ten člověk mi jde po krku už léta. Všechno začalo, když jsem mu odmítl prodat vzácnou knihu se ztrátou.
Ah, our paths cross once more. Are you finally able to help in rebuilding our village?	Ach, naše cesty se opět kříží. Můžeš nám konečně pomoct s obnovou vesnice?
Ah, perfect timing, I was hoping to see you. These bandit attacks are growing worse. They killed off our last archer in the most recent raid.	Ach, přicházíš vhod, doufal jsem, že tě uvidím. Ty lapkovské útoky se zhoršují. Při posledním nájezdu zabili našeho posledního lučištníka.
Ah, so you've got ears after all. Yes, I was a champion, believe it or not. But now?	Ach, tak přece jen máš uši. Ano, býval jsem šampion, věř nevěř. Ale teď?
Ah, so you’ve noticed. Well, let’s just say I have a talent for marketing. People are willing to pay more for something that feels exclusive.	Ach, tak sis toho všiml. Inu, řekněme, že mám nadání na prodej. Lidé jsou ochotni zaplatit víc za něco, co působí výlučně.
Ah, the new gods, perfect for a young one, such as yourself. Which one would you like to know more about?	Ach, noví bohové, jako stvoření pro mladíka, jako jsi ty. O kterém by ses rád dozvěděl víc?
Ah, the old gods, going back to the roots. Do you have any special interest in any of them?	Ach, staří bohové, návrat ke kořenům. Zajímá tě některý z nich obzvlášť?
Ah, the smell of fresh herbs in the air always lifts my spirits. Welcome to my garden, adventurer!	Ach, vůně čerstvých bylin ve vzduchu mi vždycky pozvedne náladu. Vítej v mé zahradě, dobrodruhu!
Ah, the smell of fresh herbs in the air always lifts my spirits. Welcome to my garden.	Ach, vůně čerstvých bylin ve vzduchu mi vždycky pozvedne náladu. Vítej v mé zahradě.
Ah, the uninitiated arrives. Have you come to embrace the wisdom of the Overseer?	Ach, přichází nezasvěcený. Přišel jsi přijmout moudrost Dohlížitele?
Ah, those seem associated with an ancient cult that once operated in this region.	Ach, ty se zřejmě pojí s dávným kultem, který kdysi v tomhle kraji působil.
Ah, yes. I see you’ve met our resident ghost. He wanders these lands in limbo, trying to contact his daughter… Only a few can see him.	Ach ano. Vidím, že jsi potkal našeho místního ducha. Bloudí těmito zeměmi v mezisvětě a snaží se spojit se svou dcerou… Vidí ho jen málokdo.
Ah, you're a legend! It feels like I’ve been waiting an age to get my hands on this bait! That Golden Trout will be mine!	Ach, ty jsi legenda! Mám pocit, že na tu návnadu čekám celý věk! Ten Zlatý pstruh bude můj!
Ah, you're back! The constructions are already a big improvement. Thank you. Do you have the supplies I asked for?	Ach, jsi zpátky! Ty stavby už jsou velké zlepšení. Děkuji. Máš zásoby, o které jsem žádal?
Ah, you're just the person I was hoping to run into today. My wife, bless her heart, has been poring over one of them new books Oscar brought in.	Ach, přesně na tebe jsem dnes doufal narazit. Má žena, dobrá duše, se hrbí nad jednou z těch nových knih, které Oscar přivezl.
Ah, you've done well! The grain is good, and the honey is sweet. I’ll start brewing right away.	Ach, vedl sis dobře! Obilí je dobré a med sladký. Hned se pustím do vaření.
Ah, you've returned. I was hoping you'd reconsider. The situation with the missing villager is still weighing heavily on my mind.	Ach, vrátil ses. Doufal jsem, že si to rozmyslíš. Ta věc s nezvěstným vesničanem mi pořád leží těžce na mysli.
Ah, you've returned. What news do you bring of Bernar? Did you uncover anything suspicious?	Ach, vrátil ses. Jaké zprávy neseš o Bernarovi? Odhalil jsi něco podezřelého?
Ah, you’ve returned! Does this mean you’ve reconsidered? I’m still in desperate need of help with this curse.	Ach, vrátil ses! Znamená to, že sis to rozmyslel? Pořád zoufale potřebuji pomoct s tou kletbou.
Ahhh, well, no. Chicken needs a special dish with few ingredients. Please bring me animal feed and then I will give Peckleton.	Áách, inu, ne. Slepice potřebuje zvláštní krmi z několika přísad. Přines mi prosím krmivo a pak ti Peckletona dám.
Alderek. Have you heard of the Theseus Mercenaries? I was one of them. At least, until I turned my back on them in a moment of weakness and arrogance.	Alderek. Slyšel jsi o Théseových žoldácích? Byl jsem jedním z nich. Aspoň dokud jsem se k nim ve chvíli slabosti a zpupnosti neobrátil zády.
Aldric is a reclusive but brilliant scholar. He's been studying ancient rituals and local folklore, particularly focusing on cult activities in the region.	Aldric je samotářský, ale skvělý učenec. Studuje dávné obřady a místní pověsti, obzvlášť se zaměřuje na kultovní činnost v kraji.
Aleks Amanita, a herbalist who lives in the forest, lent me one book about herbs and medicine, and I can’t wait to try them.	Aleks Amanita, bylinkář, co žije v lese, mi půjčil knihu o bylinách a léčitelství a já se nemohu dočkat, až to vyzkouším.
Aleks mentioned he might still have some explosive tendencies, but his condition is stable. Our mutual friend also wanted to thank you personally.	Aleks se zmínil, že možná ještě bude mít výbušné sklony, ale jeho stav je ustálený. Náš společný přítel ti chtěl také osobně poděkovat.
Alistair Boone, the man who murdered a guard, wrote about this book in his diary. Do you think that’s a coincidence?	Alistair Boone, muž, který zavraždil strážného, psal o téhle knize ve svém deníku. Myslíš, že je to náhoda?
All I had to do was follow them when they left the tavern last night, and they led me straight to their treasure trove.	Stačilo je včera večer sledovat, když odcházeli z krčmy, a dovedli mě rovnou ke své pokladnici.
All right, it’s ready to give it to the old malcontent. And make sure to get paid! The old man’s memory can be very selective when it comes to owing money…	Dobrá, je to připravené předat tomu starému nespokojenci. A nezapomeň si vzít zaplaceno! Paměť toho staříka umí být velmi výběrová, když jde o dluhy…
All that mining has destroyed some structures. We have been wanting to fix it, however we’ve been lacking… the funds and resources for it.	To dolování zničilo některé stavby. Chtěli jsme to spravit, jenže nám na to scházejí… peníze a suroviny.
All this for one missing person? I’ll come back when I have nothing better to do.	Tohle všechno kvůli jednomu nezvěstnému? Vrátím se, až nebudu mít nic lepšího na práci.
All you need is technique. If you pull too much you will lose your fish, destroy your equipment, you need to think, feel the rhythm.	Stačí ti technika. Když zabereš příliš, přijdeš o rybu a zničíš si náčiní. Musíš myslet, cítit ten rytmus.
Allegedly, a member of Igor Fulke’s family was involved with the cult. You’re acquainted with Igor, yes? The craftsman.	Prý byl někdo z rodiny Igora Fulkeho s tím kultem spjatý. Znáš Igora, viď? Toho řemeslníka.
Alone is all I’ve known since the day you told me my little girl was gone, taken.	Sám jsem od chvíle, kdy jsi mi řekl, že má holčička je pryč, odvedená.
Alone? No, I am never truly alone. The gods keep me company, and the forest whispers its secrets. Solitude is a gift when one seeks wisdom.	Sám? Ne, nikdy nejsem doopravdy sám. Bohové mi dělají společnost a les mi šeptá svá tajemství. Samota je dar, když člověk hledá moudrost.
Alright, calm yourself! I don’t want to cause a scene in the middle of the village!	Dobrá, uklidni se! Nechci uprostřed vsi dělat scénu!
Alright, give me the bag, but if I get stabbed I'm gonna haunt you from the beyond.	Dobrá, dej mi ten pytel, ale jestli mě probodnou, budu tě strašit ze záhrobí.
Alright, I will bring it to you then. But no more tasks! It’s getting way more complicated.	Dobrá, tak ti to přinesu. Ale žádné další úkoly! Začíná to být příliš spletité.
Alright, I'll keep looking. But I'm not holding my breath for any groundbreaking revelations.	Dobrá, budu hledat dál. Ale na převratná odhalení nespoléhám.
Alright, I'll take a stab at it. Can't be worse than not getting any tools at all, right?	Dobrá, zkusím to. Horší než nemít žádné nářadí to být nemůže, ne?
Alright, I’ll do it. But don’t expect me to stick around if things get too dangerous.	Dobrá, udělám to. Ale nečekej, že zůstanu, když to začne být příliš nebezpečné.
Alright, I’ll take a chance. But if this mine puts my family at risk, I won’t think twice and walk away.	Dobrá, zkusím to. Ale jestli ten důl ohrozí mou rodinu, dvakrát se rozmýšlet nebudu a odejdu.
Alright, the problem is I was attacked by a pack of wolves in the forest. In panic, I threw the sword at them and ran away.	Dobrá, potíž je, že mě v lese napadla vlčí smečka. V panice jsem po nich hodil meč a utekl.
Also, I want this place, exactly the same to have been reserved for every season I come here.	A ještě chci, aby mi tohle místo, přesně tohle, bylo vyhrazeno každou sezonu, kdy sem přijedu.
Also, you can tell him if he wants to get the honor of his village back, he should cut all the ties from the crown. That’s all.	A můžeš mu vyřídit, že chce-li získat čest své vesnice zpět, měl by přetnout všechny svazky s korunou. To je vše.
Also, you will need to take the spices from a nearby herbalist. They’re essential.	A ještě budeš muset vzít koření od zdejšího bylinkáře. Je nezbytné.
Always appreciate the effort, mate. You've not only given the forge some fuel but also made life easier.	Tvého úsilí si vždycky vážím, kamaráde. Nejenže jsi výhni dodal palivo, ale usnadnil jsi mi i život.
Always thinking of the reward, eh? Well, I suppose that’s fair. But don’t forget—Haerndean’s future depends on this work.	Pořád myslíš na odměnu, co? Inu, budiž, je to poctivé. Ale nezapomeň - na téhle práci závisí budoucnost Haerndeanu.
Ambition got the best of me. During a competition for the title of the best blacksmith in the village, tried to sabotage another competitor.	Přemohla mě ctižádost. Při klání o titul nejlepšího kováře ve vsi jsem se pokusil znemožnit jiného soupeře.
An offering is more than just an object. It's a symbol of our devotion. Without it, the shrine is merely stone and wood.	Obětina je víc než jen věc. Je znamením naší oddanosti. Bez ní je svatyně pouhý kámen a dřevo.
Ancient shrines, you say? Sounds like something worth learning about. Where should I start?	Dávné svatyně, říkáš? Zní to jako něco, co stojí za poznání. Kde mám začít?
And don't get me started on the menacing way the wind blows through the trees, clearly a secret bandit messages! We must remain vigilant at all times!	A o tom hrozivém způsobu, jakým vítr fouká mezi stromy, ani nemluvme, to jsou zjevně tajné lapkovské vzkazy! Musíme být neustále ve střehu!
