# Obsah hry, dávka 09 (F) - originál <TAB> překlad

# --- repliky ---
Farewell.	Buď sbohem.
Fishy Business	Podezřelý kšeft
Fool Me Once	Oklamej mě jednou
Fowl Play	Drůbeží podraz
Friends in High Places	Přátelé na vysokých místech
Fun and Games	Zábava a hry
Fun and Games - Part 2	Zábava a hry – část 2
Feuding merchants send death threats	Znesváření kupci si vyhrožují smrtí

# --- zápisky a předměty k úkolům ---
Farmer's Letter	Sedlákův dopis
Farmer's note	Sedlákův zápisek
Feuding merchants letter	Dopis znesvářených kupců
Fisherman's Letter (Quest Item)	Rybářův dopis (předmět k úkolu)
Fishing Rod Parts (Quest Item)	Díly rybářského prutu (předmět k úkolu)
Fixed Sword (Quest Item)	Opravený meč (předmět k úkolu)
Frauded Letter (Quest Item)	Podvržený dopis (předmět k úkolu)
Former Lord Ashbourne sword with donkey signature on hilt.	Meč někdejšího lorda Ashbourna s oslí značkou na jílci.

# --- rybolov ---
Fish	Ryba
Fish Fillet	Rybí filet
Fish Scale	Rybí šupina
Fish Soup	Rybí polévka
Fish Merchant	Obchodník s rybami
Fish Trophys	Rybářské trofeje
Fisherman	Rybář
Fisherman dock	Rybářské přístaviště
Fisherman hut	Rybářská chýše
Fisherman Hut	Rybářská chýše
Fishing	Rybolov
Fishing Bait	Rybářská návnada
Fishing Camp	Rybářský tábor
Fishing Camp & Rod	Rybářský tábor a prut
Fishing location	Rybářské místo
Fishing Net	Rybářská síť
Fishing Nets	Rybářské sítě
Fishing Rod	Rybářský prut

# --- jídlo ---
Food	Jídlo
Food Rations	Příděly jídla
Fine Meat Pie	Kvalitní masový koláč
Fine Meat Roast	Kvalitní pečeně
Fine Meat Stew	Kvalitní masový guláš
Fine Stew	Kvalitní guláš
Fine Vegetable Soup	Kvalitní zeleninová polévka
Flour	Mouka
Flour and wax	Mouka a vosk
Flax	Len
Flax Seeds	Semena lnu
Feather	Pírko
Feathers	Peří
Fur	Kožešina
Fine Leather	Kvalitní useň
Fertilizer	Hnojivo
Fuel	Palivo
Fired out of raw clay at the Smelter.	Vypálíš ze syrové hlíny v tavicí peci.
Fine-grained, clastic sedimentary rock formed from quartz.	Jemnozrnná úlomkovitá usazená hornina z křemene.
Flask used for mixing different herbs.	Baňka na míchání různých bylin.

# --- zbraně a výstroj ---
Fine Arming Sword	Kvalitní rytířský meč
Fine Axe	Kvalitní sekera
Fine Bastardsword	Kvalitní bastardní meč
Fine Longsword	Kvalitní dlouhý meč
Flanged Mace	Palcát s křídly
Folded Leather Boots	Přehnuté kožené boty
Fellwalker's Boots	Boty poutníka po vrchovině
Frontiersman's Helm	Přilba pohraničníka
Footman's Hat	Pěšákova čapka
Farmer Hat 1	Selský klobouk 1
Farmer Hat 2	Selský klobouk 2
Farmer Shirt	Selská košile
Foraging Pouch	Váček sběrače
Food Bag	Brašna na jídlo

# --- zvířata ---
Feral Dog	Zdivočelý pes
Feral Dog Carcass	Mršina zdivočelého psa
Fox	Liška
Foxes	Lišky
Fox Carcass	Liščí mršina

# --- stavby a místa ---
Farm	Hospodářství
Farming	Zemědělství
Farmer	Sedlák
Farnworth settlers	Osadníci z Farnworthu
Fence	Plot
Ferry	Přívoz
Forge	Kovárna
Forest	Les
Forest Meadow	Lesní louka
Forest Meadows	Lesní louky
Forester	Lesník
Fletcher	Šípař
Footman	Pěšák
Forager	Sběrač
Forager Rack	Stojan sběrače
Foraging Camp	Sběrný tábor
Foraging Camp T2	Sběrný tábor T2
Foraging Hut	Sběrná chýše
Foraging Hut Village Outpost	Sběrná chýše – vesnická základna
Foraging Lodge	Sběrný srub
Foraging Tent	Sběrný stan
Food Cellar	Sklep na jídlo
Food Sorting Bench	Třídicí stůl na jídlo
Feed Storage	Sklad krmiva
Fortified gate with elevated defensive position.	Opevněná brána s vyvýšeným obranným stanovištěm.

# --- rozhraní ---
Fast Travel	Rychlé cestování
Fast travel in progress...	Probíhá rychlé cestování…
Favored Supply	Oblíbená dodávka
Feed	Krmivo
Feed level:	Míra nakrmení:
Female	Žena
Fertility	Plodnost
Fierce	Nelítostný
Fighters	Bojovníci
Finalize	Dokončit
First Belt Slot	První pozice na opasku
First Quick Slot	První rychlá pozice
Fourth Weapon Slot	Čtvrtá pozice na zbraň
Food Bag Slot	Pozice na brašnu s jídlem
Food diet and nutrition	Strava a výživa
First trade of the day increases prosperity.	První obchod dne zvýší prosperitu.
Flesh Wound	Škrábnutí
Follow	Následovat
Fortifying	Opevňuje se
Found a technical issue?	Narazil jsi na technickou závadu?
Free Construction Points	Volné stavební body
Freedom	Svoboda
Freezing due to winter	Mrzne kvůli zimě
Friend	Přítel
Friendly	Přátelský
From	Od
From hostile encampments:	Z nepřátelských táborů:
From material	Z materiálu
Fulfillable	Splnitelné
Full	Plné
FOCUS ON PLAYER	ZAMĚŘIT NA HRÁČE
Focus on the player	Zaměřit na hráče
FOR TRAILER	PRO UPOUTÁVKU
