# Quests/SideQuests - 2. davka
Alright. Farwell.	Dobrá. Buď sbohem.
And I’ll be sure to reward you handsomely. Can you handle that?	A já se postarám, abys byl štědře odměněn. Zvládneš to?
And I’ll kill whoever I want! <Fight>	A zabiju, koho budu chtít! <Fight>
And lie to her for the rest of our lives? What if someone discovers the truth?	A lhát jí do konce života? Co když někdo odhalí pravdu?
And neither of you want to be an adult and bury the hatchet?	A ani jeden z vás se nechce zachovat dospěle a zakopat válečnou sekeru?
And of course it looks like you deserve a reward.	A samozřejmě to vypadá, že si zasloužíš odměnu.
And please take this as a token of our gratitude.	A vezmi si prosím tohle na znamení naší vděčnosti.
And something extra for a job well done.	A něco navíc za dobře odvedenou práci.
And something extra from the villagers.	A něco navíc od vesničanů.
And take one of these as a token of my gratitude.	A vezmi si jednu z těchhle na znamení mé vděčnosti.
And thank you. For your trust in me. I do not take it lightly.	A děkuji ti. Za důvěru ve mě. Neberu ji na lehkou váhu.
And that’s my situation. Do you want to hear about my proposition now?	A taková je má situace. Chceš teď slyšet mou nabídku?
And the blade?	A ta čepel?
And the Red Thorns?	A Red Thorns?
And they never feel like it. That’s why they call it fishing and not catching.	A nikdy se jim nechce. Proto se tomu říká rybaření, a ne chytání.
And thus, you have earned my trust.	A tím sis vysloužil mou důvěru.
And what did this trader have to say?	A co říkal ten obchodník?
And what exactly are you trying to imply!?	A co přesně tím chceš naznačit!?
And what happened when you refused?	A co se stalo, když jsi odmítl?
And what will be your decision?	A jaké bude tvé rozhodnutí?
And what’s your story?	A jaký je tvůj příběh?
And where is this letter you speak of?	A kde je ten dopis, o kterém mluvíš?
And who are you?	A kdo jsi ty?
And who might you be?	A kdopak jsi ty?
And yet… Many sleep easier knowing he’ll never lead them into another rebellion.	A přece… mnozí spí klidněji s vědomím, že je už nikdy nepovede do další vzpoury.
And yet… many sleep safe knowing he’ll never lead them into another rebellion.	A přece… mnozí spí bezpečně s vědomím, že je už nikdy nepovede do další vzpoury.
And you are…?	A ty jsi…?
And you can take some of these from my collection.	A můžeš si vzít pár těchhle z mé sbírky.
And you want me to deal with them?	A chceš, abych se s nimi vypořádal já?
And you! Here, take some coins for your trouble.	A ty! Tu máš, vezmi si pár mincí za svou námahu.
And you’re sure he’s actually “missing”…?	A jsi si jistý, že je opravdu „nezvěstný“…?
Anna asked me to get the spices from this list.	Anna mě požádala, ať obstarám koření z tohohle seznamu.
Anna seems like she’s losing it. No wonder you avoid her.	Zdá se, že Anna přichází o rozum. Není divu, že se jí vyhýbáš.
Anna told me what happened. She’s carrying a lot of guilt.	Anna mi řekla, co se stalo. Nese si velkou vinu.
Anna’s a liability. If you stay with her, she’ll drag you down with her.	Anna je přítěž. Jestli s ní zůstaneš, stáhne tě s sebou.
Another day, another problem. What is it today?	Další den, další potíž. Co je dnes?
Another silly dispute for me to handle, I see.	Další hloupá rozepře, kterou mám urovnat, jak vidím.
Another thing? What do you mean by another thing?	Ještě něco? Jak to myslíš, ještě něco?
Answer.	Odpověz.
Any interesting rumors going around? Feel like sharing?	Kolují nějaké zajímavé zvěsti? Nepodělíš se?
Any news about Anna and Tomas?	Máš nějaké zprávy o Anně a Tomasovi?
Any news from Aleks?	Nějaké zprávy od Alekse?
Any progress? Each day she's gone, it feels like my world's falling apart.	Nějaký pokrok? Každý den, co je pryč, mi připadá, jako by se mi hroutil svět.
Anything else I can help you with?	Mohu ti pomoci ještě s něčím?
Anything I could be of help to you?	Mohu ti být nějak nápomocen?
Anyway! How can I help you today?	Každopádně! Jak ti dnes mohu posloužit?
Anyway, here's your reward.	Každopádně, tady máš odměnu.
Anzo Milton, Cudka Ricket, and Alistair Boone.	Anzo Milton, Cudka Ricket a Alistair Boone.
Anzo Milton.	Anzo Milton.
Are night watches effective against bandits?	Jsou noční hlídky proti lapkům účinné?
Are there any suspects you have in mind?	Máš na mysli nějaké podezřelé?
Are there other spirits around here?	Jsou tu i jiní duchové?
Are there problems in your family?	Máte v rodině potíže?
Are those new recipes safe?	Jsou ty nové recepty bezpečné?
Are ya lost?	Zabloudil jsi?
Are you armed?	Jsi ozbrojený?
Are you Arnol Ingrid?	Jsi Arnol Ingrid?
Are you going to explain, or just keep rattling off synonyms?	Vysvětlíš mi to, nebo budeš dál chrlit jedno slovo za druhým?
Are you looking for a duel, or do you want my help?	Hledáš souboj, nebo chceš mou pomoc?
Are you mocking me?! You will pay for your misdeeds, just like that guard!	Ty se mi posmíváš?! Zaplatíš za své hanebnosti, stejně jako ten strážný!
Are you ready to help me free my friend?	Jsi připraven pomoct mi osvobodit přítele?
Are you ready to join forces?	Jsi připraven spojit síly?
Are you ready to talk about what happened?	Jsi připraven promluvit o tom, co se stalo?
Are you serious? Then who gave me this letter…?	Myslíš to vážně? Kdo mi tedy dal tenhle dopis…?
Are you still interested in earning an honest coin for an easy job?	Máš pořád zájem vydělat si poctivou minci snadnou prací?
Are you sure it was Asha? Could it have just been wear and tear?	Jsi si jistý, že to byla Asha? Nemohlo to být jen opotřebením?
Are you sure that someone lured the boars?	Jsi si jistý, že ty kance někdo přilákal?
Are you sure you didn’t see anything?	Jsi si jistý, že jsi nic neviděl?
Are you sure?	Jsi si jistý?
Are you sure? Maybe they left something behind that could help me find her?	Jsi si jistý? Nenechali po sobě něco, co by mi pomohlo ji najít?
Are you willing to help me with my bandit problem?	Jsi ochoten mi pomoct s mou lapkovskou potíží?
Aren’t you a delight. Fine, take the flask. Tell Aleks this one’s on the house.	Ty jsi ale poklad. Dobrá, vezmi si tu lahvičku. Vyřiď Aleksovi, že tahle je na účet podniku.
Aren’t you forgetting about something old man?	Nezapomínáš na něco, staříku?
Aren’t you forgetting something?	Nezapomínáš na něco?
Arming up for a war, or are you just that scared of the wildlife?	Zbrojíš na válku, nebo máš jen takový strach z divé zvěře?
As for compensation, the village will reward you handsomely with coin.	Co se odměny týče, vesnice tě štědře odmění mincemi.
As for that apprentice nonsense… Well, you shouldn’t believe rumors, young pup.	Co se týče těch nesmyslů o učedníkovi… Inu, neměl bys věřit klepům, štěně.
As I said, cowards and frauds, the lot of them!	Jak jsem řekl, zbabělci a podvodníci, všichni do jednoho!
As long as I get a cut, then I’m happy to help.	Dokud dostanu svůj díl, rád pomohu.
As long as you don’t get in my way, I’m sure we’ll be allies for years to come.	Dokud mi nebudeš lézt do cesty, jistě budeme spojenci ještě dlouhá léta.
As you said, he was murdered. All clues pointed to one of the Queen’s guard.	Jak jsi řekl, byl zavražděn. Všechny stopy vedly k jednomu z královniných strážců.
As you said, he was murdered. No clues, unfortunately.	Jak jsi řekl, byl zavražděn. Bohužel žádné stopy.
Ask him, he struck first. I'm just retaliating.	Zeptej se jeho, udeřil první. Já jen oplácím.
Ask me anything. I’m an open book.	Ptej se na cokoli. Jsem otevřená kniha.
Ask then!	Tak se ptej!
Ask Theodor and Andrea. They were the people who reported it.	Zeptej se Theodora a Andrey. To oni to ohlásili.
Ask, I’m listening.	Ptej se, poslouchám.
At least Eryk is alive, thank you for finding him.	Aspoň že Eryk žije, děkuji ti, že jsi ho našel.
At least the Brigands are not bothering us…	Aspoň že nás Brigands neobtěžují…
At nothing.	Na nic.
Avoids me? Of course he avoids me. He thinks I’m a monster. Maybe I am.	Vyhýbá se mi? Samozřejmě že se mi vyhýbá. Má mě za netvora. Možná jím jsem.
Ay? What can I do fer ye, young pup?	Ano? Co pro tebe mohu udělat, štěně?
Aye, maybe after this adventure you’ll be a master of commerce.	Inu, po tomhle dobrodružství z tebe možná bude mistr obchodu.
Aye? What can I do for you today?	Ano? Co pro tebe dnes mohu udělat?
Back already? Do you have everything I asked for?	Už zpátky? Máš všechno, oč jsem tě žádal?
Back to my other questions.	Zpátky k mým dalším otázkám.
Back to my questions.	Zpátky k mým otázkám.
