# Obsah hry, dávka 16 (L-M) - originál <TAB> překlad
# Vkládá se s --overwrite kvůli opravě řady knih dovedností.
#
# Stupně knih odpovídají cechovní hierarchii:
#   Apprentice = učednická, Journeyman = tovaryšská,
#   Expert = znalecká, Master = mistrovská

# --- oprava: Expert Book byl dřív přeložen stejně jako Master Book ---
Expert Book - Agility	Znalecká kniha – Hbitost
Master Fletcher	Mistr šípař
Loser	Smolař

# --- správa osady ---
Manage Camp	Spravovat tábor
Manage Chopping Logs	Spravovat štípání klád
Manage Crafting Planks	Spravovat výrobu prken
Manage Loom	Spravovat tkalcovský stav
Manage Loom Workers	Spravovat tkalce
Manage Lumberjack Orders	Spravovat dřevorubecké zakázky
Manage Lumbermill Workers	Spravovat dělníky na pile
Manage Mining	Spravovat těžbu
Manage Orders	Spravovat zakázky
Manage orders	Spravovat zakázky
Manage Pit Orders	Spravovat zakázky jámové pily
Manage Settlement	Spravovat osadu
Manage Settlers	Spravovat osadníky
Manage Trappers	Spravovat traperské práce
Manage unfinished structure.	Spravovat nedokončenou stavbu.
Manage Weaver's table	Spravovat tkalcův stůl
Manage Woodcutting	Spravovat kácení
Manage workers	Spravovat dělníky
Management	Správa
Managing Your Settlements	Správa tvých osad

# --- rozhraní ---
Look	Podívat se
Look Inside	Podívat se dovnitř
Loot	Prohledat
Loot Container	Prohledat nádobu
Loot Offerings	Sebrat obětiny
Loot Player	Prohledat hráče
Loop	Smyčka
Lost a friend	Ztratil přítele
Lost a raid	Prohraný nájezd
Low morale	Nízká morálka
Lower	Snížit
Lowest	Nejnižší
Loyalty	Věrnost
Loyalty & Wrath	Věrnost a hněv
Maintenance	Údržba
Major	Značný
Makeup	Líčení
Male	Muž
Makes material have two available mask slots	Materiál získá dvě pozice na masku
Mask picker	Výběr masky
Mask Texture	Textura masky
Mask Texture Alternative	Náhradní textura masky
Mark All As Read	Označit vše jako přečtené
