# Dialogy úkolů (RaidMap), dávka 06 - originál <TAB> překlad

# --- odmítnutí a odklad ---
Forget it.	Zapomeň na to.
I do. And I’m afraid to be right. We have our drink, Doll’s Tears.	Ano. A bojím se, že mám pravdu. Máme svůj nápoj, Slzy panenky.
I give what I can, but ale doesn’t fill an empty stomach.	Dávám, co můžu, ale pivo prázdný žaludek nenaplní.
I had a bad feeling about sending them on that job…	Měl jsem z toho úkolu špatný pocit…
Greatest warrior.	Největší válečník.
Gregory Sweat, the one born from the waves.	Gregory Sweat, ten zrozený z vln.
Actually. What happened with the Duke's contract?	Vlastně. Co se stalo s vévodovou smlouvou?

# --- jména závodních prasat ---
Gilded Trotter.	Zlacené kopýtko.
Greased Lightning.	Mazaný blesk.
Half-a-Trot.	Půlklusák.
