# Dialogy NPC, dávka 02 - originál <TAB> překlad

# --- pozdravy a přivítání ---
Well met.	Buď zdráv.
See you.	Uvidíme se.
Keep going!	Jen tak dál!
Keep going.	Jen tak dál.
It's nothing.	To nic.
Please.	Prosím.
Please help me.	Prosím, pomoz mi.
Please I need to get out.	Prosím, musím se odsud dostat.
Please, spare a coin, gentle soul?	Prosím, nenajde se mince, dobrá duše?
I’m glad to hear it!	To rád slyším!
I’m good now, thanks.	Teď je mi dobře, díky.
I’ve come to stop you.	Přišel jsem tě zastavit.
We should be careful.	Měli bychom být opatrní.
Lets drink some WhiteBeer!	Dáme si bílé pivo!

# --- nemám práci / nemám co říct ---
I'm sorry, but I don't have any job for you at the moment.	Promiň, ale teď pro tebe práci nemám.
Sorry, I've nothing to for you at this moment.	Promiň, teď pro tebe nic nemám.
Sorry, can't help with anything right now.	Promiň, teď s ničím pomoct nemůžu.
Sorry, stranger, but I can't say too much.	Promiň, cizinče, ale víc říct nemůžu.
Sorry, I’m busy. Go find the village Elder, he should be able to help you.	Promiň, mám práci. Najdi vesnického stařešinu, ten ti pomůže.
Unfortunately, I have no job for you.	Bohužel pro tebe práci nemám.
Nothing comes to mind. Check with me tomorrow.	Nic mě nenapadá. Zastav se zítra.
Nothing comes to my mind.	Nic mě nenapadá.
Nothing much, really.	Vlastně nic zvláštního.
What is there to say really?	Co k tomu vlastně říct?
Make it quick. I need to work.	Rychle. Musím pracovat.
Maybe. But I need you to finish that other thing first.	Možná. Ale nejdřív potřebuju, abys dokončil tu druhou věc.
No, thank you. I don't want any trouble, so it’s better to know less.	Ne, děkuji. Nechci potíže, tak je lepší vědět míň.
I'm sorry, but I just can't bring myself to trust you yet. We are wary of strangers in these parts.	Promiň, ale zatím ti prostě nedokážu věřit. Cizinci jsou tu na pováženou.
I'm sorry, but I prefer not to talk with strangers. Especially with the guards lurking nearby.	Promiň, ale s cizinci raději nemluvím. Zvlášť když poblíž číhají stráže.
Oh, I can't. You see, in this village, there's nothing for me.	Nemůžu. Víš, v téhle vsi pro mě nic není.
I’m grateful for the opportunity to work but I don’t know you.	Vážím si nabídky práce, ale neznám tě.
I’m sure you mean well, but you’re still earning your place in this place. Come back to me later.	Určitě to myslíš dobře, ale své místo si tu teprve získáváš. Vrať se později.
I’m not sure what more you could do.	Nevím, co víc bys mohl udělat.

# --- přijetí a spolupráce ---
If the rest of the village has accepted you, that’s good enough for me. Let’s get to work.	Když tě přijala zbylá ves, mně to stačí. Dejme se do práce.
If you need anything, let me know. I’ll do my best to help.	Kdybys něco potřeboval, řekni. Udělám, co půjde.
Well, if there's anything else I can do to assist, please don't hesitate to ask.	Kdybych mohl ještě nějak pomoct, klidně se ozvi.
It sounds like you could use some assistance. I'll see what I can do to help.	Zní to, že by se ti hodila pomoc. Uvidím, co zmůžu.
I'm glad to have been of some help. It's heartening to see the village on the path to recovery.	Jsem rád, že jsem trochu pomohl. Potěší vidět ves na cestě k obnově.
In times like these, every act of kindness counts, no matter how small.	V takových časech se počítá každý dobrý skutek, i ten nejmenší.
Oh, it's the least I can do.	To je to nejmenší, co můžu udělat.
Not yet, traveler. But if you continue to help those of us in need, we will respond in kind.	Zatím ne, pocestný. Ale budeš-li dál pomáhat potřebným, oplatíme ti to.
I’ve seen the good you’ve done for this community, and I want to help. So yes, I’ll work with you.	Viděl jsem, co dobrého jsi pro tuhle obec udělal, a chci pomoct. Takže ano, půjdu do toho.
I’m looking for good people to help me survive this place. Would you consider working with me?	Hledám dobré lidi, kteří mi pomůžou tohle místo přežít. Zvážil bys spolupráci?
The Lowlands is a dangerous place, perhaps we could work together and have each other’s backs?	Nížiny jsou nebezpečné, co kdybychom si vzájemně kryli záda?
These lands are my home. How do I know you won't bring trouble to them?	Tyhle končiny jsou můj domov. Jak mám vědět, že sem nepřineseš potíže?
Trust can't be forced, I see that now. I wish it were different.	Důvěru si vynutit nelze, teď to chápu. Kéž by to bylo jinak.
It's always challenging starting anew. It's unfortunate we can't work together.	Začínat znovu je vždycky těžké. Škoda, že spolu nemůžeme pracovat.
Simple gestures can be the start of something, but I see they might not be enough here.	Drobná gesta mohou být začátkem, ale tady zjevně nestačí.
Intention is something one must witness. It's a shame our paths may not cross for long.	Úmysl je třeba vidět na vlastní oči. Škoda, že se naše cesty asi dlouho křížit nebudou.

# --- příběhové repliky ---
I don't know! It was dark I don't remember too much! Just please, find a way to get me out of here.	Nevím! Byla tma, moc si toho nepamatuju! Jen prosím, dostaň mě odsud.
The situation is dire. I don't want to talk about it but you're here. You're going to help right?	Situace je zlá. Nerad o tom mluvím, ale jsi tady. Pomůžeš, viď?
It seems that Brigands have been lurking on the outskirts of the village, plotting mischief.	Zdá se, že se na okraji vsi potulují lupiči a chystají něco zlého.
Now at long last I can trade my sunflowers to the Padstow settlement without fear of bandits!	Konečně můžu vozit slunečnice do Padstowu bez strachu z lapků!
Oh, everything is great mostly, Lord Ashbourne really takes care of us.	Většinou je všechno skvělé, lord Ashbourne se o nás opravdu stará.
Oh, everything is great, mostly, Lord Ashbourne really takes care of us.	Většinou je všechno skvělé, lord Ashbourne se o nás vážně stará.
Sometimes it’s better, sometimes it's worse, but we’re surviving.	Někdy líp, někdy hůř, ale přežíváme.
We fight, we steal, we survive. That’s it. Nothing fancy — just Cassians taking care of Cassians.	Bojujeme, krademe, přežíváme. Nic víc. Žádné cavyky – Cassiané se starají o Cassiany.
We raid islands and ships. Some call us ruthless, maybe… but we take care of our own.	Přepadáme ostrovy a lodě. Někdo nám říká nelítostní, možná… ale o své se staráme.
We’ve lost some ground, sure. But we’re coming back. Step by step, we push the Cassians back.	Něco jsme ztratili, to ano. Ale vracíme se. Krok za krokem Cassiany tlačíme zpět.
We want to reclaim full control as an independent people.	Chceme získat plnou vládu zpět jako svobodný lid.
Ha! Remove the Halmayans and bring us the medals they keep close. That will prove you mean business.	Ha! Zbav nás Halmayanů a přines nám medaile, které u sebe nosí. Tím dokážeš, že to myslíš vážně.
If you want something, talk to Cassandra.	Jestli něco chceš, promluv s Cassandrou.
I’m sorry to hear that. So now, you are last from The Yorklyns?	To mě mrzí. Takže jsi teď poslední z Yorklynů?
I don't know what's worse: the constant darkness underground or the never-ending daylight up here.	Nevím, co je horší: věčná tma pod zemí, nebo nekonečné světlo tady nahoře.
I tried to strike up a conversation with one of the clay ores yesterday. It didn't go well.	Včera jsem zkusil zapříst hovor s hroudou hlíny. Nedopadlo to dobře.
Why do they call it 'diamond mining' when most of what we dig up is just worthless clay?	Proč tomu říkají „těžba diamantů", když většina toho, co vykopeme, je bezcenná hlína?
The heat is unbearable.	To horko je nesnesitelné.

# --- odpovědi na shánění ---
Blacksmith can be found in Blackridgepool and Horndean, but you can try your luck in Haerndean too.	Kováře najdeš v Blackridgepoolu a Horndeanu, ale zkusit můžeš i Haerndean.
I'm sure you will find someone in Blackridgepool and Haerndean.	Určitě někoho najdeš v Blackridgepoolu a Haerndeanu.
Try in Blackridgepool, they should have plenty of people with that profession.	Zkus Blackridgepool, tam by lidí toho řemesla mělo být dost.
Iron is mostly in the Highlands. Look in the mountains.	Železo je hlavně ve Vysočině. Hledej v horách.
It can be found on the lowlands area, don't look for it in the forests or mountains.	Najdeš to v Nížinách, nehledej v lesích ani horách.
Not here, you won't find flax on our Isles.	Tady ne, len na našich ostrovech nenajdeš.
The closest one is near a bridge from Haerndean area to Bradford passage.	Nejbližší je u mostu z haerndeanského kraje k bradfordskému průsmyku.
They’re scattered all over the Isles. The nearest ones are outside Cragkeep.	Jsou roztroušené po celých ostrovech. Nejbližší jsou za Cragkeepem.
I’m looking for resources. Can you tell me where to find them?	Sháním suroviny. Řekneš mi, kde je najdu?
I’m looking for people experienced in certain trades. Do you know where I might find them?	Hledám lidi zkušené v jistých řemeslech. Nevíš, kde je najdu?
I’m looking for olives.	Hledám olivy.
I’m looking for Olives.	Hledám olivy.
