# Obsah hry, dávka 12 (H-I) - originál <TAB> překlad

# --- oprava z minulé dávky (zdroj má \r\n, ne \n) ---
Hey!!!\r\nCan I join you?	Hej!!!\r\nMůžu se přidat?
I can't help you right now. I hope your cow recovers.	Teď ti pomoct nemůžu. Doufám, že se ta kráva uzdraví.
I can’t go home, she’ll hit me with a stick!	Domů nemůžu, praští mě klackem!
I don't feel good enough for talking, sorry…	Není mi dost dobře na řeči, promiň…
I don't have a key. I could always hack it to pieces.	Klíč nemám. Vždycky to můžu rozsekat.
I don't remember a thing	Vůbec nic si nepamatuju
I don't trust you! What are you hiding?!	Nevěřím ti! Co skrýváš?!
I don't trust you. What are you hiding?	Nevěřím ti. Co skrýváš?
I don’t know the password.	Neznám heslo.
I have no place for you at this moment.	Teď pro tebe místo nemám.
I have nothing to speak with you.	Nemám s tebou o čem mluvit.
I have some questions about the winery.	Mám pár otázek ohledně vinařství.
I have something special for you…	Mám pro tebe něco zvláštního…
I haven't been so full in ages	Takhle najedený jsem nebyl celé věky
I hear you and Berta keep the market lively.	Prý s Bertou držíte trh při životě.
I hear you and Gavin keep the market lively.	Prý s Gavinem držíte trh při životě.
I hope Edoardo will get you for this…	Doufám, že tě za tohle Edoardo dostane…
I hope this isn't permanent	Doufám, že to není natrvalo
I hope we don't run of that anytime soon	Doufám, že nám to jen tak nedojde
I hope you find the peace you seek.	Doufám, že najdeš klid, který hledáš.
I hope you know what you’re doing. Back to my questions.	Doufám, že víš, co děláš. Zpět k mým otázkám.
I need a key, maybe the guard have it.	Potřebuju klíč, možná ho má ten strážný.
I need three axes and two bows.	Potřebuju tři sekery a dva luky.

# --- deník: co hráč udělal ---
I brought Hans the arrows as he requested.	Přinesl jsem Hansovi šípy, jak žádal.
I brought Hans the quiver he asked for.	Přinesl jsem Hansovi toulec, o který žádal.
I brought some items you asked for	Přinesl jsem předměty, cos chtěl
I brought some stuff you asked for	Přinesl jsem věci, cos chtěl
I brought those stuff you asked for	Přinesl jsem ty věci, cos chtěl
I brought some of the swords you requested.	Přinesl jsem některé meče, cos žádal.
I brought the goods that the smuggler is looking to sell.	Přinesl jsem zboží, které chce pašerák prodat.
I brought the letter I had found to Cyrus.	Odnesl jsem nalezený dopis Cyrusovi.
I brought the loot back to the former bandit.	Vrátil jsem kořist bývalému lapkovi.
I chose not to betray the Cassians, Voss lays here dead.	Rozhodl jsem se Cassiany nezradit, Voss tu leží mrtvý.
I chose to betray the Cassians, Eryk lays here dead.	Rozhodl jsem se Cassiany zradit, Eryk tu leží mrtvý.
I delivered the items that Cyrus needed for his trip.	Doručil jsem věci, které Cyrus potřeboval na cestu.
I finished setting up my camp.	Dokončil jsem stavbu tábora.
I found Donovan’s coins. I should speak with him.	Našel jsem Donovanovy mince. Měl bych s ním promluvit.
I found Helga's husband, something is not right.	Našel jsem Helžina manžela, něco tu nehraje.
I found the Mayor, now I need to get him out of here.	Našel jsem starostu, teď ho musím dostat ven.
I found this scarf with embroidered initials.	Našel jsem tenhle šátek s vyšitými iniciálami.
I had to put him down, he went completely insane.	Musel jsem ho sprovodit ze světa, úplně zešílel.
I have brought a wonderfully cooked meat stew for Anna.	Přinesl jsem Anně skvěle uvařený masový guláš.
I have brought all the necessary ingedients for the cure.	Přinesl jsem všechny potřebné přísady na lék.
I have defeated the camp, I must rescue these prisoners.	Tábor jsem porazil, teď musím osvobodit zajatce.
I have the book, time to return it to Cecilio.	Mám tu knihu, čas ji vrátit Ceciliovi.
I have the parts from Marek.	Mám ty díly od Marka.
I killed Loxley, my decisions are my own.	Zabil jsem Loxleyho, má rozhodnutí jsou jen má.

# --- zadání úkolů ---
Hire another follower.	Najmi dalšího družiníka.
Hire {Npc}	Najmi {Npc}
Hunt bandit patrols	Lov hlídky lapků
Hunt bandits patrols	Lov hlídky lapků
Hunt down Black Tusker.	Ulov černého kance.
Hunt for the gambito in Redhold.	Hledej gambito v Redholdu.

# --- názvy úkolů ---
Home Is Where the Coop Is	Všude dobře, v kurníku nejlíp
Humble Beginnings	Skromné začátky
Hunter and Hunted	Lovec a lovený
Hunter and hunted.	Lovec a lovený.
Hunter's Help	Lovcova pomoc

# --- výstroj horských loupežníků ---
Highlands Robbers Helmets 1	Přilby horských loupežníků 1
Highlands Robbers Helmets 2	Přilby horských loupežníků 2
Highlands Robbers Garb 1	Šat horských loupežníků 1
Highlands Robbers Garb 2	Šat horských loupežníků 2
Highlands Robbers Garb 3	Šat horských loupežníků 3
Highlands Robbers Gloves	Rukavice horských loupežníků
Highlands Robbers Pants	Kalhoty horských loupežníků
Highlands Robbers Boots	Boty horských loupežníků

# --- suroviny a jídlo ---
Honey	Med
Honey Cakes	Medové koláčky
Hops	Chmel
Hops Seeds	Semena chmele
Hoe	Motyka
Holds a fair amount of water	Pojme slušné množství vody

# --- zvířata ---
Highlands Wolf	Horský vlk
Hoofstock	Kopytníci
Husbandry	Chov
Hutch	Králíkárna

# --- lov ---
Hunter	Lovec
Huntsman	Lovčí
Hunting	Lov
Hunting radius	Okruh lovu
Hunter's Lodge	Lovecká chata
Hunters Camp	Lovecký tábor
Hunters Camp T2	Lovecký tábor T2
Hunters Camp Village Outpost	Lovecký tábor – vesnická základna

# --- stavby a místa ---
House	Dům
Housing	Bydlení
Housing Tent	Obytný stan
Hut	Chýše
Horndean settlers	Osadníci z Horndeanu

# --- rozhraní ---
Hire Mercenaries	Najmout žoldnéře
Hire mercenaries	Najmout žoldnéře
Hired	Najat
Hold Ground	Držet pozici
Hold any button to skip	Podržením libovolného tlačítka přeskočíš
Hold pull to keep the hook in the yellow area.	Držením taháš, ať háček zůstane ve žlutém poli.
Home sweet home	Doma je doma
Homeless	Bez domova
Homeless for one day	Bez domova jeden den
Homeless for multiple days	Bez domova několik dní
Housed	Ubytován
Honor	Čest
Horizon	Obzor
Host from Save	Hostovat z uložené hry
Host New Game	Hostovat novou hru
Hostile	Nepřátelský
Hostility	Nepřátelství
Hunger	Hlad
Hungry	Hladový
HP Regeneration	Obnova zdraví
HQ:	Velitelství:
