# Dialogy osvobozování vsí - originál <TAB> překlad
#
# Klíčové příběhové momenty. Tón je vzdorný a slavnostní, ale ne pateticky
# knižní - vesničané mluví jako lidé, kterým jde o krk, ne jako řečníci.

# --- výzva k povstání ---
Are you with us?	Jsi s námi?
I’ll get to work immediately, we will not be defeated again.	Pustím se do toho okamžitě, znovu už nás neporazí.
I’m not going to fail this time.	Tentokrát neselžu.
We will not fail this time.	Tentokrát neselžeme.
Let’s not make her wait any longer, we need to act now.	Nenechme ji dál čekat, musíme jednat hned.
I’m glad that you see reason now, let’s get to work.	Jsem rád, že teď vidíš rozumně, dejme se do práce.

# --- hráč potřebuje čas ---
I need more time for preparations.	Potřebuju víc času na přípravy.
I need more time to prepare, I don’t want to fail you again.	Potřebuju víc času na přípravu, nechci vás znovu zklamat.
I need more time to prepare, I will back to you when I'm ready.	Potřebuju víc času na přípravu, vrátím se, až budu připraven.
I need more time to prepare. I will come back once we are ready.	Potřebuju víc času na přípravu. Vrátím se, až budeme připraveni.
I need time to get ready. Until then, don’t lose your hope.	Potřebuju čas na přípravu. Do té doby neztrácejte naději.
I need to prepare for the fight. Until then, stay strong and keep hope alive within these walls.	Musím se připravit na boj. Do té doby vydržte a udržujte v těchto zdech naději.
I still need a moment to prepare.	Ještě chvíli potřebuju na přípravu.
I will come back once we are ready.	Vrátím se, až budeme připraveni.
I will help you, but first, I need time to prepare.	Pomůžu ti, ale nejdřív potřebuju čas na přípravu.
I’ll try to help you as best I can, but I need to prepare first.	Pomůžu ti, jak jen půjde, ale nejdřív se musím připravit.
I'm not ready just yet. I need more time to gather resources and prepare my people.	Ještě připraven nejsem. Potřebuju víc času nashromáždit síly a připravit své lidi.
I'm not yet prepared. We need to gather our strength, rebuild what was lost, and ensure our foundations are unshakeable.	Ještě připraven nejsem. Musíme nabrat sílu, obnovit ztracené a mít pevné základy.
I’m not ready to help you yet. I need to gather more forces and prepare.	Zatím ti pomoct nemůžu. Potřebuju sebrat víc sil a připravit se.
First, we need to gather our strength, rebuild what was lost, and ensure our foundations are unshakeable.	Nejdřív musíme nabrat sílu, obnovit ztracené a mít pevné základy.
First, we need to gather our strength, rebuild what was lost. I will come back once it’s done.	Nejdřív musíme nabrat sílu a obnovit ztracené. Vrátím se, až to bude hotové.
Let’s prepare first, I will be back when I’m ready.	Nejdřív se připravme, vrátím se, až budu hotov.
Let’s not rush any decisions. We still need more time to prepare.	Nespěchejme s rozhodnutím. Pořád potřebujeme víc času na přípravu.
We can’t rush important things. We still need to prepare. I will be back when I’m ready.	Důležité věci se uspěchat nedají. Ještě se musíme připravit. Vrátím se, až budu hotov.
We need to prepare better my friend, we need more time.	Musíme se připravit líp, příteli, potřebujeme víc času.
I’m glad that your morale is at an all-time high but we need more time to prepare.	Jsem rád, že je morálka na vrcholu, ale potřebujeme víc času na přípravu.
Not yet. Remember that we still need to fortify, Ashbourne will not give up Blackridgepool easily.	Ještě ne. Nezapomeň, že se musíme opevnit, Ashbourne se Blackridgepoolu jen tak nevzdá.
Remember that we still need to fortify, Ashbourne will not give up Blackridgepool easily.	Nezapomeň, že se musíme opevnit, Ashbourne se Blackridgepoolu jen tak nevzdá.

# --- vesničané čekají ---
Take your time, the patient hunter gets the prey.	Nespěchej, trpělivý lovec kořist dostane.
Take your time, this will be no easy task.	Nespěchej, tohle nebude lehký úkol.
We will wait for you, prepared even better than the last time. The Brigands will stand no chance.	Počkáme na tebe, připraveni ještě líp než minule. Lupiči nebudou mít šanci.
We'll wait for your signal.	Počkáme na tvé znamení.
We'll wait until you deem us ready.	Počkáme, dokud nás neuznáš za připravené.
I will wait for them.	Počkám si na ně.
I’ll make sure we’re ready.	Postarám se, abychom byli připraveni.
I understand. We'll be strategic in our advances and prepare for any reprisals. Farewell.	Rozumím. Postupovat budeme s rozvahou a připravíme se na odvetu. Sbohem.

# --- varování před odvetou ---
Good. Remember, the brigands' retribution will be swift and fierce. They may even direct their wrath towards your own settlement.	Dobře. Pamatuj, odveta lupičů bude rychlá a krutá. Svůj hněv mohou obrátit i proti tvé vlastní osadě.
The louder our defiance, the harsher their response will be. Prepare yourself and your people.	Čím hlasitější náš vzdor, tím tvrdší jejich odpověď. Připrav sebe i své lidi.
This act will put everyone at great risk. Stay bold and brace yourself for their severe response.	Tenhle čin vystaví všechny velkému nebezpečí. Buď smělý a připrav se na tvrdou odvetu.
This action will place everyone in serious danger. Be bold and prepare for their harsh response.	Tenhle skutek uvrhne všechny do vážného nebezpečí. Buď smělý a připrav se na tvrdou odpověď.
This move will place everyone in significant danger, so stay strong and be prepared for their fierce response.	Tenhle krok uvrhne všechny do značného nebezpečí, tak vydrž a připrav se na jejich zuřivou odvetu.
This step will endanger everyone. Be courageous and ready for their fierce retaliation.	Tenhle krok ohrozí všechny. Buď odvážný a připraven na jejich zuřivou odvetu.
They will come, first to collect their blood taxes, then for vengeance when they see their garrison defeated.	Přijdou, nejdřív pro svou krvavou daň, pak pro pomstu, až uvidí poraženou posádku.
I understand the risks. We will protect the village.	Chápu, co riskujeme. Ves ochráníme.
I understand the risks. We'll protect the villagers of Padstow.	Chápu, co riskujeme. Vesničany z Padstowu ochráníme.
I understand the risks. We'll protect the villagers. Horndean will be liberated.	Chápu, co riskujeme. Vesničany ochráníme. Horndean bude svobodný.
I know, we need to take care of our defenses and training of villagers. We will not be easy prey.	Vím, musíme se postarat o obranu a výcvik vesničanů. Snadnou kořistí nebudeme.
Oh… that’s true. Let’s not let victory blind us. We need to prepare for future attacks.	Aha… to je pravda. Ať nás vítězství neoslepí. Musíme se připravit na další útoky.
I’m aware of that, the Lord’s lapdogs do not scare me.	Jsem si toho vědom, lordovi psíčci mě neděsí.
Let them come! We are united and strong, thanks to you.	Ať přijdou! Jsme jednotní a silní, díky tobě.
Let them come. They will find us as formidable as the people of Haerndean.	Ať přijdou. Najdou nás stejně hrozivé jako lid Haerndeanu.
They can come. We will be ready to write the next chapters, and they will speak of our resilience.	Ať přijdou. Budeme připraveni psát další kapitoly a ty budou vyprávět o naší houževnatosti.
They will find us ready. Haerndean shall be liberated, no matter the cost.	Najdou nás připravené. Haerndean bude osvobozen, ať to stojí cokoli.
We are more prepared than last time, the garrison will fall.	Jsme připravenější než minule, posádka padne.
We will be ready for them. What do you suggest we do next?	Budeme na ně připraveni. Co navrhuješ dál?
I will ensure that both Haerndean and my settlement remain vigilant. They won't take us by surprise.	Postarám se, aby Haerndean i má osada zůstaly ve střehu. Nepřekvapí nás.
I will see to it personally. The stronger Haerndean stands, the safer we'll be against the brigands' wrath.	Osobně na to dohlédnu. Čím pevněji Haerndean stojí, tím bezpečnější budeme před hněvem lupičů.

# --- zvonice ---
Consider it done. The belltower will rise again. This time I will protect Haerndean.	Považuj to za hotové. Zvonice povstane znovu. Tentokrát Haerndean ochráním.
Consider it done. The belltower will rise again. This time I will protect Padstow.	Považuj to za hotové. Zvonice povstane znovu. Tentokrát Padstow ochráním.
Consider it done. We will build the belltower to make sure that we see brigands coming. Don’t worry, we’ll protect this village.	Považuj to za hotové. Postavíme zvonici, ať lupiče uvidíme přicházet. Neboj, tuhle ves ochráníme.
The Belltower will rise again. This time I will protect Horndean.	Zvonice povstane znovu. Tentokrát ochráním Horndean.
This time, nothing will stay in our way. We will build a belltower to safeguard Haerndean.	Tentokrát nám nic nestojí v cestě. Postavíme zvonici, která Haerndean ochrání.
Then the Belltower must be rebuilt to let the Brigands know that we are not afraid of them. This time we cannot fail.	Pak musí být zvonice obnovena, ať lupiči vědí, že se jich nebojíme. Tentokrát selhat nesmíme.
That’s what I wanted to hear. Let’s rise the Belltower once again and let the hunt begin.	Přesně to jsem chtěl slyšet. Postavme zvonici znovu a ať začne lov.
I know this will be a challenge for all of us, but the freedom is worth the risk. Farnworth will be free, I promise.	Vím, že to bude zkouška pro nás všechny, ale svoboda za to riziko stojí. Farnworth bude svobodný, slibuji.

# --- vítězství ---
We've won! We are finally free!	Vyhráli jsme! Konečně jsme svobodní!
We did it! You did it! You’ve brought peace to our village.	Dokázali jsme to! Ty jsi to dokázal! Přinesl jsi naší vsi mír.
It wasn't easy, but we did it, together.	Nebylo to lehké, ale dokázali jsme to. Společně.
It was a hard-fought battle, but Padstow is secure.	Byla to tvrdá bitva, ale Padstow je v bezpečí.
It wasn't easy but the garrison has been defeated, the belltower stands tall, and the villagers are safe. Haerndean is free.	Nebylo to lehké, ale posádka je poražena, zvonice stojí a vesničané jsou v bezpečí. Haerndean je svobodný.
It was a great honor fighting alongside you.	Bylo mi velkou ctí bojovat po tvém boku.
That was a glorious battle with an even better ending. Finally, times are changing for the Lowlands and for the Blackridgepool.	Byla to slavná bitva a konec ještě lepší. Konečně se časy pro Nížiny i Blackridgepool mění.
I can't believe it, it’s over, we are finally free! The battle was savage, I’m honestly a little scared of Klara now.	Nemůžu tomu uvěřit, je konec, konečně jsme svobodní! Ta bitva byla divoká, upřímně z Klary teď mám trochu strach.
Gods! I can't believe it.	Bohové! Tomu nemůžu uvěřit.
Finally! I don’t remember the last time there were no brigands in our village!	Konečně! Ani si nepamatuju, kdy naposled v naší vsi nebyli lupiči!
Finally, we don’t have to look at those dirty Brigand face in our village anymore.	Konečně už v naší vsi nemusíme koukat na ty špinavé lupičské ksichty.
Finally, we don’t have to look at those dirty Brigand faces in our village anymore.	Konečně už v naší vsi nemusíme koukat na ty špinavé lupičské ksichty.
Haerndean is free, but our work is far from finished. The village has not yet been completely liberated.	Haerndean je svobodný, ale zdaleka nemáme hotovo. Ves ještě není osvobozena úplně.
Such fire! Haerndean stands with you. In our hearts, you have carved a sanctuary.	Takový oheň! Haerndean stojí při tobě. V našich srdcích sis vytesal svatyni.
Such spirit! That’s something that brings hope and joy. Let’s never surrender to them!	Takové odhodlání! To přináší naději a radost. Nikdy se jim nevzdávejme!
I knew you held the soul of a protector! We appreciate your readiness.	Věděl jsem, že máš duši ochránce! Ceníme si tvé připravenosti.
We will, I’m going to make Horndean stronger than it was. Farewell.	Budeme, udělám Horndean silnější, než býval. Sbohem.

# --- díky a rozloučení ---
I don't know how to thank you.	Nevím, jak ti poděkovat.
I don’t know how to thank you.	Nevím, jak ti poděkovat.
We will always be in your debt, my friend.	Navždy budeme tvými dlužníky, příteli.
Thank you again for showing us the error of our ways. We will never be slaves, not for the Lord, nor for the crown.	Ještě jednou díky, žes nám ukázal naše chyby. Nikdy nebudeme otroky, ani lordovými, ani královskými.
I don't allow anyone to steal your hard work and enslave your people. You all deserve freedom.	Nedovol nikomu ukrást vaši dřinu a zotročit váš lid. Všichni si zasloužíte svobodu.
Don't allow anyone to steal your hard work and enslave your people. You all deserve freedom.	Nedovol nikomu ukrást vaši dřinu a zotročit váš lid. Všichni si zasloužíte svobodu.
Don't ever let anyone steal your freedom again.	Už nikdy nikomu nedovol vzít vám svobodu.
Enjoy your freedom.	Užívej si svobodu.
I don't want anyone to serve me. You're all free people.	Nechci, aby mi někdo sloužil. Jste svobodní lidé.
Me too my friend, me too.	Já taky, příteli, já taky.
I’m glad to hear it, farewell.	To rád slyším, sbohem.
I’m glad to hear it. Farewell for now.	To rád slyším. Prozatím sbohem.
I’m flattered but don’t get overconfident, friend. Bye for now.	Lichotíš mi, ale nebuď příliš sebejistý, příteli. Zatím sbohem.
