# Obsah hry, dávka 11 (H) - originál <TAB> překlad
#
# Halmayan / Cassian jsou frakce - přídavná jména "halmayanský" / "cassianský",
# lidé "Halmayané" / "Cassiané". Halmare je souostroví.

# --- repliky ---
Hello.	Zdravím.
Halmayan's Outpost	Halmayanská základna
Halmayan's Propaganda	Halmayanská propaganda
Halmayan's Scum	Halmayanská chátra
Halmayan Sigil	Halmayanský znak
Halmayan Token	Halmayanský odznak
Halmare Folks	Lid Halmare
Halmare Isles	Halmarské ostrovy
Halmare Isles Factions	Frakce Halmarských ostrovů
Haling Cove	Zátoka Haling
Harbor	Přístav
Harthbay Nets	Sítě v Harthbay
Harthbay Salt Basket	Koš se solí v Harthbay
Harthbay Tower	Věž v Harthbay
Hangman Tree	Šibeniční strom
Hay Bale	Balík sena
Hidden Cave	Skrytá jeskyně
Hidden Stash	Tajná skrýš
Hidden Brigand's Stash	Tajná lupičova skrýš
Hideout	Skrýš
Hiding place	Úkryt

# --- halmayanská výstroj ---
Halmayan's Armor Set	Halmayanská zbroj
Halmayan Helmet	Halmayanská přilba
Halmayan Brigandine	Halmayanská brigantina
Halmayan Plate Armor	Halmayanská plátová zbroj
Halmayan Coat of Plates	Halmayanský plátový kabátec
Halmayan Surcoat over Mail	Halmayanský varkoč přes kroužkovou zbroj
Halmayan Clothing 1	Halmayanský oděv 1
Halmayan Clothing 2	Halmayanský oděv 2
Halmayan Gloves	Halmayanské rukavice
Halmayan Pants	Halmayanské kalhoty
Halmayan Breeches	Halmayanské nohavice
Halmayan Boots	Halmayanské boty
Halmayan Leather Boots	Halmayanské kožené boty
Halmayan Leather Cuffs	Halmayanské kožené manžety
Halmayan Shield	Halmayanský štít
Halmayan Quiver	Halmayanský toulec
Halmayan Arrow Quiver	Halmayanský toulec na šípy
Halmayan's Long Spear	Halmayanské dlouhé kopí
Halmayan's Short Spear	Halmayanské krátké kopí
Halmayan Footman's Gloves	Rukavice halmayanského pěšáka
Halmayan Garrison Boots	Boty halmayanské posádky
Halmayan Garrison Gambeson	Prošívanice halmayanské posádky
Halmayan Leader Brigandine	Brigantina halmayanského vůdce
Halmayan Leader Greaves	Holenice halmayanského vůdce
Halmayan Leader Boots	Boty halmayanského vůdce
Halmayan Veteran's Aketon	Aketon halmayanského veterána
Halmayan Veteran Brigandine	Brigantina halmayanského veterána
Halmayan Veteran Sallet	Šalíř halmayanského veterána
Halmayan Veteran Gauntlets	Rukavice halmayanského veterána
Halmayan Veteran Greaves	Holenice halmayanského veterána
Halmayan Veteran Boots	Boty halmayanského veterána

# --- zbraně a výstroj ---
Heavy Armors	Těžké zbroje
Heavy Battleaxe	Těžká válečná sekera
Heavy Bludgeon	Těžký kyj
Heavy Helmet	Těžká přilba
Heavy Maul	Těžký perlík
Heavy Mittens	Těžké palčáky
Harpoon Ballista	Harpunová balista
Handwraps	Návleky na ruce
Herald’s Cloak	Heroldův plášť
Healer Shirt	Ranhojičova košile
Healer Trousers	Ranhojičovy kalhoty
Harbormaster's Toolbox	Bedna s nářadím přístavního mistra

# --- suroviny a jídlo ---
Hardwood Log	Kláda z tvrdého dřeva
Hardwood Plank	Prkno z tvrdého dřeva
Hardwood Tree	Strom s tvrdým dřevem
Hemp	Konopí
Hemp Seeds	Semena konopí
Hide	Kůže
Hefty piece of fried meat.	Pořádný kus smaženého masa.
Hefty piece of smoked meat. Keeps for a long time.	Pořádný kus uzeného masa. Dlouho vydrží.
Healing potion (Quest Item)	Léčivý lektvar (předmět k úkolu)

# --- zvířata ---
Hen	Slepice
Heron	Volavka
Highland Wolf Carcass	Mršina horského vlka
Hatching	Líhnutí

# --- lidé a stavby ---
Healer	Ranhojič
Herbalist	Bylinkář
Herbalist Hut	Bylinkářova chýše
Herbalist's Workstation	Bylinkářův stůl
Herb Drying Rack	Sušák na byliny
Herb Hanger	Věšák na byliny
Hermit	Poustevník
Hermits	Poustevníci
Heater	Kamna
Heavies	Těžkooděnci
Heavy Infantry	Těžká pěchota
Heavy Infantry Militia	Těžkooděná domobrana

# --- rozhraní ---
Hair	Vlasy
Hair color	Barva vlasů
Happiness	Spokojenost
Harvesting	Sběr
Harvesting Estimations	Odhady sběru
Has a hangover	Má kocovinu
Has an injury	Je zraněný
Has full health	Má plné zdraví
Has full hunger bar	Je zcela nasycený
Has less than half of the maximum health	Má méně než polovinu zdraví
Has Optimist trait	Má vlastnost Optimista
Has Pessimist trait	Má vlastnost Pesimista
Has problems	Má potíže
Head	Hlava
Head Details	Podrobnosti hlavy
Head Slot	Pozice na hlavu
Health	Zdraví
Health & Injuries	Zdraví a zranění
Health Bonus	Bonus ke zdraví
Health Regeneration	Obnova zdraví
Heals in {RemainingTime}	Uzdraví se za {RemainingTime}
Highest	Nejvyšší
Hello world	Ahoj světe
