# Obsah hry, dávka 22 (S) - originál <TAB> překlad

# --- repliky ---
Shall we go then?	Půjdeme tedy?
Simple Bucket.	Prosté vědro.
Simple Cord	Prostý provázek
Sleeping Bag	Spacák

# --- ozdoby ---
Simple decorative Basket.	Prostý ozdobný koš.
Simple decorative Small Basket.	Prostý ozdobný malý koš.
Simple decorative Closed Basket.	Prostý ozdobný zavřený koš.
Simple decorative Small Closed Basket.	Prostý ozdobný malý zavřený koš.
Simple decorative Open Barrel.	Prostý ozdobný otevřený sud.
Simple decorative Closed Barrel.	Prostý ozdobný zavřený sud.
Simple decorative Vase.	Prostá ozdobná váza.
Simple decorative Gallow.	Prostá ozdobná šibenice.
Simple decorative Pillory.	Prostý ozdobný pranýř.
Simple decorative Scarecrow.	Prostý ozdobný strašák.
Simple decorative Scarecrow with hat.	Prostý ozdobný strašák s kloboukem.
Simple Laundry Hanger	Prostý sušák na prádlo
Simple Laundry Hanger.	Prostý sušák na prádlo.
Simple standing torch	Prostá stojací pochodeň
Single Lantern	Samostatná lucerna
Small Basket	Malý koš
Small Closed Basket	Malý zavřený koš

# --- stavby a místa ---
Shack	Chatrč
Sheep Pen	Ovčinec
Ship	Loď
Small Ship	Malá loď
Small Tavern	Malá hospoda
Small Farm	Malé hospodářství
Small Graveyard	Malý hřbitov
Small Firewood Pile	Malá hromada palivového dříví
Small Caravan Station	Malá stanice karavan
Small Caravan Station & Cart	Malá stanice karavan a povoz
Small trap	Malá past
Small Tree	Malý strom
Softwood Tree	Strom s měkkým dřevem
Simple Workbench	Prostý pracovní stůl
Simple protection of your settlement borders.	Prostá ochrana hranic tvé osady.
Smelter	Tavicí pec
Smelting Furnace	Tavicí pec
Smelting Camp	Tavicí tábor
Smelting Factory	Tavírna
Smoking Rack campfire	Udírenský rošt s ohněm
Smoking Rack Campfire	Udírenský rošt s ohněm
Sleeping house	Noclehárna
Sol Winery	Vinařství Sol
Sorwynn Shrine	Svatyně Sorwynn
Sorwynn Cave Painting	Jeskynní malba Sorwynn
Sorwynn's Cup Barrels	Sudy v Sorwynn’s Cup
Sorwynn's Cup Boxes	Bedny v Sorwynn’s Cup
Shrine Skeleton	Kostra u svatyně
Smugglers Encampment	Pašerácký tábor
Smuggler's Caravan	Pašerácká karavana

# --- lidé ---
Shieldmaker	Štítař
Smith	Kovář
Smugglers	Pašeráci
Shoreman	Pobřežník
Slacker	Lenoch
Sly	Prohnaný
Self-preservation	Pud sebezáchovy

# --- rozhraní ---
Select	Vybrat
Select a recipe	Vyber předpis
Select a recipe to add orders for your workers.	Vyber předpis a zadej dělníkům zakázky.
Select a resource to add orders for your workers.	Vyber surovinu a zadej dělníkům zakázky.
Select an available technology to start researching.	Vyber dostupnou technologii a začni bádat.
Select land you want to sail to:	Vyber zemi, kam chceš plout:
Select Origin	Vyber původ
Select preset	Vyber předvolbu
Select Required Tools	Vyber potřebné nástroje
Selected: None	Vybráno: nic
Sell	Prodat
Sell 1	Prodat 1
Sell orders	Prodejní zakázky
Sell rules	Pravidla prodeje
Selling	Prodej
Send automatically	Posílat automaticky
Send caravan	Vyslat karavanu
Send trade caravan	Vyslat obchodní karavanu
Sender	Odesílatel
Set	Nastavit
Settings	Nastavení
Settlement	Osada
Settlement of origin	Výchozí osada
Shadows	Stíny
Shield Durability	Odolnost štítu
Shields	Štíty
Shipment	Zásilka
Ship cargo	Náklad lodi
Show	Zobrazit
Show HUD notifications	Zobrazovat oznámení na HUD
Show in tech tree	Zobrazit ve stromu technologií
Show Player Profile	Zobrazit profil hráče
Show tracker	Zobrazit sledování
Sign is not connected to the main road!	Ukazatel není napojen na hlavní cestu!
Silence	Ticho
Single	Jednotlivě
Sit	Sednout si
Skip	Přeskočit
Skirmish between factions nearby spotted!	Poblíž byla spatřena šarvátka mezi frakcemi!
Sleep	Spát
Sleeping	Spí
SLEEPING...	SPÁNEK…
Sleeping restores your <highlight>HP</> fully.	Spánek ti plně obnoví <highlight>zdraví</>.
Smelting	Tavení
Sneak	Plížení
Snow	Sníh
Social	Společenské
Solo Travel	Cestování sám
SLOPES	SVAHY
