# Quests/SideQuests - delsi texty, 30. davka
Good. Believe it or not, I’m actually relieved to hear you say that, given your reputation.	Dobře. Věř nevěř, vzhledem k tvé pověsti se mi ulevilo, když to slyším.
Hah! Lazy, forgetful, and too quick to blame the spirits for their own mistakes. But they mean well, most of the time.	Ha! Líní, zapomnětliví a příliš rychlí ve svalování vlastních chyb na duchy. Ale většinou to myslí dobře.
Hah! Old Dalibor found another apprentice to run into the ground, huh? I suppose I can help you, but remember, nothing comes for free in the Lowlands.	Ha! Starý Dalibor si našel dalšího učedníka, kterého uštve? Asi ti mohu pomoct, ale pamatuj, v Nížinách není nic zadarmo.
Handle the horns carefully. Quite fragile, so don’t damage them once you’ve collected them.	S parohy zacházej opatrně. Jsou dost křehké, tak je po sesbírání nepoškoď.
Happy? We were a family. I trusted her. I thought nothing could break that. But Lyanna was taken from us.	Šťastní? Byli jsme rodina. Věřil jsem jí. Myslel jsem, že to nemůže nic zlomit. Ale Lyannu nám vzali.
Have you changed your mind about helping me, traveler? I’ m still willing to pay for your work.	Rozmyslel sis to a pomůžeš mi, pocestný? Pořád jsem ochoten za tvou práci zaplatit.
Have you changed your mind? I assure you, this is not about vengeance. It’s about finding absolution.	Rozmyslel sis to? Ujišťuji tě, nejde tu o pomstu. Jde o nalezení rozhřešení.
Have you changed your mind? I could use your help in rebuilding the village hall.	Rozmyslel sis to? Přišla by mi vhod tvá pomoc s obnovou obecního domu.
Have you decided to take on the daring quest of defeating the group of swamp bandits that insulted our honor?	Rozhodl ses přijmout odvážný úkol porazit tlupu bahenních lapků, kteří urazili naši čest?
Have you found a moment to help me? Bandits are still causing problems on the road.	Našel sis chvilku pomoct mi? Lapkové na cestě pořád dělají potíže.
Have you reconsidered helping me? I still need some equipment and indigence for my new recipes.	Rozmyslel sis to a pomůžeš mi? Pořád potřebuji vybavení a potřeby na své nové recepty.
He anticipated attacks before they came and vanished before reprisals could follow.	Předvídal útoky, dřív než přišly, a mizel dřív, než mohla přijít odveta.
He claimed it was for the good of the village, but I knew he just wanted to resell it for a profit. When I said no, he took it personally.	Tvrdil, že je to pro dobro vesnice, ale já věděl, že to chce jen se ziskem prodat. Když jsem odmítl, vzal si to osobně.
He did. He said you were right to bring your concerns to him, even if they turned out to be unfounded.	Ano. Řekl, že jsi udělal správně, když jsi za ním se svými obavami přišel, i když se ukázaly být neopodstatněné.
He has a new hobby of hiding mocking letters to trick people into doing his errands. It’s very time consuming, therefore, here I am.	Má nového koníčka - schovává posměšné dopisy, aby lidi napálil a nechal je běhat po svých pochůzkách. Zabere to spoustu času, a proto jsem tady.
He has ideas to make Haerndean a livelier place. But for now, take this as a reward for your hard work.	Má nápady, jak Haerndean oživit. Ale prozatím si vezmi tohle jako odměnu za svou dřinu.
He is the thorn in our arse. Just a cruel and stupid man, who treats the Lowlands like his little playground.	Je to trn v našem zadku. Prostě krutý a hloupý člověk, který si z Nížin dělá své hřiště.
He kept going on about the overseer, how it’s going to purge the weak and unworthy from the world. I had to fight him and found this note.	Pořád mlel o Dohlížiteli, jak vyhladí ze světa slabé a nehodné. Musel jsem se s ním bít a našel jsem tenhle vzkaz.
He knew the victim was one of the Lord’s guards. A detail that I never mentioned. He would only know that if he was the killer.	Věděl, že obětí byl jeden z pánových strážců. Podrobnost, kterou jsem nikdy nezmínil. To by mohl vědět, jen kdyby byl vrah.
He left information about some sort of… fishing pole. Oddly enough, he mentions that the pole comes in parts, rather than one complete item.	Zanechal zprávy o jakémsi… rybářském prutu. Kupodivu zmiňuje, že prut je z několika částí, a ne jeden celek.
He should be in the forest near the village, Eryk always goes there for hunts. It’s a good place to start.	Měl by být v lese u vesnice, Eryk tam vždycky chodí lovit. Je to dobré místo, kde začít.
He sometimes acts reckless but he is a good man. I’m grateful to you for rescuing him. And one more thing.	Občas jedná nerozvážně, ale je to dobrý člověk. Jsem ti vděčná, žes ho zachránil. A ještě jedna věc.
He wanted to be the most manly boar hunter in the Lowlands, but I found him sobbing in the wilderness. The good news is, he’ll be back home soon.	Chtěl být nejmužnějším lovcem kanců v Nížinách, ale já ho našel v divočině, jak vzlyká. Dobrá zpráva je, že se brzy vrátí domů.
He was able to decipher the message we found. It led me face to face to the leader of the cult.	Podařilo se mu rozluštit ten vzkaz, který jsme našli. Zavedlo mě to tváří v tvář vůdci kultu.
He was brutal and efficient. His methods were rough, his hands often bloodied, but he saved more people than any polished physician ever would.	Byl surový a účinný. Jeho postupy byly hrubé, ruce často zkrvavené, ale zachránil víc lidí než kterýkoli vybroušený lékař.
He was never the same. Listen to me, I want to help him, for old times’ sake. I'll reward you if you manage to bring him back to me.	Už nikdy nebyl jako dřív. Poslyš, chci mu pomoct, pro staré časy. Odměním tě, jestli se ti ho podaří přivést zpátky.
He will reward you handsomely if the letter is delivered unopened and in good condition. We appreciate discretion!	Štědře tě odmění, dorazí-li dopis neotevřený a v pořádku. Ceníme si mlčenlivosti!
He will start selling again, but only if the market fees are lowered and his stall is guaranteed year-round.	Začne zase prodávat, ale jen když se sníží tržní poplatky a bude mít stánek zaručený po celý rok.
He'll need help finding the necessary herbs and tools for a permanent fix. But I'm just happy to see my friend again.	Bude potřebovat pomoct najít byliny a nástroje na trvalé řešení. Ale já jsem prostě rád, že svého přítele zase vidím.
He's not very well known; we prefer to keep to ourselves. Keeps us safe from the bandits and such.	Není moc známý; raději se držíme stranou. Chrání nás to před lapky a podobnými.
Head to Aleks Amanita, the herbalist. He's supposed to have some information on how to cure our friend. As usual, I'll reward you for your efforts.	Jdi za bylinkářem Aleksem Amanitou. Prý ví, jak našeho přítele vyléčit. Jako obvykle tě za tvé úsilí odměním.
Head to the Crasmere, you will find Alice Shoreman, she will give you the last task.	Vyraz do Crasmere, najdeš tam Alici Shoremanovou, ta ti dá poslední úkol.
Heal together? There’s no healing this. We’re broken. Both of us. And some things can’t be fixed.	Zhojit se společně? Tohle se zhojit nedá. Jsme zlomení. Oba. A některé věci se spravit nedají.
Hello there, my friend! I hope you're enjoying the beauty and bounty of nature today.	Zdravím tě, příteli! Doufám, že si dnes užíváš krásy a štědrosti přírody.
Hello! I can’t remember the last time I had a good conversation with a new face! How can I help?	Zdravím! Ani si nevzpomínám, kdy jsem naposledy vedl dobrý rozhovor s novou tváří! Jak mohu pomoci?
Help me and speak to Thomas, I know he has no luck with his job but that doesn’t mean that he can put the whole village's sake aside, because he’s jealous!	Pomoz mi a promluv s Thomasem. Vím, že se mu v práci nedaří, ale to neznamená, že může kvůli závisti odsunout blaho celé vsi!
Help them? Hah! When they deserve it. They’ve forgotten the old ways, most of them. Ungrateful wretches.	Pomáhat jim? Ha! Když si to zaslouží. Většina z nich zapomněla na staré zvyky. Nevděční ubožáci.
Help? From who? The village elder? The villagers whisper behind our backs. They think we’re cursed. No one can help us.	Pomoc? Od koho? Od stařešiny? Vesničané si za našimi zády šuškají. Myslí si, že jsme prokletí. Nikdo nám pomoct nemůže.
Her necklace, she cherished it so much. This must mean she's alive, right? That she's managing to survive out there?	Její náhrdelník, tolik si ho cenila. To musí znamenat, že žije, viď? Že se tam venku dokáže udržet naživu?
Here take your reward for your trouble. And, I didn’t forget, your cut of the deal.	Tu máš odměnu za svou námahu. A nezapomněl jsem ani na tvůj podíl z obchodu.
Here take your reward for your trouble.And, with that kind of deal, I can’t afford to give you your cut. Should have negotiated better.	Tu máš odměnu za svou námahu. A při takové dohodě si nemohu dovolit dát ti podíl. Měl jsi líp smlouvat.
Here we go, I was able to finish the fixes. You can take it back to Viktor Yaxley now.	A je to, opravy se mi podařilo dokončit. Teď to můžeš vzít zpátky Viktoru Yaxleymu.
Here you go, these herbs will surely increase the effectiveness of our healing work in the village.	Tu máš, tyhle byliny jistě zvýší účinnost našeho léčení ve vsi.
Here's your reward, as promised. The village won't forget your help anytime soon!	Tady máš odměnu, jak bylo slíbeno. Vesnice na tvou pomoc hned tak nezapomene!
Here's your well-deserved reward, and rest assured, I'll let everyone know about your talents.	Tady máš zaslouženou odměnu a buď klidný, o tvém nadání se dozvědí všichni.
Here, I’ll point it out on your map. Please, if you go looking for it… or them… be careful. We don’t know what it is…	Tu máš, ukážu ti to na mapě. Prosím tě, jestli to… nebo je… půjdeš hledat, buď opatrný. Nevíme, co to je…
Here, look, it’s not all my fault. Accidents happened and the production ground to a stop.	Podívej, není to všechno má vina. Došlo k nehodám a výroba se zastavila.
Here, take these coins, give me the tools, and be off with you. I have a lot of work to do.	Tu máš, vezmi si tyhle mince, dej mi to nářadí a jdi. Mám spoustu práce.
Here, take this as a reward for all your help. Maybe in the future, we can fight alongside each other once again!	Tu máš, vezmi si to jako odměnu za všechnu tvou pomoc. Snad jednou budeme zase bojovat bok po boku!
Here, take this for your troubles. If I get better, I’ll build you anything you want, free o’ charge!	Tu máš, vezmi si to za svou námahu. Jestli se uzdravím, postavím ti cokoli budeš chtít, zadarmo!
Here, this is for your trouble. Now I have to excuse you, I have a lot to prepare.	Tu máš, to je za tvou námahu. A teď se omlouvám, mám hodně co připravovat.
Here’s the bait. It’s something special, passed down from generation to generation. Hope it helps you catch that trout.	Tady je ta návnada. Je to něco zvláštního, předává se z pokolení na pokolení. Doufám, že ti pomůže toho pstruha ulovit.
Here’s the gold for your trouble. I’m glad that we can actually count on someone around here without selling our souls.	Tady máš zlato za svou námahu. Jsem rád, že se tu na někoho můžeme spolehnout, aniž bychom prodali duši.
Here’s what I’d like in return: bring me five Roasted Mushrooms. Our village’s supplies are starting to get low, and we need to refill them.	Tady je, co bych za to chtěl: přines mi pět pečených hub. Zásoby naší vsi docházejí a je třeba je doplnit.
Here’s your money, go to Crossroads Tavern and speak with Merchant, he’s one who will keep paying you.	Tady máš peníze, jdi do krčmy Na křižovatce a promluv s Kupcem, ten ti bude platit dál.
Here’s your money. Go to Crossroads Tavern and speak with Merchant. He’s your employer from now on.	Tady máš peníze. Jdi do krčmy Na křižovatce a promluv s Kupcem. Od teď je to tvůj zaměstnavatel.
Here’s your money. Go to Crossroads Tavern and speak with Merchant. He’s your employer now.	Tady máš peníze. Jdi do krčmy Na křižovatce a promluv s Kupcem. Teď je to tvůj zaměstnavatel.
Here’s your reward. You should also visit the merchant, tell him what you did and you might get a little something extra. We are really grateful.	Tady máš odměnu. Měl bys taky navštívit kupce, pověz mu, co jsi udělal, a možná dostaneš něco navíc. Jsme opravdu vděční.
Hey, you owe me 200 coins! I paid them for protection, they promised to be here till next month.	Hej, dlužíš mi 200 mincí! Zaplatil jsem jim za ochranu, slíbili, že tu budou do příštího měsíce.
He’s also not ready because he forgot to bring the weapon you made him. He’s going to feel so embarrassed when he realizes!	A není připraven ani proto, že zapomněl vzít zbraň, kterou jsi mu vyrobil. Až mu to dojde, propadne se hanbou!
He’s called The Butcher, he’s an old veteran from the rebellion. Bit of a legend around these parts, but I’ve never met him.	Říkají mu Řezník, je to starý veterán ze vzpoury. Tady v okolí tak trochu legenda, ale nikdy jsem ho nepotkal.
He’s far too stubborn to ever bury the hatchet, believe me! This is a man who sent a stranger to question me on his behalf, after all.	Je příliš tvrdohlavý, aby kdy zakopal válečnou sekeru, věř mi! Koneckonců je to muž, který za mnou poslal cizince, aby mě vyslechl místo něj.
He’s refusing to sell his trades and yet he’s keeping one of the places in our market busy. Can you speak with him and see if you can resolve the issue?	Odmítá prodávat, a přesto zabírá jedno z míst na našem trhu. Promluvíš s ním a zkusíš to vyřešit?
He’s retiring after this? He didn’t sound like he was getting ready to hang it up…	Po tomhle jde na odpočinek? Neznělo to, že by se chystal skončit…
Hidden across our wilds are ancient shrines, each one a repository of forgotten wisdom.	Po naší divočině jsou ukryté dávné svatyně, každá je pokladnicí zapomenuté moudrosti.
Hidden gold near the old shrines, you say? That's intriguing! I would like to ask you more questions.	Ukryté zlato u starých svatyní, říkáš? To je zajímavé! Rád bych ti položil další otázky.
Hm. Have ye spoken to the Elder yet? Mightn’t be able to help you until he gives the go-ahead.	Hm. Mluvil jsi už se stařešinou? Než dá svolení, možná ti pomoct nemohu.
Hmm, that's right. Track it down and bring me its dead stiff body. Do that, and I’ll make sure you don’t walk away empty-handed.	Hmm, přesně tak. Vystopuj to a přines mi to mrtvé a ztuhlé. Udělej to a postarám se, abys neodešel s prázdnou.
Hmm, they’re a bit of a wanderer, but last I heard, they were nestled just outside the town. They love new people, so don't be shy around them!	Hmm, tak trochu se toulají, ale naposledy prý byli hned za městem. Milují nové tváře, tak se před nimi nestyď!
Hmm. Nothing, just working on my upcoming hunt. Checking what people need to get rid of, a normal day of work.	Hmm. Nic, jen připravuji nadcházející lov. Zjišťuji, čeho se lidé potřebují zbavit, běžný pracovní den.
Hmm. Technically, she has not done anything illegal in the Lowlands yet, but I can try to contact the guards in Osterforde to keep an eye out for her.	Hmm. Formálně vzato zatím v Nížinách nic nezákonného neprovedla, ale mohu zkusit vzkázat strážím v Osterforde, ať po ní pátrají.
Hmm… Disappearances? I haven’t heard anything about any disappearances, thank the Gods.	Hmm… Zmizení? O žádných zmizeních jsem neslyšel, díky bohům.
Hmph, well maybe, but Gregor should know better. Serah’s clearly into me. He's just in the way!	Hm, možná, ale Gregor by měl mít rozum. Serah po mně zjevně pokukuje. On jen překáží!
Hmph. Another messenger from the Elder? Or are you just here to complain like the others? Either way, save your breath. I won’t change my mind!	Hm. Další posel od stařešiny? Nebo si jen přicházíš stěžovat jako ostatní? Tak či tak si ušetři dech. Názor nezměním!
Hm… As I expected. It’s a typical flu, I've gotten a lot of people with these symptoms here recently. They just don’t take care of themselves.	Hm… Jak jsem čekal. Je to obyčejná horečka, v poslední době sem s těmihle příznaky přišla spousta lidí. Prostě se o sebe nestarají.
Ho! You're looking at the man who finally hooked the legendary Golden Trout. I've been after that slippery beauty for ages.	Ho! Díváš se na muže, který konečně chytil bájného Zlatého pstruha. Za tou kluzkou kráskou jsem se honil celé věky.
Holding onto the past won’t change it. But maybe if you both let go, you can build something new.	Držením se minulosti ji nezměníš. Ale možná když se oba pustíte, můžete postavit něco nového.
Hopefully this will spark for them to be more honest with each other. Come back tomorrow and we’ll see if your efforts worked.	Snad je to popostrčí, aby k sobě byli upřímnější. Vrať se zítra a uvidíme, jestli tvá snaha zabrala.
How about a joint adventure? I'll take you to him, and he'll gladly join your just cause.	Co takhle společné dobrodružství? Zavedu tě k němu a on se rád přidá k tvé spravedlivé věci.
How about trying to start a new life in a different region? Set up in some farm village?	Co takhle zkusit začít nový život v jiném kraji? Usadit se v nějaké selské vsi?
How are your relations with the Brigands? It seems like they’re not doing their job.	Jaké máš vztahy s Brigands? Zdá se, že svou práci nedělají.
How could you do such a thing? I’ll give you your reward, but I may have to rethink your place in our village!	Jak jsi mohl něco takového udělat? Odměnu ti dám, ale možná budu muset přehodnotit tvé místo v naší vsi!
How dull of you. It’s one of the oldest in the Lowlands. And bickering is practically embedded in our very being.	Jak nudné od tebe. Je jednou z nejstarších v Nížinách. A hašteření máme prakticky vryté v povaze.
How stupid do you think I am? I’ve seen how you help people! You just make everything worse!	Za jak hloupého mě máš? Viděl jsem, jak lidem pomáháš! Jen všechno zhoršuješ!
How unfortunate! When you do make the time, come and see me. I would not trust another soul with such a task.	Jaká škoda! Až si čas uděláš, přijď za mnou. Takový úkol bych nesvěřil žádné jiné duši.
How very kind of you. I do need it quite quickly, so please try not to get distracted…	To je od tebe velmi laskavé. Potřebuji to dost rychle, tak se prosím nenech rozptýlit…
How will I ever live knowing I caused such distress to those agents of peace who are just doing their duty of robbing and disturbing us.	Jak jen budu žít s vědomím, že jsem způsobil takové trápení těm strážcům míru, kteří jen plní svou povinnost okrádat a obtěžovat nás.
However, we do have some coin laying around. It’s yours, since you avenged our honor!	Nicméně nějaké mince tu povalují. Jsou tvé, když jsi pomstil naši čest!
