# Obsah hry, dávka 18 (N-O) - originál <TAB> překlad

# --- odmítnutí a odchod ---
Nah, maybe later.	Ne, možná jindy.
Occurs in lakes. Typically weighs between 2.1 and 3.	Žije v jezerech. Váží obvykle 2,1 až 3.
Occurs in oceans. Typically weighs between 0.91 and 2.33.	Žije v oceánech. Váží obvykle 0,91 až 2,33.
Occurs in oceans. Typically weighs between 0.95 and 3.25.	Žije v oceánech. Váží obvykle 0,95 až 3,25.
Occurs in oceans. Typically weighs between 1.36 and 3.18.	Žije v oceánech. Váží obvykle 1,36 až 3,18.
Occurs in oceans. Typically weighs between 1.93 and 3.56.	Žije v oceánech. Váží obvykle 1,93 až 3,56.
Occurs in oceans. Typically weighs between 2.27 and 4.54.	Žije v oceánech. Váží obvykle 2,27 až 4,54.
Occurs in oceans. Typically weighs between 20 and 80.	Žije v oceánech. Váží obvykle 20 až 80.
Occurs in rivers. Typically weighs between 0.91 and 2.72.	Žije v řekách. Váží obvykle 0,91 až 2,72.
Occurs in rivers. Typically weighs between 1.81 and 3.63.	Žije v řekách. Váží obvykle 1,81 až 3,63.
Occurs in rivers. Typically weighs between 2.72 and 5.44.	Žije v řekách. Váží obvykle 2,72 až 5,44.
Occurs in swamps. Typically weighs between 0.45 and 1.91.	Žije v bažinách. Váží obvykle 0,45 až 1,91.
Occurs in swamps. Typically weighs between 0.91 and 2.27.	Žije v bažinách. Váží obvykle 0,91 až 2,27.
Occurs in swamps. Typically weighs between 1.81 and 4.08.	Žije v bažinách. Váží obvykle 1,81 až 4,08.
Occurs in swamps. Typically weighs between 2.27 and 4.99.	Žije v bažinách. Váží obvykle 2,27 až 4,99.
Native to Halmare Isles.	Původem z Halmarských ostrovů.

# --- suroviny a jídlo ---
Nails	Hřebíky
Nettle	Kopřiva
Nettle Seeds	Semena kopřivy
Nickel Ore	Niklová ruda
Nickel Rock	Niklová skála
Olive	Oliva
Olive Seeds	Semena olivovníku
Olive Tree	Olivovník
Olive tree	Olivovník
Obsidian Canister	Obsidiánová nádobka
Noble metal used in some advanced recipes	Ušlechtilý kov pro některé pokročilé předpisy
Non-crystalline, often transparent amorphous solid.	Nekrystalická, často průhledná beztvará hmota.
Nutritious and doesn't spoil too fast.	Výživné a tak rychle se nekazí.

# --- výstroj ---
Nomad's Boots	Kočovníkovy boty
Nomad's Helm	Kočovníkova přilba
Nomad's Sabre	Kočovníkova šavle
Norse Sword	Severský meč
Normal Cape 2	Obyčejný plášť 2
Normal Halmare Boots	Obyčejné halmarské boty
Normal Halmare Pants	Obyčejné halmarské kalhoty
Normal Halmare Upper Clothing 1	Obyčejný halmarský svrchní oděv 1
Normal Halmare Upper Clothing 2	Obyčejný halmarský svrchní oděv 2
Old Boot	Stará bota

# --- lidé a místa ---
Nomad	Kočovník
Netcatcher	Sítař
Nettler	Kopřivář
Oddities Merchant	Obchodník s kuriozitami
Meadow	Louka
Neutral Dock	Neutrální přístaviště
Northern Realm	Severní království
Ocean	Oceán
Occultists HQ	Velitelství okultistů
Occultists hut	Chýše okultistů
Old Archive Falsgar	Starý archiv Falsgaru
Old Chest	Stará truhla
Offering Box	Schránka na obětiny

# --- rozhraní ---
Name	Jméno
Name of the troop	Název oddílu
Narrative	Příběh
NARRATIVE	PŘÍBĚH
Nearby Resources	Suroviny v okolí
Nearsighted	Krátkozraký
Needs	Potřeby
Neighborly	Sousedský
Network Failure	Selhání sítě
Neurotic	Neurotik
Neutral	Neutrální
new	nové
New Codex entry	Nový záznam v kodexu
New Outpost	Nová základna
New preset	Nová předvolba
New quest was added to the journal!	Do deníku přibyl nový úkol!
NEW VILLAGER JOINS YOUR CAUSE	K TVÉ VĚCI SE PŘIDAL NOVÝ VESNIČAN
News & Announcements	Zprávy a oznámení
Next	Další
Nicer version of player's house.	Hezčí podoba hráčova domu.
Nicer version of your personal house.	Hezčí podoba tvého vlastního domu.
Nickname	Přezdívka
No	Ne
No.	Ne.
No worries	Nic se neděje
No active bonuses	Žádné činné bonusy
No active effects	Žádné činné účinky
No construction in progress	Nic se nestaví
No food consumed	Nesnědeno žádné jídlo
No helmet	Bez přilby
None	Žádné
Non-Combat	Mimo boj
Not accessable in the game. Logic only	Ve hře nedostupné. Jen pro vnitřní logiku
Not available in normal game.	V běžné hře nedostupné.
Not obtainable.	Nezískatelné.
Not obtainable item.	Nezískatelný předmět.
Not all players on board of the ship.	Ne všichni hráči jsou na palubě.
Not all requirements are met :	Nejsou splněny všechny požadavky:
Not dead yet	Ještě není po něm
Not trustworthy.	Nedůvěryhodný.
Not yet discovered	Zatím neobjeveno
Notifications	Oznámení
Novice	Nováček
NOW	TEĎ
Now an Ally of	Nyní spojenec
Now At War with	Nyní ve válce s
Now is produced by	Nyní vyrábí
Now is used by	Nyní používá
Nowhere to dock!	Není kde zakotvit!
Number of carts	Počet povozů
Number of facilities	Počet provozů
Nutrition Duration	Doba sytosti
Objectives	Cíle
Occupation	Povolání
OK	OK
