# Quests/SideQuests - delsi texty, 27. davka
And everything went smoothly, the trader gave me the bag and he said he would contact you later.	A všechno šlo hladce, ten obchodník mi dal pytel a řekl, že se ti později ozve.
Bandits, wild animals, even a few shady travelers looking to start a brawl. I'd be dealing with all that.	Lapkové, divá zvěř, i pár pochybných pocestných, co si hledají rvačku. S tím vším bych se musel potýkat.
Be it a beast for plowing, a pig for the pot, or a hen for the coop, I have what thou need’st!	Ať už hledáš dobytče k pluhu, prase do hrnce či slepici do kurníku, mám, čeho ti třeba!
Be kind to the land and listen closely to its whispers! And always carry a bit of salt for protection; it wards off negativity!	Buď k zemi laskavý a pozorně naslouchej jejímu šepotu! A vždy měj u sebe špetku soli pro ochranu; odhání zlé.
Bear in mind for the future, my reward price increases with each person I have to kill for you… Be safe.	Pamatuj do budoucna, má odměna roste s každým člověkem, kterého pro tebe musím zabít… Opatruj se.
Because the numbers don’t add up! Last week, a book I bought before cost me twice as much. He claims it’s due to supply issues. Something’s not right.	Protože ta čísla nesedí! Minulý týden mě kniha, kterou jsem už jednou koupil, stála dvakrát tolik. Tvrdí, že za to mohou potíže s dodávkami. Něco tu není v pořádku.
Because your Elder thinks my wares are worth less than the dirt they’re sold on. These people haggle like their lives depend on it, but I have costs, too.	Protože váš stařešina si myslí, že mé zboží má menší cenu než hlína, na které se prodává. Ti lidé smlouvají, jako by jim šlo o život, ale i já mám výdaje.
Because, traveler, you have the look of someone who's seen more than just the inside of a workshop.	Protože, pocestný, vypadáš jako někdo, kdo viděl víc než jen vnitřek dílny.
Before you set sail on this quest, watch out for the Fishing Guild. They’re like sharks seeking prey.	Než se na tuhle výpravu vydáš, dej si pozor na Rybářský cech. Jsou jako žraloci na lovu.
Believe me, no one around here is a good dancer. I need wooden planks and leather. Can you get them for me?	Věř mi, nikdo tady dobře netančí. Potřebuji dřevěná prkna a kůži. Obstaráš mi je?
Besides contributing to the development of medicine, you can be sure I will throw you some solid coins.	Kromě přispění k rozvoji léčitelství ti jistě hodím i pár slušných mincí.
Better off apart? Maybe you’re right. Maybe we’ve been fooling ourselves this whole time.	Líp odděleně? Možná máš pravdu. Možná jsme celou dobu klamali sami sebe.
Beware. Don’t pull the string too much and just feel the rhythm once the fish is on hook. You don’t want to break a string or your fishing rod, right?	Pozor. Netahej za vlasec příliš a jakmile je ryba na háčku, jen ciť ten rytmus. Nechceš přece přetrhnout vlasec nebo zlomit prut, viď?
Boars like to roam around the forest next to the village. Shouldn’t be hard to find a few to kill, but be careful, they are quite difficult to eliminate.	Kanci se rádi potulují po lese vedle vesnice. Nemělo by být těžké jich pár najít a zabít, ale opatrně, dají dost práce.
Bradford’s situation with copper is still dire due to the election, could you find a moment to help us?	Situace Bradfordu s mědí je kvůli volbám pořád zoufalá, našel by sis chvilku a pomohl nám?
Brigands are not the nicest group of people. They attack you for no reason and get away with it too.	Brigands nejsou zrovna milá společnost. Napadnou tě bez důvodu a ještě jim to projde.
Brigands took him three days ago. No one knows what happened to him after, but I found your books.	Brigands ho odvedli před třemi dny. Nikdo neví, co s ním bylo dál, ale tvé knihy jsem našel.
Bring him here, and I'll take him to Aleks Amanita, he's the best healer I know. Start from that waterfall.	Přiveď ho sem a já ho odvedu k Aleksovi Amanitovi, je to nejlepší ranhojič, kterého znám. Začni u toho vodopádu.
Business first, eh? Well, as long as the letter reaches my daughter, I don’t care what motivates you.	Nejdřív obchod, co? Inu, hlavně když dopis dojde mé dceři, je mi jedno, co tě pohání.
Busy times, indeed! I’ll keep my loom spinning and my threads ready for when you can take on a bit of fun. Just swing by when you’re able!	Rušné časy, vskutku! Nechám stav běžet a nitě připravené, až budeš mít chuť na trochu zábavy. Jen se zastav, až budeš moci!
But all is not lost. Take this to blacksmith Finton Mallet in Horndean, he’s the best weaponsmith I know. Maybe he will figure something out.	Ale není vše ztraceno. Vezmi to ke kováři Fintonu Malletovi v Horndeanu, je to nejlepší zbrojíř, kterého znám. Možná na něco přijde.
But Arnol can crush skulls in his bare hands, which comes in handy sometimes. Dunno if you can afford him, though.	Ale Arnol dokáže drtit lebky holýma rukama, což se občas hodí. Nevím ale, jestli si ho můžeš dovolit.
But back to the problem at hand, we need some basic supplies like flour, will you be able to get this for us?	Ale zpátky k věci, potřebujeme základní zásoby, třeba mouku, dokážeš nám ji obstarat?
But be careful, the roads can be very dangerous, especially if you’re traveling with food.	Ale opatrně, cesty mohou být velmi nebezpečné, zvlášť když cestuješ s jídlem.
But been exiled for a long time, for something I did in my youth. Not proud of it, but I’m changed now.	Ale jsem už dlouho ve vyhnanství, kvůli něčemu, co jsem provedl v mládí. Nejsem na to hrdý, ale změnil jsem se.
But beware, the challenges are only gonna get harder. Also, you have been promoted. You will no longer be the “kid”.	Ale pozor, výzvy budou už jen těžší. A ještě - byl jsi povýšen. Už nebudeš „hoch“.
But for now, you have done tremendous damage to their mission. Enjoy this respite from their ordeal. I’ll call upon you when the time is right.	Ale prozatím jsi jejich záměrům způsobil nesmírnou škodu. Užij si oddech od jejich trápení. Zavolám tě, až přijde čas.
But here's the kicker – the Padstow village elder is the only person known to have caught one.	Ale tady je ten háček - stařešina vsi Padstow je jediný, o kom se ví, že jednoho ulovil.
But here’s the good news. You have the chance to earn a few bob, and I can teach you to forge some items, if you’d like.	Ale je tu dobrá zpráva. Máš možnost si přivydělat a já tě mohu naučit ukovat pár věcí, jestli chceš.
But he’s no saint either. He’s just as broken as I am, but he hides it behind that cold mask of his.	Ale ani on není svatý. Je stejně zlomený jako já, jen to skrývá za tou svou chladnou maskou.
But I appreciate you taking the time to investigate. Please, take this, as a token of my gratitude.	Ale vážím si toho, že sis na to pátrání udělal čas. Vezmi si to prosím na znamení mé vděčnosti.
But I fear the journey is fraught with dangers. Would you consider escorting me there safely? I can offer some compensation for your trouble, of course.	Ale obávám se, že cesta je plná nebezpečí. Zvážil bys, že mě tam bezpečně doprovodíš? Za tvou námahu ti samozřejmě mohu nabídnout odměnu.
But I know him well! He’s always been trustworthy. I'm sure that something is wrong. Can you please help me?	Ale já ho dobře znám! Vždycky byl důvěryhodný. Jsem si jistá, že něco není v pořádku. Pomůžeš mi prosím?
But if an arrow of mine should find an unintended target, well, I won’t lose sleep over it.	Ale kdyby snad můj šíp našel nezamýšlený cíl, inu, spánek kvůli tomu neztratím.
But if anyone comes looking for it, I’ll tell ‘em you were here. I’m not getting killed over this.	Ale jestli si pro to někdo přijde, řeknu jim, že jsi tu byl. Kvůli tomuhle se zabít nenechám.
