# Dialogy NPC, dávka 01 - originál <TAB> překlad
# Pozdravy a odbytí drží starosvětský tón; strážní a hlídky mluví služebně.

# --- pozdravy ---
Greetings!	Buď zdráv!
Excuse me, I’m on a tight schedule with my duties. How can I help you quickly?	Promiň, povinnosti mě tlačí. Jak ti můžu rychle pomoct?
Good day. I'm in the middle of my rounds. What can I do for you?	Dobrý den. Jsem uprostřed obchůzky. Co pro tebe můžu udělat?
Good to see you, but I’m in the middle of my rounds.	Rád tě vidím, ale jsem uprostřed obchůzky.
I'm currently patrolling the area. Is there something urgent?	Právě hlídkuji v okolí. Je to naléhavé?
I'm in the middle of a patrol. Can we make this quick?	Jsem uprostřed hlídky. Zvládneme to rychle?
All clear for now. But I need to keep moving. Thank you for understanding.	Zatím je klid. Ale musím dál. Díky za pochopení.
All is well, but we’re keeping an eye out. Duty calls!	Vše je v pořádku, ale máme oči otevřené. Povinnost volá!
Everything is fine. But I have to stay vigilant.	Všechno je v pořádku. Ale musím zůstat ve střehu.
Everything is secure, but I must continue my patrol.	Vše je zajištěno, ale musím pokračovat v hlídce.
I must keep moving.	Musím dál.
I trust you haven’t caused trouble today?	Doufám, že jsi dnes nedělal potíže?
Careful where you walk.	Dávej pozor, kam šlapeš.

# --- odbytí a nepřátelství ---
Get out of my sight before I lose what patience remains.	Zmiz mi z očí, než mi dojde poslední trpělivost.
Get out, or I’ll make you regret it.	Vypadni, nebo toho budeš litovat.
Don’t try anything stupid.	Nezkoušej žádnou hloupost.
Don’t try anything stupid...	Nezkoušej žádnou hloupost…
Don’t waste my time.	Nemarni můj čas.
Don’t waste my time...	Nemarni můj čas…
Do you test our patience?	Zkoušíš naši trpělivost?
Every word you speak digs you deeper.	Každé tvé slovo tě zahrabává hlouběji.
I don’t have the time for chitchat.	Nemám čas na klábosení.
I don’t have time for you.	Na tebe nemám čas.
I don’t know you, and I don’t like you.	Neznám tě a nemám tě rád.
I have no time for pointless chatter. People like me need to work, unlike you peasants.	Nemám čas na plané řeči. Lidé jako já musí pracovat, na rozdíl od vás sedláků.
I have no time for strangers, I need to work.	Nemám čas na cizince, musím pracovat.
I don't have too much time. So if you need something, make it quick.	Nemám moc času. Takže jestli něco potřebuješ, rychle.
I won’t speak with you. Be glad I didn’t draw my weapon.	Nebudu s tebou mluvit. Buď rád, že jsem netasil.
I will pretend you didn’t ask that question. Find out for yourself.	Budu předstírat, že ses neptal. Zjisti si to sám.
I barely know who you are, and you’re asking for my help? Build some trust first.	Sotva vím, kdo jsi, a chceš mou pomoc? Nejdřív si získej důvěru.
I won't work with a complete no-name, in these hard times it’s too risky.	Nebudu dělat s úplným nikým, v těchhle zlých časech je to moc riskantní.
A pleasure, truly. We lowly folk live to serve thy shining shoes.	Nesmírné potěšení. My prostí lidé žijeme, abychom sloužili tvým lesklým střevícům.
Ah, the notorious mystery savior of Karvenia. You’re very bold, stepping onto my grounds.	Á, ten pověstný záhadný spasitel Karvenie. Máš odvahu, že vstupuješ na mou půdu.
Do you have a problem landlover?	Máš problém, suchozemče?
Are you looking for trouble?	Hledáš potíže?
Have you come to cause trouble or stir up dissent!?	Přišel jsi dělat potíže, nebo bouřit lid?!
He’s in his chambers, where you’re not allowed to go.	Je ve svých komnatách, kam ty nesmíš.
Hey you, soldier! You’ve already shown that you’re one of us. What a silly question.	Hej ty, vojáku! Už jsi ukázal, že jsi jeden z nás. Hloupá otázka.

# --- rozloučení ---
Be well.	Měj se dobře.
Have a good day.	Hezký den.
Goodbye!	Sbohem!
Hope to see you again soon!	Snad se brzy zas uvidíme!
Carry on, then.	Tak pokračuj.
I understand, keep moving. Safe travels.	Rozumím, jdi dál. Šťastnou cestu.

# --- krátké reakce ---
Alright.	Dobrá.
Go on.	Pokračuj.
Got it.	Rozumím.
Hm?	Hm?
Hmm?	Hmm?
I see.	Chápu.
I get it.	Chápu to.
I understand.	Rozumím.
I can understand that.	To chápu.
I remember now.	Už si vzpomínám.
I will.	Budu.
I can't.	Nemůžu.
I can't help you.	Nemůžu ti pomoct.
I know nothing.	Nic nevím.
I heard nothing.	Nic jsem neslyšel.
I mean no harm.	Nechci nic zlého.
I'm glad to hear that.	To rád slyším.
I think that's it.	Myslím, že to je vše.
Actually I think I have no more questions.	Vlastně mě už nic nenapadá.
I have all the answers to my questions.	Mám odpovědi na všechny své otázky.
I just wanted do ask you something.	Jen jsem se chtěl na něco zeptat.
I just wanted to ask you something.	Jen jsem se chtěl na něco zeptat.
I want to ask you about something.	Chci se tě na něco zeptat.
Giving it another thought… I need to do something else first.	Když o tom tak přemýšlím… musím nejdřív udělat něco jiného.

# --- otázky ---
Do you need anything else?	Potřebuješ ještě něco?
Do you need my help?	Potřebuješ mou pomoc?
Do you need to find someone else?	Potřebuješ najít někoho dalšího?
Do you want to ask anything else? I’m in a hurry.	Chceš se zeptat ještě na něco? Spěchám.
Do you want to ask me about something else?	Chceš se mě zeptat na něco jiného?
Does that answer satisfy you?	Uspokojila tě ta odpověď?
Anything else? I’m in a hurry. I don’t want to travel at night.	Ještě něco? Spěchám. Nechci cestovat v noci.
How can I help you?	Jak ti můžu pomoct?
How can I help you sir?	Čím posloužím, pane?
I see you're new here. Is there something you need help with?	Vidím, že jsi tu nový. Potřebuješ s něčím pomoct?
I'm afraid I don't have anything for you to do right now.	Obávám se, že pro tebe teď nic nemám.
All’s well, I trust?	Doufám, že je vše v pořádku?
Are the roads safe?	Jsou cesty bezpečné?
Are you interested in a good deal?	Máš zájem o dobrý obchod?
Are you new in town? It's customary that you should greet the Elder.	Jsi ve městě nový? Je zvykem pozdravit stařešinu.
Care for a drink?	Dáš si napít?
Got any rum?	Máš rum?
Have you heard some rumours?	Doslechl ses nějaké zvěsti?
Have you seen the Elder yet?	Byl jsi už u stařešiny?
How has the scourge affected your work?	Jak ta pohroma zasáhla tvou práci?
I would like to know more about you. Were you born here?	Rád bych o tobě věděl víc. Narodil ses tady?
Could you tell me more about Haerndean?	Řekneš mi víc o Haerndeanu?
Can you tell me more about Falsgar’s troops?	Řekneš mi víc o vojskách Falsgaru?
Can you tell me more about you, Cassians?	Řekneš mi víc o vás, Cassianech?
Can you tell me more about you, Halmayans?	Řekneš mi víc o vás, Halmayanech?
Do you know how I can prove my loyality to Halmayans?	Víš, jak můžu Halmayanům dokázat svou věrnost?
How do I get to the Halmare Isles?	Jak se dostanu na Halmarské ostrovy?
Halmare Isles? Where is that? Why is it so dangerous there?	Halmarské ostrovy? Kde to je? Proč je tam tak nebezpečno?
Horndean? What is their role in the story?	Horndean? Jakou v tom hrají roli?
Falsgars? I don't believe I've heard that name before.	Falsgarové? To jméno jsem, myslím, ještě neslyšel.
Bandit raids? That sounds awful. Have the people tried to defend themselves?	Nájezdy lapků? To zní hrozně. Zkusili se lidé bránit?
Disappearances? So they disappear into the ether, or what do you mean?	Zmizení? Takže se rozplynou v povětří, nebo jak to myslíš?
I'm glad to hear that. But I'm still curious, what's been happening around here lately?	To rád slyším. Ale pořád mě zajímá, co se tu poslední dobou děje?

# --- shánění lidí a surovin ---
I'm looking for a Blacksmith.	Hledám kováře.
I'm looking for a Carpenter.	Hledám tesaře.
I'm looking for a Farmer.	Hledám sedláka.
I'm looking for a Healer.	Hledám ranhojiče.
I'm looking for a Innkeeper.	Hledám hostinského.
I'm looking for a Labourer.	Hledám dělníka.
I'm looking for a Weaver.	Hledám tkalce.
I'm looking for a Woodsman.	Hledám hajného.
I'm looking for Copper.	Hledám měď.
I'm looking for Flax.	Hledám len.
I'm looking for flax.	Hledám len.
I'm looking for Garlic.	Hledám česnek.
I'm looking for Grapes.	Hledám hrozny.
I'm looking for grapes.	Hledám hrozny.
I'm looking for Iron.	Hledám železo.
I'm looking for Lemons.	Hledám citrony.
I'm looking for lemons.	Hledám citrony.
I'm looking for Sage.	Hledám šalvěj.
I'm looking for Salt.	Hledám sůl.
I'm looking for salt.	Hledám sůl.
I'm looking for Wheat.	Hledám pšenici.
I need to find Clay.	Potřebuju najít hlínu.
I need to find Granite.	Potřebuju najít žulu.
I need to find Moss.	Potřebuju najít mech.
I need to find Peat.	Potřebuju najít rašelinu.
I need to find Tin.	Potřebuju najít cín.
I'm looking for people to join me. I can give you food and something to work.	Hledám lidi, kteří se ke mně přidají. Můžu dát jídlo a práci.

# --- odpovědi na shánění ---
Can be found in the Southern parts of Karvenia.	Najdeš v jižních částech Karvenie.
Check in Bradford and Crasmere.	Zkus to v Bradfordu a Crasmere.
Check in Bradford or Crasmere.	Zkus to v Bradfordu nebo Crasmere.
Copper can be found even in Lowlands close to the Haerndean waterfall.	Měď najdeš i v Nížinách u haerndeanského vodopádu.
From what I know, you can find them in Padstow and Blackridgepool.	Pokud vím, najdeš je v Padstowu a Blackridgepoolu.
Hmm. You should check in Haerndean and Farnworth, I think that Crasmere have some too.	Hmm. Zkus to v Haerndeanu a Farnworthu, myslím, že něco má i Crasmere.
I know at least few are working in Bradford and Horndean.	Vím, že aspoň pár jich pracuje v Bradfordu a Horndeanu.
I know at least few are working in Haerndean, Farnworth and Crasmere.	Vím, že aspoň pár jich pracuje v Haerndeanu, Farnworthu a Crasmere.
I would look for people with that trade in Horndean and Blackridgepool.	Lidi s tímhle řemeslem bych hledal v Horndeanu a Blackridgepoolu.
I have no idea where to find it, but someone who works with that resource should know.	Nemám tušení, kde to najít, ale někdo, kdo s tou surovinou pracuje, by měl vědět.
I have no idea where to find it, sorry, you should ask Blacksmith about it.	Nemám tušení, kde to najít, promiň, zeptej se kováře.
I have no idea where to find it, sorry, you should ask someone who knows more about it.	Nemám tušení, kde to najít, promiň, zeptej se někoho, kdo tomu rozumí víc.
I don’t know. Speak with The Cutlass — she might have something for you.	Nevím. Promluv se Šavlí – možná pro tebe něco má.
Check my trades, you won’t find anything better.	Mrkni na mé zboží, lepší nenajdeš.

# --- příběhové repliky ---
All I have is my word. It's saddening that, in these times, it may not be enough.	Mám jen své slovo. Je smutné, že v těchhle časech nemusí stačit.
Cassandra is in a weirdly good mood lately. I wonder why?	Cassandra má poslední dobou podivně dobrou náladu. Copak asi?
Damn those Halmayan, I hate them so much.	Zatracení Halmayané, tak moc je nesnáším.
Easy. Break a few Cassians’ bones.	Snadné. Polámej pár Cassianům kosti.
Folks' faith in Lord Ashbourne is starting to waver.	Víra lidí v lorda Ashbourna začíná kolísat.
Glory to the Cassians!	Sláva Cassianům!
Gods, I want to sail on the sea again.	Bohové, jak já toužím zas vyplout na moře.
Ha! Worry not. When the time comes, you’ll feel the full force of my battalion!	Ha! Neboj se. Až přijde čas, pocítíš plnou sílu mého praporu!
Halmare Isles are busy with trade, despite the war between Halmayans and Cassians.	Na Halmarských ostrovech kvete obchod, i přes válku mezi Halmayany a Cassiany.
Help us if you see we are fighting Halmayans, that's always useful.	Pomoz nám, když uvidíš, že bojujeme s Halmayany, to se vždycky hodí.
Can you help me? Please, I want to go to my family.	Pomůžeš mi? Prosím, chci za svou rodinou.
I have family here you know?! Help me please!	Mám tu rodinu, víš?! Prosím, pomoz mi!
I will pay you, just get me out of here.	Zaplatím ti, jen mě odsud dostaň.
I feel bad that I can't offer you nothing for that but I will pray for you.	Mrzí mě, že ti za to nemůžu nic nabídnout, ale budu se za tebe modlit.
I might not have too much to offer but I can give you some advice as gratitude.	Nemám toho moc na rozdávání, ale z vděčnosti ti můžu poradit.
I'm always keen to help good people.	Dobrým lidem vždy rád pomůžu.
I'm just trying to do what I can.	Jen dělám, co můžu.
I heard you’re already doing well. Just keep doing what you’re doing.	Prý se ti daří. Jen tak dál.
I hope you will be able to restore it.	Doufám, že to dokážeš obnovit.
I think we can help each other by working together, what do you think?	Myslím, že si spoluprací můžeme pomoct. Co ty na to?
I came seeking allies, not enemies. But I respect your decision.	Přišel jsem hledat spojence, ne nepřátele. Ale tvé rozhodnutí ctím.
I was hoping for an ally, but I see your point. I'll have to manage alone.	Doufal jsem ve spojence, ale chápu tě. Budu si muset poradit sám.
I see for now I'll have to continue alone.	Vidím, že zatím budu muset pokračovat sám.
I understand. It seems trust is harder to find than I thought.	Rozumím. Zdá se, že důvěra se shání hůř, než jsem myslel.
I'm not easy to win over, but Gods know you’ve put in the time and effort! I’m in.	Nezískáš mě snadno, ale bohové vědí, žes do toho dal čas i úsilí! Jdu do toho.
I want to give you some coins I found.	Chci ti dát mince, co jsem našel.
Good. I really don't like wasting time.	Dobře. Vážně nerad marním čas.
