# Quests/SideQuests - delsi texty, 38. davka
Really? I didn’t think they’d listen to reason. You’ve got a way with words, friend.	Vážně? Nemyslel jsem, že dají na rozum. Ty umíš se slovy, příteli.
Some of the villagers told me of a mysterious figure lurking on the edge of the village, some of them even think it's a ghost.	Někteří vesničané mi vyprávěli o záhadné postavě číhající na okraji vsi, někteří si dokonce myslí, že je to duch.
Some older people, the ones who still stand, still cling to their belief in these entities, but most take our Queen, blessed be, as our divine One.	Někteří starší, ti, co ještě stojí, se stále drží víry v tyto bytosti, ale většina považuje naši královnu, budiž požehnána, za naši božskou Jedinou.
Some people think that farming is boring, but they've obviously never tried it. Trust me, there's never a dull moment on the farm.	Někteří lidé si myslí, že hospodaření je nudné, ale zjevně to nikdy nezkusili. Věř mi, na statku nudná chvíle nenastane.
Some say he was just a loner, others believe he found something truly special and wanted to protect it.	Někteří říkají, že byl prostě samotář, jiní věří, že našel něco opravdu zvláštního a chtěl to ochránit.
Some say it swims in the clearest mountain streams; others reckon it’s a night-time lurker.	Někteří říkají, že plave v nejčistších horských potocích; jiní soudí, že se plíží v noci.
Some say there are members of the cult, lurking, awaiting their moment to emerge.	Někteří říkají, že členové toho kultu číhají a čekají na svou chvíli, kdy se vynoří.
Some with smarts are a rarity around here. The good Elder has been short-changing us on his taxes. Lord Ashbourne wants what he’s owed.	Někdo s rozumem je tu vzácnost. Náš dobrý stařešina nás šidí na daních. Lord Ashbourne chce, co mu patří.
Someone is not letting you hunt, and you want me to bring you deer Rawhide so you can pretend they’re yours…?	Někdo ti nedovoluje lovit a ty chceš, abych ti přinesl jelení surovou kůži, abys mohl předstírat, že je tvá…?
Someone was killed in the woods near where you live, and I’m gathering information.	Někoho zabili v lese poblíž tvého bydliště a já sbírám zprávy.
Something about a god named Devannos, guiding arrows and spilling blood. Typical old-world hunter talk.	Něco o bohu jménem Devannos, o vedení šípů a prolévání krve. Typické řeči lovců starého světa.
Something is terribly wrong, I can feel it. I’m looking for someone who can find him.	Něco je strašně špatně, cítím to. Hledám někoho, kdo ho dokáže najít.
Something like that. But don’t be embarrassed, many have been caught in her trap before. She’s very convincing.	Něco v tom smyslu. Ale nestyď se, do její pasti se chytilo mnoho lidí. Je velmi přesvědčivá.
Sometimes that's the only way with those types. Here, take this for your troubles.	S takovými lidmi to někdy jinak nejde. Tu máš, vezmi si to za svou námahu.
Sometimes they deal with the nearby bandits for us, but we pay high taxes. It angers members of our community, and deters new settlers.	Občas se za nás vypořádají s okolními lapky, ale platíme vysoké daně. Naše lidi to rozčiluje a odrazuje to nové osadníky.
Sorry, Paul, you might have to find someone else to take your mysterious letter to Oscar.	Promiň, Paule, budeš si možná muset najít někoho jiného, kdo ten tvůj záhadný dopis odnese Oscarovi.
Sounds like Oscar in Haerndean. He's exhausting to talk to, but he probably knows a thing or two about weird languages.	To zní na Oscara v Haerndeanu. Mluvit s ním je vysilující, ale o podivných jazycích nejspíš ledacos ví.
Sounds like you have motivation. And you’re not particularly shocked by the news of the murder.	Zní to, že máš pohnutku. A zpráva o vraždě tě nijak zvlášť nešokovala.
Speak with Finton and Cressida. They’ll need some convincing, but I trust you can handle it.	Promluv s Fintonem a Cressidou. Bude je třeba přesvědčit, ale věřím, že to zvládneš.
Spirits, plain as day. The spirits of the forest don’t like when we cage creatures. They’re angry, I tell ya!	Duchové, jasně jak den. Lesní duchové nemají rádi, když zavíráme tvory do klecí. Zlobí se, to ti povídám!
Stay away from me! You will not stop me! I have a greater purpose than you could possibly believe.	Drž se ode mě dál! Nezastavíš mě! Mám vyšší poslání, než si dokážeš představit.
Step forth, good friend! From feather to hoof, I have the finest stock in the land!	Pojď blíž, dobrý příteli! Od pírka po kopyto mám nejlepší chov v zemi!
Still in one piece, I see. Did you manage to gather all of the ingredients I requested for Solstice Delirium? And the flask?	Vidím, že jsi vcelku. Podařilo se ti nasbírat všechny přísady, o které jsem žádal na Slunovratové delirium? A tu lahvičku?
Stop it. You’re nowhere near ready. I understand you want to help, but you need to train more.	Přestaň. Nejsi zdaleka připraven. Chápu, že chceš pomoct, ale musíš víc cvičit.
Straight to the point! I like it! Listen, kid, this task is not gonna be easy or safe, so you better be sure about it.	Rovnou k věci! To se mi líbí! Poslyš, hochu, tenhle úkol nebude snadný ani bezpečný, tak si tím radši buď jistý.
Stranger, could you help us with some essentials? We are still running low on supplies.	Cizinče, nepomohl bys nám s pár nezbytnostmi? Pořád nám docházejí zásoby.
Supplies go missing. Travelers avoid the roads. And sometimes… it’s just too quiet.	Zásoby mizí. Pocestní se cestám vyhýbají. A někdy… je prostě příliš ticho.
Sure, I'll take it to Oscar and see what he can make of it. You've piqued my curiosity too.	Jistě, odnesu to Oscarovi a uvidím, co s tím svede. Vzbudil jsi mou zvědavost taky.
Take this for your work, we don’t have much but I believe a job well done deserves a reward.	Vezmi si to za svou práci, moc toho nemáme, ale věřím, že dobře odvedená práce si zaslouží odměnu.
