# Obsah hry, dávka 02 - originál <TAB> překlad
# Jména osob a vsí zůstávají anglická; kde jsou součástí názvu, skloňují se.

# --- často opakované repliky ---
Anything else?	Ještě něco?
Antidote for poisoned well	Protijed do otrávené studny

# --- názvy úkolů a etap ---
Ancient Legacy	Dávný odkaz
Ancient Legacy - Blackridgepool	Dávný odkaz – Blackridgepool
Ancient Legacy - Blackridgepool.	Dávný odkaz – Blackridgepool.
Ancient Legacy - Crasmere	Dávný odkaz – Crasmere
Ancient Legacy - Crasmere.	Dávný odkaz – Crasmere.
Ancient Legacy - Farnworth	Dávný odkaz – Farnworth
Ancient Legacy - Farnworth.	Dávný odkaz – Farnworth.
Ancient Legacy - Horndean	Dávný odkaz – Horndean
Ancient Legacy - Horndean.	Dávný odkaz – Horndean.
Ancient Legacy - Padstow	Dávný odkaz – Padstow
Another try: Haerndean	Další pokus: Haerndean
Another try: Padstow	Další pokus: Padstow
Arms for the Unknown	Zbraně pro neznámého
Arrow in the Eye	Šíp do oka
Arrows of the Future	Šípy budoucnosti
Arrows with il intent	Šípy se zlým úmyslem
Arrows with Ill Intent	Šípy se zlým úmyslem
As Dusk Sets	Když padá soumrak
Arrival	Příchod

# --- zadání úkolů ---
Ally with {Npc}	Spoj se s {Npc}
Ask about the shrine to {Npc}.	Zeptej se {Npc} na svatyni.
Ask about the gambito to Matteo Cavalli.	Zeptej se Mattea Cavalliho na gambito.
Ask Marek for Letter with Order	Požádej Marka o dopis se zakázkou
Ask Sambor for tools	Požádej Sambora o nástroje
Add propaganda to the notice board in Nauroh	Vyvěs propagandu na vývěsku v Nauroh
All villagers have fallen in battle	Všichni vesničané padli v bitvě

# --- postavy a povolání ---
Alchemist	Alchymista
Alchemist Guard	Strážce alchymisty
Alchemist Cave Guards	Strážci alchymistovy jeskyně
Angler	Rybář
Animal Merchant	Obchodník se zvířaty
Armorer	Platnéř
Armourer	Platnéř
Archers	Lučištníci
Archery Militia	Lučištnická domobrana
Aleks Amanita Hut	Chýše Alekse Amanity
Alistair Boone Hut	Chýše Alistaira Boonea
Anzo Milton Hut	Chýše Anza Miltona

# --- předměty ---
Alcohol	Alkohol
Alcoholic beverage	Alkoholický nápoj
Ale	Pivo
Apple	Jablko
Apple Pie	Jablečný koláč
Apple Seeds	Jablečná semena
Animal feed	Krmivo
Animal Feed	Krmivo
Animal Remains	Zbytky zvířete
Ammo	Střelivo
Ammunition Basket	Koš na střelivo
Arming Sword	Rytířský meč
Ashbourne Sword	Ashbournský meč
Ash Shortbow	Jasanový krátký luk
Armored Cap	Vyztužená čapka
Adventurer's Garb	Dobrodruhův šat
Artisan Clothing	Řemeslnický oděv
Apprentice Weaponry Kit	Učednická zbrojní souprava
Arrow Quiver	Toulec na šípy
Arrows	Šípy

# --- knihy dovedností ---
Apprentice Book - Agility	Učednická kniha – Hbitost
Apprentice Book - Animal Handling	Učednická kniha – Chov zvířat
Apprentice Book - Archery	Učednická kniha – Lukostřelba
Apprentice Book - Cooking	Učednická kniha – Vaření
Apprentice Book - Crafting	Učednická kniha – Výroba
Apprentice Book - Farming	Učednická kniha – Zemědělství
Apprentice Book - Harvesting	Učednická kniha – Sběr
Apprentice Book - Labourer	Učednická kniha – Dělník
Apprentice Book - One Handed	Učednická kniha – Jednoruční zbraně
Apprentice Book - Polearms	Učednická kniha – Dřevcové zbraně
Apprentice Book - Research	Učednická kniha – Bádání
Apprentice Book - Shields	Učednická kniha – Štíty
Apprentice Book - Strength	Učednická kniha – Síla
Apprentice Book - Two Handed	Učednická kniha – Obouruční zbraně

# --- stavby ---
Apiary	Včelín
Arrow Rack	Stojan na šípy
Arrows Rack	Stojan na šípy
Archive Door	Dveře archivu
Armors Hoard	Sklad zbrojí
A space to grow various decorative flowers.	Místo pro pěstování okrasných květin.
Allows one worker to chop logs into wood.	Umožní jednomu dělníkovi štípat klády na dřevo.
Allows the wearer to carry 60 arrows.	Umožní nositeli nést 60 šípů.
Allows the wearer to carry 60 bolts.	Umožní nositeli nést 60 šipek.
Allows to establish an outpost.	Umožní založit základnu.
Allows travelling to the new land.	Umožní cestu do nové země.
Allow you to remove the roads as needed.	Umožní podle potřeby odstraňovat cesty.
(For buildings of ALL tiers, not only T1)	(Pro stavby VŠECH úrovní, nejen T1)

# --- rozhraní ---
All	Vše
All time	Za celou dobu
Alliance	Spojenectví
Allow Newly Added Items	Povolit nově přidané předměty
Allowed baits	Povolené návnady
Amount	Množství
Animals	Zvířata
Animal Handling	Chov zvířat
Angry	Rozzlobený
Annoyed	Otrávený
Approve all plans	Schválit všechny plány
Archery	Lukostřelba
Armor	Zbroj
Armors	Zbroje
Army	Vojsko
Army management	Správa vojska
Arrow Piercing	Průraznost šípu
Arrow Speed	Rychlost šípu
Assign	Přiřadit
Assigned	Přiřazeno
 You are now a stranger to {SettlementName}.	 Teď jsi pro {SettlementName} cizinec.
3 - 8 (avg 5.4)	3 – 8 (prům. 5,4)
<msglog>Reached level </><msglog_red>999</>	<msglog>Dosažena úroveň </><msglog_red>999</>

# --- titulky a nahrávky ---
2D & 3D ART	2D A 3D GRAFIKA
ANIMATION	ANIMACE
[RECORDINGS] Armory Tent	[NAHRÁVKY] Zbrojní stan
[RECORDINGS] Companion Tent	[NAHRÁVKY] Stan družiníků
[RECORDINGS] Kitchen Tent	[NAHRÁVKY] Kuchyňský stan
[RECORDINGS] Player Tent	[NAHRÁVKY] Hráčův stan
[RECORDINGS] Warehouse Tent	[NAHRÁVKY] Skladištní stan
