# Quests/SideQuests - delsi texty, 35. davka
It’s got me nervous. Since you were a sport with Bessie, would you brave the straw run too?	Znervózňuje mě to. Když jsi byl tak hodný s Bessie, odvážil by ses i pro tu slámu?
It’s quite simple. The justice system is broken in Karvenia. You know it, I know it. Every farmer and member of the royal family knows it.	Je to prosté. Spravedlnost je v Karvenii rozvrácená. Ty to víš, já to vím. Každý sedlák i člen královského rodu to ví.
It’s said he had a secret spot, a place where the biggest and rarest fish swam. But he never shared it with anyone, kept it as his own sacred fishing haven.	Prý měl tajné místo, kde plavaly největší a nejvzácnější ryby. Ale nikdy se o ně s nikým nepodělil, byla to jeho posvátná rybářská skrýš.
It’s simple, every year when it’s time to harvest the crops, the whole village gathers to celebrate with a great feast.	Je to prosté, každý rok, když přijde čas sklizně, se celá vesnice sejde k velké hostině.
It’s simply not realistic. All we can do is make sure people are aware of her antics.	Prostě to není uskutečnitelné. Můžeme jen dbát, aby lidé o jejích kouscích věděli.
It’s the bandits that worry me most. They’re getting bolder, attacking our people and using the terrain to their advantage.	Nejvíc mě znepokojují lapkové. Jsou stále smělejší, napadají naše lidi a využívají terén ve svůj prospěch.
It’s truly the perfect day to make discoveries and learn something new… Did you find out anything new about shrines?	Je to vskutku dokonalý den na objevy a nové poznání… Zjistil jsi o těch svatyních něco nového?
It’s why I stick to my own spot here, away from their greedy clutches. If I can land the Golden Trout, it’d show them they don’t control the waters.	Proto se držím svého místa tady, mimo jejich chamtivé spáry. Kdybych ulovil Zlatého pstruha, ukázalo by jim to, že vody neovládají.
I’d like to help, but times are tough. If I’m leaving behind other work, I’ll need something to make it worthwhile. Maybe a few coins?	Rád bych pomohl, ale časy jsou zlé. Když nechám jinou práci, budu potřebovat něco, ať se to vyplatí. Třeba pár mincí?
I’d love to hear what kind of misunderstanding ends with two grown men rolling around like toddlers.	Rád bych slyšel, jaké nedorozumění končí tím, že se dva dospělí muži válejí jako batolata.
I’d say not, but I appreciate the gesture. You’ve been a hero yet again. Here’s a little something for your trouble.	Řekl bych, že ne, ale to gesto oceňuji. Zase jsi byl hrdinou. Tady máš maličkost za svou námahu.
I’ll also need a solid Iron Mace, next time they try to rob me I’ll smack their heads with it.	Budu taky potřebovat pořádný železný palcát, až mě příště zkusí okrást, praštím je s ním do hlavy.
I’ll apply the medicine immediately, and hopefully it will fight off any possible infection.	Lék podám okamžitě a snad zažene každý možný zánět.
I’ll give you a cut of the trade deal. That way, you’ll be more inclined to get me a better deal. The better the deal, the bigger the cut.	Dám ti podíl z obchodu. Tak budeš mít větší chuť vyjednat lepší cenu. Čím lepší obchod, tím větší podíl.
I’ll help, for the village’s sake. But Aleks is still a murderer, that won’t change.	Pomohu, kvůli vesnici. Ale Aleks je pořád vrah, to se nezmění.
I’ll keep an eye out, but I'm not making any promises. These shrines aren’t exactly on the beaten path.	Budu mít oči otevřené, ale nic neslibuji. Ty svatyně nestojí zrovna u vyšlapaných cest.
I’ll keep this short. I am afflicted by a grave illness and I’m getting weaker by the day.	Budu stručný. Sužuje mě těžká nemoc a den ode dne slábnu.
I’ll take the job, but if your hands are that sore from work, you should be wearing protective gloves.	Práci beru, ale jestli tě z ní tak bolí ruce, měl bys nosit ochranné rukavice.
I’m a man of my word. Take this shield, it will protect you from the fiercest blows.	Jsem muž svého slova. Vezmi si tenhle štít, ochrání tě před nejprudšími ranami.
I’m a mercenary. A damn fine one, if I may say so myself. But my sword has been less effective lately. Wear and tear, I suppose.	Jsem žoldák. Zatraceně dobrý, smím-li to o sobě říct. Ale můj meč je poslední dobou méně účinný. Opotřebení, řekl bych.
I’m a physician, one of the best in the land, if I’m being honest. My knowledge of the human body is more complete than any who have been practicing longer.	Jsem lékař, jeden z nejlepších v zemi, mám-li být upřímný. Mé znalosti lidského těla jsou úplnější než u kohokoli, kdo léčí déle.
I’m afraid things have only gotten worse. Anna and Tomas have parted ways, but in Stralu’s eyes they will continue to be together until the end of their days.	Obávám se, že se to jen zhoršilo. Anna a Tomas se rozešli, ale v Straluových očích spolu zůstanou až do konce svých dnů.
I’m always happy to upset some prats, especially prats that extort others. I’ll get that bait recipe.	Vždycky rád popudím nějaké hlupáky, obzvlášť ty, co vydírají druhé. Ten recept na návnadu seženu.
I’m certain. After you left, I was searching around my shed and found some food. I was right, it was no accident.	Jsem si jistý. Když jsi odešel, prohledával jsem okolí kůlny a našel jídlo. Měl jsem pravdu, nebyla to náhoda.
I’m glad that you were able to resolve this without bloodshed, but I’m not sure if he will keep his word.	Jsem rád, žes to dokázal vyřešit bez krveprolití, ale nejsem si jistý, že dodrží slovo.
I’m glad you’ve reconsidered. As I mentioned before, we need to start with a woodcutter station to supply lumber for the new buildings.	Jsem rád, žes to přehodnotil. Jak jsem už zmínil, musíme začít dřevorubeckou dílnou, aby bylo z čeho stavět.
I’m helping the healer with this sickness that is spreading, can you tell me about the day that led to your condition?	Pomáhám ranhojiči s tou šířící se nemocí, povíš mi o dni, který předcházel tvému stavu?
I’m hoping to brush up on my archery skills for whatever may come in the future. The slight hitch, though, is that the Elder made me sell my quiver and arrows.	Doufám, že si opráším lučištnické umění pro to, co může přijít. Drobná potíž je, že mě stařešina donutil prodat toulec a šípy.
I’m investigating a murder in the woods, and I was told you live near there. Did you see anyone suspicious in the area recently?	Vyšetřuji vraždu v lese a prý bydlíš poblíž. Neviděl jsi tam v poslední době někoho podezřelého?
I’m investigating the hangings of multiple people at the nearby tree. Know anything about that?	Vyšetřuji oběšení několika lidí u blízkého stromu. Víš o tom něco?
I’m just glad I could help. Stay safe out there, and may your “trip” bring back more than just stories.	Jsem prostě rád, že jsem mohl pomoci. Dávej na sebe venku pozor a ať ti ta „cesta“ přinese víc než jen historky.
I’m more interested in the coins than the people. But I’ll consider your suggestion.	Zajímají mě spíš mince než lidé. Ale tvůj návrh zvážím.
I’m no doctor, but they might be right. You probably shouldn’t be hunting. I’m sorry.	Nejsem ranhojič, ale možná mají pravdu. Asi bys neměl lovit. Je mi líto.
I’m no expert. But you can watch me fight the nearby bandits if it might help. At the very least, it will show you just how dangerous the bandits are.	Nejsem znalec. Ale můžeš mě sledovat, jak bojuji s blízkými lapky, jestli to pomůže. Přinejmenším uvidíš, jak nebezpeční lapkové jsou.
I’m no fool—I know he’s up to something. But I can’t prove it alone. Will you talk to the others in the village?	Nejsem hlupák - vím, že něco chystá. Ale sám to nedokážu. Promluvíš s ostatními ve vsi?
I’m not a fool. I know what I saw, and I know what I felt. There’s something unnatural about her, and I won’t pretend otherwise.	Nejsem hlupák. Vím, co jsem viděl, a vím, co jsem cítil. Je na ní něco nepřirozeného a nebudu předstírat opak.
I’m not dumb! Only a little… inexperienced. But we’re passionate about protecting our community! We just want to help people.	Nejsem hloupý! Jen trochu… nezkušený. Ale ochranu naší obce máme za srdeční záležitost! Chceme jen lidem pomáhat.
I’m not here to judge. I just want to understand what’s happening between you and Tomas.	Nejsem tu, abych soudil. Chci jen pochopit, co se mezi tebou a Tomasem děje.
I’m not his new apprentice, genius. Just a decent person. You should give it a go some time.	Nejsem jeho nový učedník, ty chytráku. Jen slušný člověk. Měl bys to někdy zkusit.
I’m not interested in buying the land. I have suspicions about Anna, she could be attempting to poison him.	Nemám zájem kupovat půdu. Mám podezření vůči Anně, možná se ho pokouší otrávit.
I’m not joking. I was trying to tell you about it earlier, when I was in Horndean a couple of days back, I got robbed by some bandits and lost the glue.	Nedělám si legraci. Chtěl jsem ti to říct dřív - když jsem byl před pár dny v Horndeanu, okradli mě lapkové a přišel jsem o lepidlo.
I’m not really in the mood for jokes. Someone tossed a dead deer into it. We need a new water source, fast.	Opravdu nemám náladu na žerty. Někdo tam hodil mrtvého jelena. Potřebujeme nový zdroj vody, a rychle.
I’m not saying you’re wrong, but I don’t want to jump to any extreme conclusions. Can you tell me where you saw this “ghost”?	Neříkám, že se mýlíš, ale nechci dělat ukvapené závěry. Povíš mi, kde jsi toho „ducha“ viděl?
I’m not the best at haggling, but you seem to have a way with words. What do you say?	Nejsem nejlepší ve smlouvání, ale ty se slovy zdá se umíš. Co ty na to?
I’m not trying to be rude, I’m just sayin’, being a blacksmith is not easy work, no matter what precautions you take.	Nechci být hrubý, jen říkám, že kovařina není snadná práce, ať děláš jakákoli opatření.
I’m sorry to hear about your son. That must have been terrifying. Can you tell me more about what happened?	Mrzí mě to s tvým synem. To muselo být hrozné. Povíš mi víc o tom, co se stalo?
I’m sorry. I needed to get out of here, but I can’t make a new life for myself without that loot. I hope you understand.	Je mi líto. Potřeboval jsem se odsud dostat, ale bez té kořisti si nový život nezaložím. Doufám, že chápeš.
I’m starting to see that as well. I get the impression that you are also without a true home.	Začínám to vidět taky. Mám dojem, že i ty jsi bez skutečného domova.
I’m trying to construct a little memorial for my parents, so I need you to bring me some simple cords and pelt. Stones I can get myself, so that’s all.	Snažím se postavit rodičům malý pomník, takže potřebuji, abys mi přinesl prosté šňůry a kožešinu. Kámen si obstarám sám, takže to je vše.
I’m trying to develop a new method of treating some unusual wounds, but I’m lacking in tools to prepare test cases.	Snažím se vyvinout nový způsob léčby některých neobvyklých ran, ale schází mi nástroje k přípravě pokusů.
I’m trying to help, please can you tell me what you did the day before you felt sick?	Snažím se pomoct, povíš mi prosím, co jsi dělal den předtím, než ti bylo špatně?
I’ve been running this shop for about five years now. When I first arrived, the village didn’t have a proper book merchant.	Vedu tenhle krám už asi pět let. Když jsem sem přišel, neměla vesnice pořádného knihkupce.
I’ve been told you have a talent for investigating strange situations. I need help with such a matter.	Prý máš nadání pro vyšetřování podivných situací. Potřebuji s takovou věcí pomoct.
I’ve been trying to do just that. This granary, it’s my way of giving back to the village.	Přesně o to se snažím. Ta sýpka, to je můj způsob, jak vesnici oplatit.
I’ve been weaving for decades. I know my loom, and I know when something’s not right. It wasn’t wear and tear—it was as if some unseen force snapped it.	Tkám už desítky let. Znám svůj stav a vím, když něco není v pořádku. Nebylo to opotřebení - jako by ho přetrhla neviditelná síla.
I’ve built them an archery range, but they need someone to train their recruits. I thought you would be the best person for the job.	Postavil jsem jim střelnici, ale potřebují někoho, kdo vycvičí nováčky. Napadlo mě, že bys byl na tu práci nejlepší.
I’ve done my part. Let someone else step up this time. Don’t come back here asking again.	Svůj díl jsem odvedl. Ať se tentokrát ozve někdo jiný. A už se sem s tím nevracej.
I’ve got Henrietta, the feisty one who always pecks at my boots, and then there’s Clucky, who’s as gentle as can be.	Mám Henriettu, tu bojovnou, co mi pořád kloval do bot, a pak Kdákalku, ta je mírná až běda.
I’ve got my forge to tend to. The mine’s been nothing but trouble for years. Why should I risk my neck for it now?	Mám na starosti svou výheň. Ten důl je léta jen samá potíž. Proč bych kvůli němu měl teď nasazovat krk?
I’ve got this drink called “Solstice Delirium”. It’s a special concoction of Solstice elixir and a secret spice. Really warms the socks, if you get my meaning.	Mám nápoj zvaný „Slunovratové delirium“. Je to zvláštní směs slunovratového elixíru a tajného koření. Pořádně zahřeje ponožky, jestli chápeš.
I’ve had some troubles lately with saws and axes and the like. It’s really knocking my work off-kilter.	Poslední dobou mám potíže s pilami, sekerami a podobně. Pořádně mi to hází práci z kolejí.
I’ve heard that other branches of the guild have been showering you with praise. Impressive. But I’m harder to please!	Doslechl jsem se, že tě ostatní odnože cechu zasypávají chválou. Působivé. Ale mě uspokojit je těžší!
I’ve heard you’re good at helping people in crisis. Please, I just want my husband back!	Prý jsi dobrý v pomáhání lidem v nouzi. Prosím tě, chci jen svého muže zpátky!
I’ve made my decision. I believe it’s best for Asha to leave the village. The fear and suspicion are too great.	Rozhodl jsem se. Věřím, že bude nejlepší, když Asha vesnici opustí. Strach a podezření jsou příliš velké.
I’ve made my decision. I’m sorry, Asha, but I have to side with the villagers. I can’t ignore their concerns.	Rozhodl jsem se. Je mi líto, Asho, ale musím se postavit na stranu vesničanů. Nemohu jejich obavy přehlížet.
I’ve seen enough of war to know you can’t save everyone. You do your best, but sometimes your best isn’t enough.	Viděl jsem dost války, abych věděl, že nemůžeš zachránit každého. Uděláš, co můžeš, ale někdy to nestačí.
I’ve seen your ‘special editions.’ They’re just regular books with fancy labels, aren’t they?	Viděl jsem ta tvá ‚zvláštní vydání‘. Jsou to jen běžné knihy s nóbl štítky, viď?
I’ve too many responsibilities to chuck my life away attempting to go down those roads.	Mám příliš mnoho povinností, než abych zahodil život pokusem vydat se těmi cestami.
I’ve tried. He’s… well, stubborn. But you have an outsider’s perspective, and now some pretty solid reputation. Which may help where I’ve failed.	Zkoušel jsem to. Je… inu, tvrdohlavý. Ale ty máš pohled zvenčí a teď i docela slušnou pověst. To může pomoct tam, kde jsem selhal já.
I… I can’t believe this. Even if you’re splitting the gold with me, I wish you had consulted me first…	Já… tomu nemohu uvěřit. I když se se mnou o zlato dělíš, kéž by ses mnou to napřed probral…
I… I don’t know. She smiles at me a lot when I visit. She gives me extra ale sometimes. It means something, right?	Já… nevím. Hodně se na mě usmívá, když přijdu. Občas mi přidá pivo. To přece něco znamená, ne?
I… I struck him in the jaw and he fell over a rock, stopped breathing, and… and didn’t know what to do. We were too far from any healer…	Já… udeřil jsem ho do čelisti, on upadl přes kámen, přestal dýchat a… a já nevěděl, co dělat. Byli jsme příliš daleko od jakéhokoli ranhojiče…
I…I saw him in the forest near the village. Please, if you go looking for it… or them… be careful. We don’t know what it is…	Já… viděl jsem ho v lese u vesnice. Prosím tě, jestli to… nebo je… půjdeš hledat, buď opatrný. Nevíme, co to je…
Jealous of his farm? Ah! I've dedicated my life to serving this village, not chasing personal gain. Why would he say that?	Že mu závidím statek? Ach! Zasvětil jsem život službě téhle vsi, ne honbě za vlastním prospěchem. Proč by to říkal?
Just be careful while searching, there might be vicious animals and thieves lurking around.	Jen buď při hledání opatrný, může tam číhat divá zvěř i zloději.
Just be careful, alright? These waters can be treacherous with the Guild swimming around.	Jen buď opatrný, ano? Tyhle vody umí být zrádné, když v nich plave Cech.
Just be careful. A bit skittish, those ones. Might run away if they detect your presence.	Jen buď opatrný. Ti jsou trochu plaší. Můžou utéct, když tě vycítí.
Just bear in mind that the hermit can be a bit… peculiar. And bring back whatever concoction he gives you straight to me.	Jen měj na paměti, že ten poustevník umí být tak trochu… zvláštní. A ať ti dá jakýkoli odvar, přines ho rovnou ke mně.
Just give me a minute of your time. This is not merely a jest. Think of it as more… plant the seed of discord. Forging a little chaos to weaken the Brigands.	Věnuj mi jen chvilku. Není to pouhý žert. Ber to spíš jako… zasetí semínka nesváru. Ukovat trochu zmatku, aby Brigands zeslábli.
Just in case my regular means of knocking him out don’t work. Don’t worry, I know what I’m doing.	Jen pro případ, že mé obvyklé způsoby, jak ho složit, nezaberou. Neboj, vím, co dělám.
Just leave the token there, don’t take anything else or else our plan will fall out of our control.	Jen tam ten důkaz nech, nic jiného neber, jinak nám plán vyklouzne z rukou.
Just remember, there’s an awful lot of money to be earned with these herbs, so don’t cock it up.	Jen pamatuj, na těch bylinách se dá vydělat strašná spousta peněz, tak to nezpackej.
Just some wishful thinking about calm seas and full nets. Seems like they were hoping for good fishing or something.	Jen zbožná přání o klidném moři a plných sítích. Zdá se, že doufali v dobrý úlovek nebo tak něco.
Keep your voice down! What are you talking about? People being hanged from a tree? Are you sure?	Mluv tišeji! O čem to mluvíš? Že lidi věší na strom? Jsi si jistý?
Kind traveler, do you have a spare moment this time? I’m still in need of those rawhides to make a warm quilt before the little one arrives.	Dobrý pocestný, máš tentokrát chvilku? Pořád potřebuji ty surové kůže, abych stihla ušít teplou peřinu, než přijde to malé.
Knowledge Seeker, good, good. But you will have to help me first, you have to show dedication.	Hledač vědění, dobře, dobře. Ale nejdřív mi musíš pomoct, musíš prokázat oddanost.
Last night we had a little argument. After that, he picked up our brother-in-law and we haven't seen them since.	Včera večer jsme se trochu pohádali. Potom vyzvedl našeho švagra a od té doby jsme je neviděli.
Last night’s ‘disagreement’ turned into tavern entertainment. Care to tell me what the main act was about?	Včerejší ‚neshoda‘ se změnila v krčemné představení. Nepovíš mi, o čem byl hlavní výstup?
