When I was younger, I used to count the stars. Now I’m just counting troubles.	Když jsem byl mladší, počítal jsem hvězdy. Teď počítám jen trable.
With a newfound notoriety within Haerndean, Amelie suggested I visit the Elder of the neighbouring village of Padstow. There have been talks of a bandit group frightening its inhabitants. I better go there and see if I can be of assistance.	S nově nabytou pověstí v Haerndeanu Amelie navrhla, abych navštívil stařešinu sousední vesnice Padstow. Mluví se o bandě, která straší její obyvatele. Radši tam zajdu a zjistím, jestli mohu pomoci.
With Ashbourne's reign ended, Horndean can now rest without worry. The night is filled with hope, and as morning approaches, it will bring forth a new day dedicated to rebuilding and embracing our hard-earned freedom.	S koncem Ashbourneovy vlády může Horndean odpočívat bez starostí. Noc je plná naděje, a jak se blíží ráno, přinese nový den zasvěcený obnově a přijetí naší těžce vydobyté svobody.
With Ashbourne's tyranny finally behind us, the people of Padstow can rest easy tonight. The weight of oppression has lifted, and as dawn breaks tomorrow, it will herald a new era of freedom and hope for the village.	S Ashbourneovou tyranií konečně za nami mohou lidé z Padstow dnes klidně spát. Tíha útlaku se zvedla, a až zítra vzejde úsvit, ohlásí vesnici nový věk svobody a naděje.
With Lord Ashbourne defeated, a wave of relief and triumph swept through me. The oppressive weight of his tyranny had finally been lifted from the people of Karvenia, allowing them to breathe freely for the first time in years. As night fell, I knew that this victory was just the beginning; a new chapter awaited us, filled with hope and the promise of rebuilding our lives.	S porážkou lorda Ashbournea mnou projela vlna úlevy a triumfu. Tísnivá tíha jeho tyranie byla konečně sňata z lidu Karvenie, který mohl poprvé po letech svobodně dýchat. Když padla noc, věděl jsem, že toto vítězství je jen začátek; čekala nás nová kapitola plná naděje a příslibu obnovy našich životů.
With Lubomir staying at my camp now, Haerndean finds itself without a hunter which is causing a growing problem with wolves attacking their cattle. Elder Dobron asked for my help in killing the wolves and to bring him their pelts as proof. Despite my reservations and the clear increase in danger, I agreed to hunt the wolves.	Když Lubomir teď zůstává v mém táboře, Haerndean je bez lovce, což způsobuje rostoucí potíže s vlky útočícími na dobytek. Stařešina Dobron mě požádal o pomoc se zabitím vlků a o jejich kožešiny jako důkaz. Navzdory pochybnostem a zjevně větší hrozbě jsem souhlasil, že vlky ulovím.
With my coin pouch a little bit lighter, now Finton can begin working on the tools. I need to come back tomorrow.	S trochu lehčím měšcem může Finton začít pracovat na nástrojích. Musím se vrátit zítra.
With no time to waste we need to head to the bandit’s camp. Each moment that passes is a moment that they can plot an attack against the village. We need to act quickly and swiftly.	Není času nazbyt, musíme zamířit do tábora banditů. Každá chvíle, která uplyne, je chvíle, kdy mohou chystat útok na vesnici. Musíme jednat rychle a svižně.
With the beast dead, I should take its carcass back to Garrik. He'll want proof that the job is done — and my reward is waiting.	Když je bestie mrtvá, měl bych donést její mršinu Garrikovi. Bude chtít důkaz, že je práce hotová – a čeká mě odměna.
With the help of Cassians and Halmayans we are trying to get Mayor out of the Cragkeep’s prison.	S pomocí Cassianů a Halmayanů se snažíme dostat purkmistra z vězení v Cragkeepu.
With the lumber from the woodcutter station, I built a house for the newcomers. It’s a modest home, but it will provide shelter and a sense of belonging for those seeking refuge in Haerndean.	Ze dřeva z dřevorubeckého stanoviště jsem postavil dům pro nově příchozí. Je to skromný domov, ale poskytne přístřeší a pocit sounáležitosti těm, kdo hledají útočiště v Haerndeanu.
With the oppressive shadow of Lord Ashbourne finally lifted, Blackridgepool can embrace a night of tranquility. As the stars shine above, we look forward to a new dawn that symbolizes our hard-won freedom and resilience.	S konečně sňatým tísnivým stínem lorda Ashbournea může Blackridgepool přijmout noc klidu. Zatímco nad nami svítí hvězdy, těšíme se na nový úsvit, který symbolizuje naši těžce vydobytou svobodu a odolnost.
With the ringing of the bell still resonating in my ears, I know that our moment of truth has arrived. I must now face Ashbourne's soldiers, who seek to extinguish our hope and resolve in this critical hour.	Se zvoněním zvonu, které mi stále zní v uších, vím, že nadešla naše chvíle pravdy. Teď se musím postavit Ashbourneovým vojákům, kteří se v této zásadní hodině snaží uhasit naši naději a odhodlání.
With the watchtower finally completed, a new chapter begins. Its sturdy frame stands as a testament to our resolve, and now we must march forward, united in our quest for freedom.	S konečně dokončenou strážní věží začíná nová kapitola. Její pevná kostra stojí jako svědectví našeho odhodlání a teď musíme pochodovat vpřed, sjednoceni v boji za svobodu.
With this widget in focus press:\r\n- + to decrement or increment time\r\n, . / to set increment step	S tímto widgetem v zaměření stiskni:\r\n- + pro snížení nebo zvýšení času\r\n, . / pro nastavení kroku
Wolves have become a nuisance in the Lowlands. Thin the population.	Vlci se v Nížinách stali přítěží. Sniž jejich počet.
Workers will be automatically assigned. Make sure that:\r\n\r\nYou have enough workers available, and their job priorities allow them to work here.\r\n\r\nYou have enough resources to fulfill the orders, if any are required.\r\n\r\nYou have the necessary tools to perform the orders, if any are required.	Pracovníci budou přiřazeni automaticky. Ujisti se, že:\r\n\r\nMáš dostatek volných pracovníků a jejich pracovní priority jim umožňují tu pracovat.\r\n\r\nMáš dostatek surovin ke splnění zakázek, pokud jsou potřeba.\r\n\r\nMáš potřebné nástroje k provedení zakázek, pokud jsou potřeba.
Ydrassa, goddess of water, personifies the power and mystery of water in all its forms. As a primordial sea deity, Ydrassa governs not only the oceans but also rivers, lakes, and the life-giving properties of water. This goddess is both nurturing and potentially destructive, capable of providing abundant harvests from the sea or unleashing devastating floods. Ydrassa is often associated with the cycles of tides, the depths of the oceans, and the creatures that dwell within. Legends speak of her ability to calm storms or create new landforms with the power of water.	Ydrassa, bohyně vody, ztělesňuje moc a tajemství vody ve všech jejích podobách. Jako prvotní mořské božstvo vládne Ydrassa nejen oceánům, ale i řekám, jezerům a životodárným vlastnostem vody. Tato bohyně je pečující i potenciálně ničivá, schopná poskytnout hojné úlovky z moře nebo rozpoutat ničivé povodně. Ydrassa je často spojována s cykly přílivu, hlubinami oceánů a tvory, kteří v nich žijí. Legendy mluví o její schopnosti utišit bouře nebo silou vody tvořit nové pevniny.
Yes! Everytime I walk it follows me, but when I stop it stops as well. I have refraining from making many movement.	Ano! Pokaždé, když jdu, sleduje mě, ale když se zastavím, zastaví se také. Zdržuji se zbytečných pohybů.
Yes! I found a lever on the wall that unlocks a passage to the tunnel. I hope what’s waiting for us at the end is an exit, not an unpleasant surprise.	Ano! Našel jsem na zdi páku, která odemyká průchod do tunelu. Doufám, že na konci nás čeká východ, ne nepříjemné překvapení.
You are in Halmare dear, your made up titles are worthless ‘ere.	Jsi v Halmare, drahoušku, tvé vymyšlené tituly tu nemají žádnou cenu.
You are still no better than any other random monkey who came here.	Pořád nejsi lepší než kterýkoli jiný opičák, který sem přišel.
You can <highlight>command</> your <highlight>companions</> by giving them contextual orders with <action name="IA_Command_Enter"/> to attack, harvest and move. Try it yourself!	Svým <highlight>společníkům</> můžeš <highlight>velet</> kontextovými rozkazy pomocí <action name="IA_Command_Enter"/>: útočit, sklízet a přesunout se. Vyzkoušej si to!
You can contribute money to help start construction on a new facility.	Můžeš přispět penězi na zahájení stavby nového zařízení.
You can find all the useful information in the <em>Settlement</> screen. Hold <action name="IA_Controller_QuickMenuHold"/> to open the <em>world menu</>, then select <highlight>Settlement</>.	Všechny užitečné informace najdeš na obrazovce <em>Osada</>. Podrž <action name="IA_Controller_QuickMenuHold"/>, otevři <em>nabídku světa</> a vyber <highlight>Osada</>.
You can find all the useful information in the <highlight>Settlement</> screen. Press <action name="IA_Controller_Settlement"/> to open it.	Všechny užitečné informace najdeš na obrazovce <highlight>Osada</>. Otevřeš ji stisknutím <action name="IA_Controller_Settlement"/>.
You cannot place buildings too close to existing villages. Finding a good spot, close to all sorts of resources, is your first <highlight>big decision</> that will affect your logistics and strategy.	Budovy nelze umístit příliš blízko stávajících vesnic. Najít dobré místo, blízko všech druhů surovin, je tvé první <highlight>velké rozhodnutí</>, které ovlivní tvou logistiku i strategii.
You could try speaking with the Cassians or the Halmayans. If you’re here for work, they may be looking for mercenaries to handle their dirty business.	Mohl bys zkusit promluvit s Cassiany nebo Halmayany. Jestli jsi tu kvůli práci, možná hledají žoldáky na svou špinavou práci.
You couldn't resist the urge to open. The letter reads “ My friend, we need to do something about this “Crasmere” problem. We should probably meet Klara Winterburn. Long live the Queen. - H.G.”	Nedokázal jsi odolat nutkání ho otevřít. V dopise stojí: „Příteli, musíme něco udělat s tou potíží zvanou ‚Crasmere‘. Nejspíš bychom se měli sejít s Klarou Winterburn. Ať žije královna. – H. G.“
You find what appears to be Tomas’ journal\r\n\r\n“The Red Thorns move around a lot, so gathering information about their whereabouts has been difficult. But in my search for the monsters that killed Lyanna, I’ve narrowed it down to two camps. And I’ll burn both to the ground if I have to.”\r\n\r\nIn the back of the journal is a small, hand-drawn map of the Lowlands. There are two areas marked with an X.\r\n	Nacházíš něco, co vypadá jako Tomasův deník\r\n\r\n„Red Thorns se hodně přesouvají, takže sbírat zprávy o tom, kde jsou, bylo těžké. Ale při hledání netvorů, kteří zabili Lyannu, jsem to zúžil na dva tábory. A spálím oba do základů, když budu muset.“\r\n\r\nNa konci deníku je malá ručně kreslená mapa Nížin. Dvě oblasti jsou označené křížkem.\r\n
You handle that axe smoothly, and your fighting style is interesting. Who trained you?	S tou sekerou zacházíš hladce a tvůj styl boje je zajímavý. Kdo tě cvičil?
You have no other buildings of the same type in this settlement.	V této osadě nemáš žádné další budovy stejného typu.
You know that large mountain that looms over us? It follows me. I know! But in truth I speak. Everywhere I go it follows me. I walked to Padstow, looked behind me, and there it was.	Znáš tu velkou horu, co se nad nami tyčí? Sleduje mě. Vím! Ale mluvím pravdu. Kamkoli jdu, sleduje mě. Došel jsem do Padstow, ohlédl se a tam byla.
You leave now, or I’ll make sure you’re dragged out of here in pieces.	Odejdi hned, nebo se postarám, aby tě odsud vytáhli po kusech.
You look like someone with problems. I am someone who solves them.	Vypadáš jako někdo s potížemi. Já jsem někdo, kdo je řeší.
You look like trouble. Good, I was bored anyway. Looking for a sword to hire?	Vypadáš jako potíže. Dobře, stejně jsem se nudil. Hledáš meč k najmutí?
You look lost in your thoughts, can I help you with something?	Vypadáš zamyšleně, mohu ti s něčím pomoci?
You meet two villagers on the outskirts of Haerndean, a man and a woman, who want to start fighting back against the bandits, but don’t want to tell the Village Elder in case the Elder forces them to stop. They ask you to craft weapons for them so they can learn how to fight. They also want to observe you fighting a bandit so they can learn your fighting style.	Na okraji Haerndeanu potkáš dva vesničany, muže a ženu, kteří se chtějí začít bránit banditům, ale nechtějí to říct stařešinovi, aby je nedonutil přestat. Žádají tě, abys jim vyrobil zbraně, aby se naučili bojovat. Také chtějí sledovat, jak bojuješ s banditou, aby se naučili tvůj styl.
You might also visit the lighthouses and learn how they work, if that sort of thing interests you.	Můžeš také navštívit majáky a zjistit, jak fungují, pokud tě něco takového zajímá.
You must be lost. Leave before the kennel master sets his dogs on you.	Musíš být ztracený. Odejdi, než na tebe psovod pustí své psy.
You speak differently than common folk, Pogrel… it’s not a name that fits mercenary.	Mluvíš jinak než prostí lidé, Pogrele… to není jméno, které by sedělo žoldákovi.
You truly thought that? I knew he’d never come back after his disagreement with Dobron.	Vážně sis to myslel? Věděl jsem, že po neshodě s Dobronem se už nikdy nevrátí.
You were paid for the job, and that should be your only concern, curiosity is a slippery slope, you know that, right?	Za práci ti bylo zaplaceno a to by měla být tvá jediná starost. Zvědavost je kluzký svah, to víš, ne?
You will not believe the outrageous behaviour my brother has been displaying.	Neuvěříš, jak nehorázně se můj bratr chová.
You won’t find happier pigs or prouder chickens anywhere else!	Šťastnější prasata ani hrdější kuřata nikde jinde nenajdeš!
You're mad! No more trading with me! For what you did, Halmayans should have your head. Leave me alone.	Jsi šílený! Se mnou už neobchoduješ! Za to, cos udělal, by Halmayané měli mít tvou hlavu. Nech mě být.
You're not the first, and I guess not the last. You can beat us, but after this, more will come and make the life of these people hell. We have an Act of ownership over this tavern from Lord Ashbourne. If you have any problem with that, you should speak with him first.	Nejsi první a hádám, že ani poslední. Můžeš nás porazit, ale potom přijdou další a udělají těm lidem ze života peklo. Máme na tuhle krčmu vlastnickou listinu od lorda Ashbournea. Máš-li s tím potíž, promluv nejdřív s ním.
Your standing in each village is measured by Trust, which determines your rebellion support. The higher your Trust with a village, the more likely skilled people are to join your cause. Trust is unique to each community; you must prove your worth to each village individually to push them for rebellion.\r\n\r\nYou can earn Trust by doing quests for villagers, building village improvements, and bringing hunter trophies and other rarities to Elders. Increasing your Trust level is essential to construct a Belltower and begin the liberation process.\r\n\r\nOnce a village reaches its maximum potential, the Trust bar is replaced by Prosperity, shifting your focus toward long-term growth.	Tvé postavení v každé vesnici měří důvěra, která určuje podporu tvého povstání. Čím vyšší důvěra u vesnice, tím spíš se k tvé věci přidají zdatní lidé. Důvěra je jedinečná pro každou obec; svou cenu musíš prokázat každé vesnici zvlášť, abys ji pohnul k povstání.\r\n\r\nDůvěru získáváš plněním úkolů pro vesničany, stavbou vylepšení vesnice a přinášením loveckých trofejí a jiných vzácností stařešinům. Zvýšení úrovně důvěry je nezbytné k postavení zvonice a zahájení osvobození.\r\n\r\nJakmile vesnice dosáhne svého plného potenciálu, ukazatel důvěry nahradí rozkvět a tvá pozornost se přesune k dlouhodobému růstu.
Your villagers can be assigned to one of <highlight>three roles</> at any given time. A <highlight>worker</> fulfills your crafting and production orders in the settlement. A <highlight>companion</> travels with you and follows your commands. A <highlight>guard</> patrols and defends your settlement from danger.	Tví vesničané mohou být kdykoli přiřazeni k jedné ze <highlight>tří rolí</>. <highlight>Pracovník</> plní tvé výrobní zakázky v osadě. <highlight>Společník</> cestuje s tebou a plní tvé rozkazy. <highlight>Strážný</> hlídkuje a brání osadu před nebezpečím.
Your workers can operate both at depots above ground and underground, with underground depots depleting resources more slowly. Requires placement near mineable nodes.	Tví pracovníci mohou pracovat v nadzemních i podzemních ložiscích, podzemní ložiska se vyčerpávají pomaleji. Vyžaduje umístění u těžitelných ložisek.
You’re more than capable. I need someone dependable, and I think you’d be a great fit.	Jsi víc než schopný. Potřebuji někoho spolehlivého a myslím, že bys se skvěle hodil.
You’re not just one man. You’re one of the most skilled people in the village. If you step up, others will follow.	Nejsi jen jeden muž. Jsi jeden z nejzdatnějších lidí ve vesnici. Když se postavíš, ostatní půjdou za tebou.
You’re not supposed to be wandering around here. State your business, or keep moving.	Neměl bys se tu potulovat. Řekni, co tu pohledáváš, nebo jdi dál.
You’re on a need-to-know basis, and you don’t need to know that. Now run along.	Víš jen to, co musíš, a tohle vědět nemusíš. Teď běž.
You’re paying for it, if that’s how you want to spend your coin then ask.	Platíš za to ty, jestli tak chceš utratit své mince, tak se ptej.
You’ve rescued someone who claims he was wrongly imprisoned. Find out more about him.	Zachránil jsi někoho, kdo tvrdí, že byl neprávem uvězněn. Zjisti o něm víc.
Zlytos is a fickle god, known for his violent and unpredictable temper. He has the power to change the winds with his moods. He can turn a sunny day into a howling storm in seconds if he doesn’t get his way!	Zlytos je vrtkavý bůh, známý svou prudkou a nevyzpytatelnou povahou. Má moc měnit větry podle nálady. Když není po jeho, dokáže za pár vteřin změnit slunný den ve vyjící bouři!
Zlytos, Master of the winds, greets you.\r\nThe winds shall whisper, soft and sweet,\r\nOf place where the gold and sea meet\r\nThere lies the treasure, still and pure,\r\nGuarded by winds and waves secure.	Zlytos, pán větrů, tě zdraví.\r\nVětry šeptají, tiše a sladce,\r\no místě, kde zlato s mořem se sejde,\r\ntam leží poklad, tichý a čistý,\r\nstřežený větry a vlnami jistý.
{QuestGiver} asked me to bring him medicine for wound infection because one of his cows was bitten by wolves. I need to find Herbalist, it shouldn't be that hard.	{QuestGiver} mě požádal, abych mu přinesl lék na zanícenou ránu, protože jednu z jeho krav pokousali vlci. Musím najít bylinkáře, nemělo by to být tak těžké.
{QuestGiver} asked me to bring him shovels and hoes, his backorders are piling up. There’s also some family drama in the background. Should I get involved in it?	{QuestGiver} mě požádal, abych mu přinesl lopaty a motyky, nevyřízené zakázky se mu hromadí. V pozadí je i nějaké rodinné drama. Mám se do něj plést?
{QuestGiver} asked me to bring him some straw for his cow, but there's one big problem. The fields are crawling with rogue Brigands, and I need to be careful not to get caught.	{QuestGiver} mě požádal, abych mu přinesl slámu pro krávu, ale je tu jedna velká potíž. Na polích se to hemží zběhlými Brigands a musím si dát pozor, aby mě nechytili.
{QuestGiver} asked me to gather sacks of grain from nearby villages. I better prepare for a long journey, especially since the roads aren't safe.	{QuestGiver} mě požádal, abych sehnal pytle obilí z okolních vesnic. Radši se připravím na dlouhou cestu, zvlášť když cesty nejsou bezpečné.
{QuestGiver} asked me to retrieve the heirloom sword that belonged to his wife. He lost it during a wolf attack.	{QuestGiver} mě požádal, abych získal zpět rodinný meč, který patřil jeho ženě. Ztratil ho při útoku vlků.
{QuestGiver} daughter got kidnapped some time ago. Bandits wanted money to keep her alive and suddenly they stopped contacting him. {QuestGiver} asked me to rescue his daughter.	Dceru {QuestGiver} před časem unesli. Bandité chtěli peníze, aby ji nechali žít, a náhle se přestali ozývat. {QuestGiver} mě požádal, abych jeho dceru zachránil.
{QuestGiver} gave me an order for tools, and from what I know, he's a picky client. I'll have to make an effort to meet his requirements if I want to get paid.	{QuestGiver} mi zadal zakázku na nástroje a pokud vím, je to vybíravý zákazník. Budu se muset snažit splnit jeho požadavky, jestli chci dostat zaplaceno.
{QuestGiver} has a personal request for me - a stag horn for a helmet. Looks like an ambitious project. I’m curious if it would be a functional piece of armor or only ceremonial.	{QuestGiver} má pro mě osobní prosbu – jelení paroh na helmu. Vypadá to na ambiciózní projekt. Jsem zvědavý, jestli to bude funkční kus zbroje, nebo jen obřadní.
{QuestGiver} has given me the task of making linen and a makeshift blade. I’m guessing it will be useful for his very legitimate, unsuspicious activities under Ashbourne's nose.	{QuestGiver} mi dal za úkol vyrobit plátno a improvizovanou čepel. Hádám, že se to bude hodit k jeho naprosto zákonným, nepodezřelým činnostem přímo pod Ashbourneovým nosem.
{QuestGiver} husband fell ill. She asked me to collect boar’s tusk for this traditional medicine that she wants to prepare.	Manžel {QuestGiver} onemocněl. Požádala mě, abych sehnal kančí kel na tradiční lék, který chce připravit.
{QuestGiver} needs Reinforced gambesons and chainmail helmets for the safety of the “trip” she is organizing. I agree, I like to support a good cause.	{QuestGiver} potřebuje zesílené prošívané kabátce a kroužkové přilby pro bezpečnost „výletu“, který pořádá. Souhlasím, rád podporuji dobrou věc.
