100 Coins. I don’t care where the money comes from, but I’m not returning empty-handed.	100 mincí. Je mi jedno, odkud peníze jsou, ale s prázdnýma rukama se nevrátím.
Amelie told me that something happened in Blackridgepool whilst I was away. I need to know what happened.	Amelie mi řekla, že se v Blackridgepoolu něco stalo, když jsem byl pryč. Musím zjistit co.
An alternative to gold on Halmare Isles. Both Cassian and Halmayan merchants might want to exchange it for something valuable.	Náhrada zlata na Halmarských ostrovech. Cassianští i halmayanští kupci to mohou chtít vyměnit za něco cenného.
An axe crudely made from a shaped chunk of iron. Used as a tool for woodcutting, but can also be used for combat.	Sekera hrubě vyrobená z tvarovaného kusu železa. Nástroj na kácení, ale lze použít i v boji.
An organized station for the herbalist’s craft, enhancing health practices and strengthening village trust.	Uspořádané stanoviště pro bylinkářské řemeslo, zlepšuje péči o zdraví a posiluje důvěru ve vesnici.
And it’s best you don’t visit me too often. I’m confident in my safety, but your frequent presence might raise unwanted questions.	A bude nejlepší, když mě nebudeš navštěvovat příliš často. O své bezpečí se nebojím, ale tvá častá přítomnost by mohla vzbudit nežádoucí otázky.
And now, I get my reward for helping the traveler. Building the relationship with the people, little by little.	A teď dostanu odměnu za pomoc poutníkovi. Budování vztahů s lidmi, krůček po krůčku.
And yet he came, bearing their name, knowing the Isles, backed by the Queen and by Lord Ashbourne.	A přesto přišel, nesl jejich jméno, znal Ostrovy, s podporou královny i lorda Ashbournea.
And you’ve got a dull wit for a customer. Tongues and blades stay sharp the same way, by cutting fools who test them.	A ty máš na zákazníka tupý vtip. Jazyky i čepele zůstávají ostré stejně – sekáním hlupáků, kteří je zkoušejí.
Andrea also has seen this ghost, as she called, in the forest nearby the village.	Andrea také viděla toho ducha, jak mu říkala, v lese poblíž vesnice.
Animal trophy provides renown for placing it in your settlement.	Zvířecí trofej přináší věhlas, když ji umístíš v osadě.
Anna seemed really determined to get this part of the land. I hope my cooking will not kill them both.	Anna byla, zdá se, opravdu odhodlaná získat ten kus půdy. Doufám, že je mé vaření oba nezabije.
Another camp defeated, this will weaken their defenses, now I need to rescue the prisoner.	Další tábor poražen, to oslabí jejich obranu, teď musím zachránit vězně.
Another shrine has been found, this one for a sea goddess. The oceans are a big part of people’s lives on the island.	Nalezena další svatyně, tato patří bohyni moře. Oceány jsou velkou částí života lidí na ostrově.
Any idea what caused the wolves to move so close to the village?	Máš tušení, co vlky přivedlo tak blízko k vesnici?
Anything else you’re prying for, or can I get back to standing here pretending I don’t hate this post?	Ještě něco vyzvídáš, nebo se můžu vrátit k postávání a předstírání, že tohle stanoviště nenávidím?
Anyway, if you’re not here to eat or help, mind not leaning on my table, it’s the only one that’s still level.	Každopádně, jestli tu nejsi kvůli jídlu nebo pomoci, neopírej se mi o stůl, je jediný, co ještě stojí rovně.
Anyways, we got the Lord’s permission to be here, for as long as we want. Now get lost.	Každopádně máme pánovo svolení tu být, jak dlouho chceme. Teď se ztrať.
Anzo had simply been hunting in the forest but he didn't hear anything. I must press on.	Anzo prostě lovil v lese, ale nic neslyšel. Musím pokračovat.
As for the Falsgar? Tools. Once proud, now little more than puppets.	A Falsgar? Nástroje. Kdysi hrdí, teď jen o málo víc než loutky.
As I've said before, the harbor remains open to you. No need to ask twice—though I do appreciate your attention to protocol.	Jak jsem řekl, přístav ti zůstává otevřený. Nemusíš se ptát dvakrát – i když oceňuji, že dbáš na pravidla.
Ashbourne is gone. You have no right to be in this area. If you stay here, you’ll be next.	Ashbourne je pryč. Nemáš právo tu být. Když tu zůstaneš, budeš další na řadě.
Assign remote buildings to an outpost so they can operate independently of your main settlement.	Přiřaď vzdálené budovy k výspě, aby mohly fungovat nezávisle na tvé hlavní osadě.
Assign your workers to hunt animals and provide you with meat, hide, and other resources.	Přiřaď své pracovníky k lovu zvířat, aby ti zajistili maso, kůže a další suroviny.
At witching hour, the coins turned black - The shadow came to take them back.	O půlnoci mince zčernaly – stín přišel a vzal si je zpátky.
Automates cooking for you by assigning your settlers to the Campsite.	Automatizuje vaření přiřazením osadníků k tábořišti.
Bag full of weapon's for a mysterious trader, is it wise to arm those people?	Pytel plný zbraní pro záhadného obchodníka. Je moudré ty lidi vyzbrojovat?
Baltasar prepared for me a concoction that will make Guillermo spill the password.	Baltasar mi připravil odvar, po kterém Guillermo vyzradí heslo.
Basic and low in nutrition, this feed works for all animals but takes a lot to fill them up. Can be crafted at a Mixing Bucket.	Základní krmivo s nízkou výživností, vhodné pro všechna zvířata, ale je ho třeba hodně, aby se nasytila. Lze vyrobit v míchacím vědru.
Basic axe used for cutting wood in dire situations. Can also be used as a weapon.	Základní sekera na kácení dřeva v nouzi. Lze použít i jako zbraň.
Basic building material but much stronger than wood. Used higher tier constructions.	Základní stavební materiál, ale mnohem pevnější než dřevo. Používá se u staveb vyšší úrovně.
Basic building material much stronger than wood. Used in higher-tier construction. Scattered around good soil.	Základní stavební materiál mnohem pevnější než dřevo. Používá se u staveb vyšší úrovně. Roztroušený po úrodné půdě.
Basic metal used for crafting the majority of weapon and other equipment such as	Základní kov používaný k výrobě většiny zbraní a jiného vybavení, jako
Be careful, Elder Miron. Docks tend to be less crowded when the ships have all burned down.	Buď opatrný, stařešino Mirone. V docích bývá méně lidí, když všechny lodě shořely.
Be careful. Docks tend to be less crowded when the ships have all burned down.	Buď opatrný. V docích bývá méně lidí, když všechny lodě shořely.
Before leaving, I planted the Cassian flag. Let the Falsgar think their “allies” betrayed them.	Před odchodem jsem zasadil cassianskou vlajku. Ať si Falsgar myslí, že je zradili jejich „spojenci“.
Before she could bore me children, I had to leave. After my father’s death, the truth about the bridge robberies came out.	Než mi mohla dát děti, musel jsem odejít. Po otcově smrti vyšla najevo pravda o loupežích na mostě.
Benefits - By freeing the people some uniquely skilled Artesians will be unlocked essential for higher tier rewards and growth.	Přínosy – osvobozením lidu se odemknou někteří jedinečně zdatní řemeslníci, nezbytní pro odměny vyšší úrovně a růst.
Berta has very loyal customers. The villager spoke high praise of the fisherwoman’s fishes.	Berta má velmi věrné zákazníky. Vesničan rybářčiny ryby vysoce chválil.
Berta sells local fish and keeps boasting how her fish is fresher than Gavin’s imported fish.	Berta prodává místní ryby a pořád se chlubí, jak jsou její ryby čerstvější než Gavinovy dovážené.
Besides, if we stopped doing something because of the risk, we’d be under the Brigands' boots forever.	Kromě toho, kdybychom přestali něco dělat kvůli riziku, byli bychom pod botami Brigands navždy.
Betrayer lies dead, time to talk to Cassandra and prepare for the assault on the Cragkeep.	Zrádce leží mrtev, je čas promluvit s Cassandrou a připravit útok na Cragkeep.
Better hurry. That cow won't be getting any better on its own.	Radši si pospěš. Té krávě se sama od sebe nepolepší.
Better quality wooden planks used in building. Refined at Pitsaw.	Kvalitnější dřevěná prkna používaná při stavbě. Zpracovávají se na jámové pile.
Boosts neutral village trust and allows initiation of a rebellion by ringing the bell.	Zvyšuje důvěru neutrální vesnice a umožňuje zazvoněním na zvon zahájit povstání.
Break them down and rebuild them up. Or just break them. Depends on the mood.	Rozbít je a znovu postavit. Nebo je jen rozbít. Podle nálady.
Breathe, focus, and now tell me slowly what happened to this cow.	Dýchej, soustřeď se a teď mi pomalu řekni, co se té krávě stalo.
Bring {QuestGiver} The spices from the Herbalist and the Meat Stew	Přines {QuestGiver} koření od bylinkáře a masový guláš
Build village improvements in neutral villages to earn the trust of locals.	Stav vylepšení v neutrálních vesnicích, abys získal důvěru místních.
Build {Structure} to start Haerndean liberation and help you spot the incoming Brigands.	Postav {Structure}, abys zahájil osvobození Haerndeanu a snáz zpozoroval přicházející Brigands.
Build {Structure} to start Padstow liberation and help you spot the incoming Brigands.	Postav {Structure}, abys zahájil osvobození Padstow a snáz zpozoroval přicházející Brigands.
But don't forget about the gambesons for me, I will pay you only for both things.	Ale nezapomeň na ty prošívané kabátce pro mě, zaplatím ti jen za obojí.
But then the Elder kicked my new friends out of the village for making trouble.	Ale pak stařešina mé nové přátele vyhnal z vesnice za dělání potíží.
Calita has finished the antidote, now it’s time to finally revert the wrongdoing of that mad man.	Calita dokončila protijed, teď je čas konečně napravit zlo toho šílence.
Calita seems suspicious that there was foul play with the water in the well. I should investigate further.	Calita má podezření, že s vodou ve studni někdo něco provedl. Měl bych to dál vyšetřit.
Campfire with a Big pot for cooking cheese. Requires wood to maintain the fire.	Táborák s velkým kotlem na výrobu sýra. K udržení ohně vyžaduje dřevo.
Campfire with a cauldron. Can cook various stews using water, herbs and a main ingredient. Requires wood to maintain the fire.	Táborák s kotlíkem. Lze vařit různé guláše z vody, bylin a hlavní přísady. K udržení ohně vyžaduje dřevo.
Can be acquired from Cassian's faction merchant in exchange of Doll's tears.	Lze získat od cassianského frakčního kupce výměnou za Panenčiny slzy.
Can be acquired from faction merchants in exchange of Doll's tears.	Lze získat od frakčních kupců výměnou za Panenčiny slzy.
Can be acquired from Halmayan's faction merchant in exchange of Doll's tears.	Lze získat od halmayanského frakčního kupce výměnou za Panenčiny slzy.
Can be crafted at Workbenches. Allows fishing but requires bait.	Lze vyrobit na pracovních stolech. Umožňuje rybolov, ale vyžaduje návnadu.
Can be crafted from copper. Used for building various structures.	Lze vyrobit z mědi. Používá se ke stavbě různých budov.
Can be eaten raw, dried, or added to other ingredients to make better dishes.	Lze jíst syrové, sušené nebo přidat k jiným přísadám pro lepší jídla.
Can be eaten raw, dried, or can be a part of the dish. Can be found around swamp areas.	Lze jíst syrové, sušené nebo jako součást jídla. Nachází se v okolí močálů.
Can be loaded if next stops have "unload rules" for this item, but will always keep at least the amount specified in stock.	Lze naložit, pokud další zastávky mají pro tento předmět „pravidla vykládky“, ale na skladě vždy zůstane alespoň zadané množství.
Can be proccessed into fertilizer. Can be found around swamp areas.	Lze zpracovat na hnojivo. Nachází se v okolí močálů.
Can be smelted into Steel to produce advanced items. Can be mined from iron rocks in mountains with a pickaxe.	Lze tavit na ocel pro výrobu pokročilých předmětů. Těží se krumpáčem ze železných skal v horách.
Can be used for crafting certain gear recipes and better quality arrows. Can be harvested from wild life.	Používá se k výrobě určité výbavy a kvalitnějších šípů. Získává se z divoké zvěře.
Can be used to expand abilities of your settlers in the inspect screen.	Lze použít k rozšíření schopností tvých osadníků na obrazovce prohlídky.
Can be used to expand your own abilities, or those of your settlers in the inspect screen.	Lze použít k rozšíření tvých vlastních schopností nebo schopností osadníků na obrazovce prohlídky.
Can be used to expand your own abilities, or those of your settlers in their inspect screen.	Lze použít k rozšíření tvých vlastních schopností nebo schopností osadníků na jejich obrazovce prohlídky.
Can be used to expand your own abilities, or those of your settlers.	Lze použít k rozšíření tvých vlastních schopností nebo schopností osadníků.
Can't leave me other beasts alone, not with them wolves prowlin' about.	Nemůžu nechat ostatní dobytek bez dozoru, ne když se tu potulují vlci.
Can't say I blame ya. These are me troubles, after all. Just wish I would be able to help poor Bessie myself.	Nemůžu ti to mít za zlé. Jsou to koneckonců moje trable. Jen bych si přál chudince Bessie pomoct sám.
Carlos was livid, calling me a fool for trusting a Cassian. Whatever good relationship I had with the Halmayans is gone now.	Carlos zuřil a nazval mě bláznem za to, že věřím Cassianovi. Ať jsem měl s Halmayany jakkoli dobré vztahy, teď jsou pryč.
Cassandra ordered me to find Luis Fuente - the Cassian scout. He will help me ‌find the convoy with Isa.	Cassandra mi nařídila najít Luise Fuenteho – cassianského zvěda. Pomůže mi najít konvoj s Isou.
Cecilio Baez refused to cooperate until a cold mug of beer would heal his hangover, and of course, I will have to bring it to him.	Cecilio Baez odmítl spolupracovat, dokud mu studený korbel piva nespraví kocovinu, a samozřejmě mu ho budu muset přinést já.
Cecilio ordered me to bring him a box from the smugglers.I have to hurry if I want to intercept their caravan in time.	Cecilio mi nařídil přinést mu bednu od pašeráků. Musím si pospíšit, jestli chci jejich karavanu včas zastavit.
Check the village elder to find out more about the pregnant woman.	Zajdi za stařešinou vesnice a zjisti víc o té těhotné ženě.
Cheers to you, friend! If you’re here for coin or company, you’ve picked wisely. Mostly coins, I hope.	Na zdraví, příteli! Jestli jsi tu kvůli mincím nebo společnosti, vybral sis dobře. Hlavně kvůli mincím, doufám.
