# Quests/SideQuests - delsi texty, 39. davka
Take this gold. Maybe next time I’ll invite you to a drink in my workshop. Just don’t rob me.	Vezmi si tohle zlato. Možná tě příště pozvu na skleničku do dílny. Jen mě neokraď.
Thank you traveler I’m so glad to see that people are eager to help a poor woman in need.	Děkuji ti, pocestný, jsem tak ráda, že lidé chtějí pomoci ubohé ženě v nouzi.
Thank you traveler. I’m so glad to see that there’s good people out there willing to help a woman in need.	Děkuji ti, pocestný. Jsem tak ráda, že jsou venku dobří lidé ochotní pomoci ženě v nouzi.
Thank you very much for your trouble. Don’t forget to talk with Elder Mott, surely he’ll personally want to thank you.	Mockrát ti děkuji za tvou námahu. Nezapomeň promluvit se stařešinou Mottem, jistě ti bude chtít poděkovat osobně.
Thank you! Now if you’ll excuse me, I need to get to work on this medicine before my husband gets back. Here’s your reward.	Děkuji! A teď mě omluv, musím se pustit do toho léku, než se můj muž vrátí. Tady máš odměnu.
Thank you! Now if you’ll excuse me, I need to get to work on this medicine. Here’s your reward.	Děkuji! A teď mě omluv, musím se pustit do toho léku. Tady máš odměnu.
Thank you! With your help, we might just make it through this winter after all. Here, take this as a token of my gratitude.	Děkuji! S tvou pomocí to snad přece jen přes zimu zvládneme. Tu máš, vezmi si to na znamení mé vděčnosti.
Thank you, dear. It's reassuring to know someone's looking into this. Please be careful out there.	Děkuji ti, drahý. Uklidňuje mě vědět, že to někdo prošetřuje. Dávej na sebe venku prosím pozor.
Thank you, friend, I will give them to Anna so she can start training our new village guardians.	Děkuji ti, příteli, dám je Anně, ať může začít cvičit naše nové strážce vesnice.
Thank you, friend. I’ll point out the route on your map. Be careful and good luck.	Děkuji ti, příteli. Vyznačím ti tu cestu na mapě. Buď opatrný a hodně štěstí.
Thank you, I can’t express how grateful I am. Please be careful, these men are dangerous.	Děkuji ti, nedokážu vyjádřit, jak jsem vděčný. Prosím tě, buď opatrný, ti muži jsou nebezpeční.
Thank you, I can’t wait to test it next time they try to rob me. This is for you, you earn it.	Děkuji, nemohu se dočkat, až to vyzkouším, až mě příště zkusí okrást. Tohle je pro tebe, zasloužil sis to.
Thank you, I quite literally owe you my life. Here, please take this as a token of my gratitude.	Děkuji ti, doslova ti dlužím život. Tu máš, vezmi si to prosím na znamení mé vděčnosti.
Thank you, my tools should be scattered around the village, maybe some ended up in the forest. I'm not sure, but I'm counting on you.	Děkuji, mé nářadí by mělo být rozházené po vsi, možná něco skončilo v lese. Nejsem si jistý, ale spoléhám na tebe.
Thank you, now I can help feed the village, and send some propositions to other villages.	Děkuji, teď mohu pomoct nakrmit vesnici a poslat nabídky do jiných vsí.
Thank you, this will greatly speed up preparations for the celebration. Take this for a job well done and of course, you are invited to the feast.	Děkuji, tohle přípravy slavnosti velmi urychlí. Vezmi si to za dobře odvedenou práci a samozřejmě jsi na hostinu zván.
Thank you, traveler. I knew you’d come around. I need garlic and flax. Once you gather them, I’ll brew the concoction to ease my husband’s symptoms.	Děkuji ti, pocestný. Věděla jsem, že si to rozmyslíš. Potřebuji česnek a len. Až je nasbíráš, uvařím odvar, který mužovy příznaky zmírní.
Thank you, truly. Here, please take this as a token of my gratitude. Your kindness gives me the strength to keep waiting for her.	Děkuji ti, upřímně. Tu máš, vezmi si to prosím na znamení mé vděčnosti. Tvá laskavost mi dává sílu na ni dál čekat.
Thank you. Before I go, I also found a journal in the possession of the killer. It seems to be an ancient text that he was trying to restore.	Děkuji. Než půjdu - u toho vraha jsem našel i deník. Zdá se, že je to prastarý text, který se pokoušel obnovit.
Thank you. I knew I could count on you. Start by building the archery range. Once that’s done, we’ll need a skilled archer to train the recruits.	Děkuji. Věděl jsem, že se na tebe mohu spolehnout. Začni stavbou střelnice. Až bude hotová, budeme potřebovat zkušeného lučištníka, aby nováčky vycvičil.
Thank you. Sometimes I wonder, if my fate were woven differently, I might have been one of those bandits.	Děkuji. Někdy přemýšlím, že kdyby byl můj osud utkán jinak, mohl jsem být jedním z těch lapků.
Thank you. Then please bring me soft log, hide, and rope. I know it seems like a lot, but believe me, I will reward you handsomely for your help.	Děkuji. Přines mi tedy prosím měkkou kládu, kůži a provaz. Vím, že to vypadá jako hodně, ale věř mi, za pomoc tě štědře odměním.
Thank you. This means a lot, not just to me, but to the village. We don't get much help these days.	Děkuji. Znamená to hodně, nejen pro mě, ale pro celou vesnici. V dnešních časech se nám pomoci moc nedostává.
Thank you. What the Queen doesn’t know is that I’ve called in a favor to find out where he’s being held.	Děkuji. Co královna neví, je že jsem si vyžádala laskavost a zjistila, kde ho drží.
Thank you. You might have just saved my life. Good luck with whatever you do here… I’ll keep my promise, and stay away.	Děkuji. Možná jsi mi právě zachránil život. Hodně štěstí ve všem, co tu děláš… Dodržím slib a budu se držet dál.
Thank you. Your help is like a fresh trail in a dense forest – much needed and appreciated.	Děkuji. Tvá pomoc je jako čerstvá stezka v hustém lese - velmi potřebná a ceněná.
Thank you. Your help will ensure our survival, we can hunt and defend ourselves from bandits.	Děkuji. Tvá pomoc zajistí naše přežití, můžeme lovit a bránit se lapkům.
Thanks for the help, and for the laugh. It's nice to see someone with a sense of humor about these things.	Díky za pomoc i za pobavení. Je hezké vidět někoho, kdo bere tyhle věci s humorem.
That actually sounds like a good idea. You deserve a chance to work. So you’re welcome to join me.	To vlastně zní jako dobrý nápad. Zasloužíš si příležitost pracovat. Takže se ke mně klidně přidej.
That can’t be! Hank’s got it all wrong. Serah’s just being' polite to him. I’m the one she’s really got eyes for.	To nemůže být! Hank to má celé špatně. Serah je na něj jen zdvořilá. Oči má doopravdy pro mě.
That cat! That curse! it’s clearly the source of all this misery. I can’t keep it here any longer. Please, you have to take it! Keep it in your home!	Ta kočka! Ta kletba! Je zjevně zdrojem vší té bídy. Nemohu ji tu déle nechat. Prosím tě, musíš si ji vzít! Nech si ji doma!
That could work. We definitely need more people who are willing to stand up to the bandits. I’d be happy for us to work together.	To by mohlo vyjít. Rozhodně potřebujeme víc lidí ochotných postavit se lapkům. Rád bych s tebou spolupracoval.
That hurts, not that I’m rejected, but that I let myself fight over a girl with my friend.	To bolí, ne že jsem odmítnut, ale že jsem se nechal s přítelem prát o dívku.
That is not for me to say, I am no expert. He could’ve been a delusional fanatic, blindly following something that has long been dead.	To nepřísluší mně soudit, nejsem znalec. Mohl to být poblouzněný fanatik, který slepě následuje něco dávno mrtvého.
That is not funny. Tell me what you want, or I will call the Brigands, you disrespectful child!	To není vtipné. Řekni mi, co chceš, nebo zavolám Brigands, ty neuctivé dítě!
That is not your call to make, you little shit! Ashbourne is going to lose his nut when he sees the chairs aren’t up to my high standards!	Do toho ti nic není, ty spratku! Ashbourne se zblázní, až uvidí, že ty židle nesplňují mé vysoké nároky!
That is unfortunate. But I am grateful for your assistance, and I am sure the villagers will be too. Take this as a reward.	To je nemilé. Ale jsem vděčný za tvou pomoc a jistě budou i vesničané. Vezmi si to jako odměnu.
That is… a shock. They have lived in the village for years without any incident. But I will trust you word and have them arrested.	To je… otřesné. Žijí ve vsi léta bez jediného výtržnictví. Ale dám na tvé slovo a nechám je zatknout.
That makes sense, I certainly never heard of you until now. But I have other questions.	To dává smysl, rozhodně jsem o tobě do teď nikdy neslyšel. Ale mám další otázky.
That rather suspicious that this hen is so well raised and you want to give it for free?	Není podezřelé, že je ta slepice tak dobře odchovaná a ty ji chceš dát zadarmo?
That seems fair and I understand it, I will speak with the Elder and I’m sure we can find a solution.	To zní poctivě a chápu to, promluvím se stařešinou a jistě najdeme řešení.
That way we can use the meat for a nice stew and make some clothes out of the hide. Yes, that’ll do nicely.	Tak můžeme z masa udělat pěkný guláš a z kůže ušít šatstvo. Ano, to bude výborné.
That will do nicely, as long as you don’t mention it’s for me! I’m not sure he’ll take kindly to aiding and abetting a smuggler…	To poslouží výtečně, pokud nezmíníš, že je to pro mě! Nejsem si jistý, že by mu bylo po chuti napomáhat pašerákovi…
That's a thought laden with risk, but these are desperate times, and they call for bold measures.	To je myšlenka plná rizika, ale jsou zoufalé časy a ty volají po smělých krocích.
That's a troubling question. It could be a warning to others who might investigate, or a twisted form of recruitment.	To je znepokojivá otázka. Mohlo to být varování pro další, kdo by pátrali, nebo zvrácená forma náboru.
That's all for the moment, thank you. Your assistance has been invaluable. Feel free to visit any time; we might need more help soon.	Prozatím to je vše, děkuji. Tvá pomoc byla neocenitelná. Přijď kdykoli; brzy možná budeme potřebovat další.
That's an interesting name for the tavern. I would like to ask you more questions.	To je zajímavé jméno pro krčmu. Rád bych ti položil další otázky.
That's easier said than done, but you might be onto something. I've been so caught up in trying to impress her, I've lost track of what I want.	To se snadno řekne, ale možná máš pravdu. Byl jsem tak zaujatý snahou ji ohromit, že jsem ztratil přehled, co chci já.
That's interesting. So, you really love books, huh? Can you tell me more about why books are so important to you?	To je zajímavé. Takže ty knihy opravdu miluješ, co? Povíš mi víc o tom, proč jsou pro tebe tak důležité?
That's interesting; it sounds more like a commandment than a prayer. I didn't expect our ancestors to have such advanced religious beliefs.	To je zajímavé; zní to spíš jako přikázání než modlitba. Nečekal jsem, že měli naši předci tak vyspělou víru.
That's quite a stark portrayal of their religious fervor. It raises questions about their rituals and beliefs.	To je dost drsné vylíčení jejich náboženské horlivosti. Vyvolává to otázky o jejich obřadech a víře.
That's reassuring. I need a batch of high-quality hoe and shovel. Dealing with family squabbles has left me short on time.	To mě uklidňuje. Potřebuji sadu kvalitní motyky a lopaty. Rodinné šarvátky mi sebraly čas.
That's righ’, the best shovels in the Lowlands! Sturdy as they come! How many do you need? Going treasure hunting, or just got a lot of digging?	Přesně tak, nejlepší lopaty v Nížinách! Pevnější neseženeš! Kolik jich potřebuješ? Jdeš hledat poklad, nebo máš jen hodně kopání?
That's the truth. In a village like this, there's always a story waiting to unfold. Keeps things interesting, it does.	To je pravda. V takové vsi vždycky čeká nějaký příběh, až se rozvine. Udržuje to věci zajímavé, to ano.
That’s a bit lower than I was expecting. Well, next time I’ll have to do it myself.	To je o něco míň, než jsem čekal. Inu, příště to budu muset udělat sám.
That’s a dangerous amount of faith you’ve got in me. But I’m not promising miracles.	To je nebezpečné množství víry, kterou do mě vkládáš. Ale zázraky neslibuji.
That’s a great dish with a few ingredients. Prepare animal feed and bring it to me, then I shall give you my precious hen.	To je skvělá krmě z několika přísad. Připrav krmivo a přines mi ho, pak ti dám svou drahocennou slepici.
That’s a very serious question. I don’t believe Anna would do something like that. Maybe her husband likes spicy food.	To je velmi vážná otázka. Nevěřím, že by Anna něco takového udělala. Možná má její muž rád ostré jídlo.
That’s between him and I. But I investigated, as you asked. So I want my payment.	To je mezi ním a mnou. Ale prošetřil jsem to, jak jsi žádal. Takže chci svou odměnu.
That’s concerning. But I know there are three people who have been in that area since yesterday. Perhaps you should speak with them and get to the bottom of it.	To je znepokojivé. Ale vím, že jsou tam od včerejška tři lidé. Možná bys s nimi měl promluvit a přijít tomu na kloub.
That’s enough! I’m not gonna get scammed by some charlatan! It would be cheaper to pay some Brigands to do it. Get out of my sight.	Dost! Nenechám se ošidit nějakým šarlatánem! Levnější by bylo zaplatit to Brigands. Zmiz mi z očí.
That’s fascinating! How do you and your fellow merchants deal with the current situation? With Brigands and all travel limitations in Lowlands?	To je úchvatné! Jak se ty a ostatní kupci vyrovnáváte se současnou situací? S Brigands a všemi těmi omezeními cestování v Nížinách?
That’s good news! Knowing we have eyes on the horizon eases my old heart. And the bandits? Have they been dealt with?	To je dobrá zpráva! Vědomí, že máme oči na obzoru, mému starému srdci ulevuje. A ti lapkové? Vypořádal ses s nimi?
That’s interesting. I found some tools near the cart that I’ve been told you might be familiar with.	To je zajímavé. Našel jsem u toho vozu nářadí, o kterém mi řekli, že bys ho mohl znát.
That’s not going to happen, friend. He stormed into our camp and picked a fight. We have to teach him a lesson.	To se nestane, příteli. Vtrhl do našeho tábora a vyvolal rvačku. Musíme mu dát lekci.
That’s not what I’m looking for. I wanted to ask some questions, I’m gathering information on a personal matter.	To nehledám. Chtěl jsem se na pár věcí zeptat, sbírám zprávy v osobní záležitosti.
That’s some bad luck, but you need a doctor, not a hunting job. Get yourself some help.	To je smůla, ale potřebuješ ranhojiče, ne lov. Sežeň si pomoc.
That’s unfortunate. But I’m grateful for your assistance, and I’m sure the villagers will be too. Take this as a reward.	To je nemilé. Ale jsem vděčný za tvou pomoc a jistě budou i vesničané. Vezmi si to jako odměnu.
That’s unfortunate. There is nothing we can do about that. Stopping the mines would be to stop our livelihood.	To je nemilé. Nic s tím dělat nemůžeme. Zastavit doly by znamenalo zastavit naši obživu.
That’s unfortunate. Without a skilled trainer, we’ll have to make do with what we have.	To je nemilé. Bez zkušeného cvičitele si budeme muset vystačit s tím, co máme.
That’s very concerning, given that a knight of his former stature should have been able to defend themselves.	To je velmi znepokojivé, vzhledem k tomu, že rytíř jeho někdejšího postavení by se měl umět ubránit.
That’s what you should do! Find some people willing to take this job. Padstow has mercenaries for hire, I believe.	Přesně to bys měl udělat! Najdi lidi ochotné vzít tu práci. Padstow má, myslím, žoldáky k pronájmu.
That’s where you come in. I need you to find out what bait the elder used. In return, I’ll reward you handsomely.	A tady přicházíš na řadu ty. Potřebuji, abys zjistil, jakou návnadu stařešina používal. Za to tě štědře odměním.
That’s why he’s often gone for so long. But we were both born here, and we don’t plan on leaving. We make it work.	Proto bývá tak dlouho pryč. Ale oba jsme se tu narodili a odejít nehodláme. Nějak to zvládáme.
That’s… a shock. They’ve lived near the village for years without any incident. But I will trust your word and have them arrested.	To je… otřesné. Žijí u vsi léta bez jediného výtržnictví. Ale dám na tvé slovo a nechám je zatknout.
The accusations change with each voice. Some say I summon spirits, others claim my hands bring illness instead of healing. What would you like to know?	Obvinění se mění s každým hlasem. Někteří říkají, že přivolávám duchy, jiní tvrdí, že mé ruce přinášejí nemoc místo léčení. Co bys rád věděl?
The archery range is fully built and I managed to convince a skilled archer to train the villagers. His name is Edward Barstow.	Střelnice je zcela postavená a podařilo se mi přemluvit zkušeného lučištníka, aby vesničany cvičil. Jmenuje se Edward Barstow.
The archery range is fully built, however I couldn’t convince the archer to train the villagers.	Střelnice je zcela postavená, ale toho lučištníka se mi přemluvit nepodařilo.
The bandits are causing great distress among our people, and I fear for their safety. We need someone with your skills to confront them.	Lapkové našim lidem způsobují velké soužení a já se bojím o jejich bezpečí. Potřebujeme někoho s tvými schopnostmi, aby se jim postavil.
The bandits are likely in a nearby camp. I can't just sit here, hammer in hand, doing nothing. But also I can’t rush there by myself.	Lapkové jsou nejspíš v blízkém táboře. Nemohu tu jen tak sedět s kladivem v ruce a nic nedělat. Ale ani se tam nemohu hnát sám.
The blacksmith is busy with the village guard’s equipment, trying to compensate for the Brigands’ inadequacy. With the state of the Lowlands, it’s a priority.	Kovář má plné ruce práce s výstrojí vesnické stráže, snaží se vyrovnat neschopnost Brigands. Ve stavu, v jakém jsou Nížiny, je to přednost.
The boars, they’re coming for me! I was barely able to get away from them, but I know they’ll be back to finish the job.	Ti kanci, jdou po mně! Sotva jsem jim unikl, ale vím, že se vrátí to dokončit.
The bonds between our people and the divine have grown fragile. Faith wanes among the villagers. We must act swiftly to mend this spiritual rift.	Pouta mezi naším lidem a božstvím zkřehla. Víra mezi vesničany slábne. Musíme jednat rychle a tu duchovní trhlinu zacelit.
The Book of the Overseer? I have never heard of such a thing. It could be something dangerous, or just the rantings of a mad man.	Kniha Dohlížitele? O ničem takovém jsem nikdy neslyšel. Může to být něco nebezpečného, nebo jen blouznění šílence.
The Book of the Overseer? I’ve never heard of such a thing. It could be something dangerous, or just the rantings of a mad man.	Kniha Dohlížitele? O ničem takovém jsem nikdy neslyšel. Může to být něco nebezpečného, nebo jen blouznění šílence.
The Brigands are dangerous because they’re well-organised and the trust amongst them is strong, there are no faults in their formation.	Brigands jsou nebezpeční, protože jsou dobře uspořádaní a důvěra mezi nimi je pevná, v jejich sestavě není trhlina.
