As soon as you’re done with Ashbourne, we’ll sit down and discuss it. Now go, gather your people.	Jakmile skoncuješ s Ashbournem, sedneme si a probereme to. Teď jdi, shromáždi své lidi.
Before you know it, you’ll be burdened with petty work and will have no time to come talk to me.	Než se naděješ, zavalí tě drobná práce a nebudeš mít čas si se mnou přijít popovídat.
Before you start sticking boots in unfortunate places, perhaps you should read this note.	Než začneš strkat boty na nešťastná místa, možná by sis měl přečíst tenhle lístek.
Begging? Hardly. I’m offering you a chance to keep your precious Mayor alive. Refuse, and you’ll be the one begging for mercy when Kug tightens his grip.	Prosit? Sotva. Nabízím ti šanci udržet tvého drahého purkmistra naživu. Odmítni, a budeš to ty, kdo bude prosit o milost, až Kug utáhne sevření.
Bell-what you say? First time hearin’ about it. So what’s your deal? You are some kind of master-ringer there?	Bell-co že říkáš? Slyším to poprvé. Tak o co ti jde? Jsi tam nějaký mistr zvoník nebo co?
Bellwright? Never heard of, not yet, at least. So what’s your deal here… Bellwright? Do you need something?	Bellwright? Nikdy jsem neslyšel, aspoň zatím. Tak o co ti tu jde… Bellwrighte? Potřebuješ něco?
Berthold Kug, master of Propaganda for Ashbourne. If you’ve seen any of those ridiculous written declarations around the Lowlands, it was his work.	Berthold Kug, Ashbourneův mistr propagandy. Jestli jsi po Nížinách viděl některou z těch směšných psaných vyhlášek, byla to jeho práce.
Between you and me? Isa’s always been… soft-hearted. If she wandered too far, she might’ve crossed paths with someone she shouldn’t have.	Mezi námi? Isa byla vždycky… měkkého srdce. Jestli zabloudila příliš daleko, mohla se střetnout s někým, s kým neměla.
Bold. Hm… fine. One of mine will march with your Halmayans during the assault. If he bleeds, I’ll know your true intent.	Smělé. Hm… dobrá. Jeden z mých půjde při útoku s tvými Halmayany. Jestli bude krvácet, poznám tvůj pravý záměr.
Both wait for your answer. My fate, and perhaps Cragkeep’s, rests on your choice. I will follow where you lead.	Oba čekají na tvou odpověď. Můj osud, a možná i osud Cragkeepu, závisí na tvé volbě. Půjdu, kam mě povedeš.
Bradford might be a lost cause, but Blackridgepool is having its own election very soon.	Bradford je možná ztracený případ, ale Blackridgepool bude mít velmi brzy vlastní volby.
Brigands were constantly warning him, throwing him out, and then, they had a… disagreement.	Brigands ho neustále varovali, vyhazovali ho, a pak došlo k… neshodě.
Brigands were constantly warning him, throwing him out, and then, we had a… disagreement.	Brigands ho neustále varovali, vyhazovali ho, a pak jsme měli… neshodu.
Burning Stove has been on his trail for a while. And their spies say he’s desperately trying to mend the division between the two.	Hořící kamna jsou mu už nějakou dobu na stopě. A jejich zvědové říkají, že se zoufale snaží zacelit rozkol mezi těmi dvěma.
But anyone trying to leave gets stopped and thrown into a cell. Ashbourne makes us work everyday to keep us weak. Many die from dehydration or illness.	Ale každého, kdo se pokusí odejít, zastaví a hodí do cely. Ashbourne nás nechává dřít každý den, aby nás udržel slabé. Mnozí umírají žízní nebo nemocí.
But as I said, it’s only an assumption from rumours I hear here, I’m just an innkeeper trying to get by.	Ale jak říkám, je to jen domněnka z řečí, co tu slýchám, jsem jen hostinský, co se snaží protlouct.
But continue helping people with whatever they may need, and soon you’ll have everyone’s favour.	Ale pomáhej lidem dál s tím, co potřebují, a brzy si získáš přízeň všech.
But do talk to her, she will be of great help to you, not simply regarding this situation with Lubomir, but even with other matters.	Ale promluv s ní, bude ti velkou pomocí, nejen v téhle záležitosti s Lubomirem, ale i v jiných věcech.
But do talk to the Elder about it. He will be able to give you better information about it.	Ale promluv o tom se stařešinou. Ten ti o tom poví víc.
But do talk with him, make him see that he’s in danger. Perhaps he’ll listen to you; strangers sometimes say what locals no longer can.	Ale promluv s ním, ať pochopí, že je v nebezpečí. Možná tě vyslechne; cizinci někdy říkají to, co místní už nemohou.
But fine, I’m in a good mood today, you can stay here but if you're gonna cause troubles, I’m gonna take both of your heads.	Ale dobrá, dnes mám dobrou náladu, můžeš tu zůstat, ale jestli budeš dělat potíže, vezmu vám oběma hlavy.
But good times didn’t last and after rebellion Falsgar came and kicked our arses out of the city to this lovely place.	Ale dobré časy netrvaly a po povstání přišel Falsgar a vykopal nás z města sem na tohle rozkošné místo.
But he doesn’t have any experience as a village leader. He doesn’t know what it takes to maintain the safety of a community.	Ale nemá žádné zkušenosti s vedením vesnice. Neví, co obnáší udržet obec v bezpečí.
But I am a person of a merciful nature, and I’m gonna give you one more chance to prove yourself. And you better take it.	Ale jsem milosrdné povahy a dám ti ještě jednu šanci se osvědčit. A radši se jí chop.
But I caught a glimpse of the person. They were wearing a cloak. A cloak bearing the very sigil you’ve been searching for.	Ale zahlédl jsem toho člověka. Měl na sobě plášť. Plášť s tím samým znakem, který hledáš.
But I didn’t call you just to give you compliments. We have an important discussion about Halmare. So please hear what I have to say.	Ale nezavolal jsem tě jen kvůli lichotkám. Čeká nás důležitá rozmluva o Halmare. Tak prosím vyslechni, co ti chci říct.
But I supposed at least he won’t be able to produce anymore of that poison. But if he gets out of prison just know that’s your responsability to bear.	Ale aspoň už nejspíš nebude moct vyrábět další ten jed. Jestli se ale dostane z vězení, věz, že to bude ležet na tvých bedrech.
But if he knows how to stab the Falsgar and stops opening his damn mouth, I can tolerate him.	Ale jestli umí bodnout Falsgar a přestane otvírat tu svou zatracenou hubu, snesu ho.
But if their ambition gets the Mayor free, then their treachery can wait until after.	Ale jestli jejich ctižádost osvobodí purkmistra, pak jejich zrada může počkat na potom.
But if there’s even a whiff of anything shady here, there’ll be backlash. And I think the Elder knows that. And he’s starting to crack under pressure.	Ale jestli tu bude byť jen závan něčeho nekalého, přijde odveta. A myslím, že stařešina to ví. A pod tlakem se začíná lámat.
But if what you say about yourself is true, you might prove to be useful. Right now, I have nothing for you.	Ale jestli je pravda, co o sobě říkáš, mohl bys být užitečný. Teď zrovna pro tebe nic nemám.
But in case we won't make it until dark we can sleep at my camp tonight, I have a spare bedroll. Tomorrow we should move at first light though.	Ale kdybychom to do setmění nestihli, můžeme dnes přespat v mém táboře, mám náhradní lůžko. Zítra bychom ale měli vyrazit za prvního světla.
But it all ended too soon, and now we bear a tighter yoke. Tired, frail people can not fight back, you see.	Ale všechno skončilo příliš brzy a teď neseme těsnější jho. Unavení, zesláblí lidé se bránit nedokážou, chápeš.
But it’s the Mayor. Like it or not, he holds our people together. Without him, Kug wins.	Ale je to purkmistr. Ať se ti to líbí nebo ne, drží náš lid pohromadě. Bez něj Kug vyhraje.
But know this: the moment we step back into Cragkeep, everything changes. Every ally, every threat… it all hinges on what you’ve done here.	Ale věz: v okamžiku, kdy vkročíme zpět do Cragkeepu, se všechno změní. Každý spojenec, každá hrozba… všechno závisí na tom, cos tu vykonal.
But knowing how you found that sigil changes things a bit. Maybe we should keep an eye out next time we go south.	Ale to, jak jsi ten znak našel, věci trochu mění. Možná bychom si měli dávat pozor, až příště půjdeme na jih.
But let's not forget how you have betrayed your own. All that trust, thrown into the sea.	Ale nezapomínejme, jak jsi zradil své vlastní. Všechna ta důvěra, hozená do moře.
But look at you. Standing before me, among the dead, at my uncle’s grave, of all places, thinking you end this with steel.	Ale podívej se na sebe. Stojíš přede mnou, mezi mrtvými, zrovna u hrobu mého strýce, a myslíš si, že to skončíš ocelí.
But loyalty demands action. Kug still sits fat and comfortable in his chair, and worse, someone in our circle betrayed us.	Ale věrnost žádá činy. Kug pořád sedí tlustý a pohodlný ve svém křesle, a co hůř, někdo z našeho kruhu nás zradil.
But maybe we strike a deal. You say I vanished. I vanish. Simple. You’ll simply say that when you got here, you couldn’t find me. How does that sound to you?	Ale možná se dohodneme. Ty řekneš, že jsem zmizel. Já zmizím. Prosté. Prostě řekneš, že když jsi sem dorazil, nemohl jsi mě najít. Jak ti to zní?
But not before we question him. He might know about that sigil you’ve been hunting for for so long.	Ale ne dřív, než ho vyslechneme. Možná ví o tom znaku, po kterém tak dlouho pátráš.
But now that you’re aware of it, you know what to do. Gather some people, corner Ashbourne, and slit his throat. Fun, right?	Ale teď, když to víš, víš, co dělat. Sežeň nějaké lidi, zažeň Ashbournea do kouta a podřízni mu hrdlo. Zábava, ne?
But people won’t be bullied into throwing away their freedoms by submitting to Ashbourne’s will. I need to believe that.	Ale lidé se nenechají zastrašit, aby zahodili svou svobodu a podřídili se Ashbourneově vůli. Tomu musím věřit.
But remember, we can’t let this go unchecked. The Falsgar must pay for what they have done.	Ale pamatuj, nemůžeme to nechat jen tak. Falsgar musí zaplatit za to, co provedli.
But remember, we need to make sure that no one from Sol should return to their base. I have plans for later, just for them.	Ale pamatuj, musíme zajistit, aby se nikdo ze Solu nevrátil na svou základnu. Mám s nimi plány na později.
But she’s also dangerous. Not to any of us, but to the established rule. I think she makes Ashbourne nervous.	Ale je také nebezpečná. Ne pro nikoho z nás, ale pro zavedený řád. Myslím, že Ashbournea znervózňuje.
But surely Ashbourne isn’t having people killed for learning about the rebellion!?	Ale Ashbourne přece nenechává lidi zabíjet za to, že se dozvěděli o povstání!?
But that doesn’t mean I can trust you. You could be working for Ashbourne, trying to infiltrate Burning Stove. Gods know we’ve had to deal with that before…	Ale to neznamená, že ti mohu věřit. Mohl bys pracovat pro Ashbournea a snažit se proniknout do Hořících kamen. Bohové vědí, že jsme to už zažili…
But that’s why we’re fighting back. To make sure this doesn’t happen to anyone else.	Ale právě proto se bráníme. Aby se to už nestalo nikomu dalšímu.
But the bandits are left to their devices mostly, unless they overstep and attack the villages, or one of our Lord’s men.	Ale bandité jsou většinou ponecháni sami sobě, pokud nepřestřelí a nezaútočí na vesnice nebo na některého z pánových mužů.
But the brigands won’t take this defiance lightly and they’ve been searching for him, trying to bring him to righteous justice.	Ale Brigands tu vzpouru neberou na lehkou váhu a pátrají po něm, aby ho předali spravedlivému soudu.
But the defiant, the ones who would raise his banner anew… they will find no mercy.	Ale ti vzdorovití, ti, kdo by znovu pozvedli jeho prapor… ti milost nenajdou.
But their paradise didn’t last long because the girl was kidnapped by Falsgar and your job is to take her back.	Ale jejich ráj netrval dlouho, protože tu dívku unesl Falsgar, a tvým úkolem je dostat ji zpátky.
But then, the missing people reports kept climbing. Mostly missing girls. I shudder to think those two might be connected, but it’s the only hint I have.	Ale pak hlášení o pohřešovaných přibývala. Většinou pohřešované dívky. Děsí mě pomyšlení, že by to mohlo souviset, ale je to jediná stopa, kterou mám.
But there’s one person, Michael Cross. He was rescued several weeks back, so he’s in good shape now. Go see him, he might know a thing or two about the sigil.	Ale je tu jeden člověk, Michael Cross. Zachránili ho před několika týdny, takže už je v pořádku. Zajdi za ním, možná o tom znaku něco ví.
But this time, do a better job. Losing Bartek wasn’t that tragic, but some of the boys started to complain.	Ale tentokrát odveď lepší práci. Ztráta Barteka nebyla taková tragédie, ale někteří hoši si začali stěžovat.
But what happens if she wins? If Ashbourne decides she’s pushing things too far? That’s what I’m worried about.	Ale co když vyhraje? Co když Ashbourne usoudí, že zachází příliš daleko? Toho se bojím.
But when rebellion stirred in the heart of the Kingdom, the King turned his gaze elsewhere. We were left defenseless.	Ale když se v srdci království vzedmulo povstání, král obrátil zrak jinam. Zůstali jsme bezbranní.
But you don’t know who they are, maybe those are criminals who were taken righteously. You can’t trust everyone you meet.	Ale nevíš, kdo jsou. Možná jsou to zločinci, které sebrali po právu. Nemůžeš věřit každému, koho potkáš.
But you have to promise me you’ll do whatever it takes to find her… And to bring her back. Promise me!	Ale musíš mi slíbit, že uděláš cokoli, abys ji našel… A přivedl zpátky. Slib mi to!
But you know, the liquor is for smart people, so the unlucky ones just can’t drink like responsible adults. I’m sure of it.	Ale víš, kořalka je pro chytré lidi, takže ti nešťastníci prostě neumějí pít jako zodpovědní dospělí. Tím jsem si jistý.
But you need to pick your moment to ask your questions, or it could end badly for you. Remember: be very careful who you trust.	Ale musíš si vybrat pravou chvíli na své otázky, jinak to pro tebe může skončit špatně. Pamatuj: dávej si velký pozor, komu věříš.
But you will have to hurry, the girl will be lost if the convoy reaches the port.	Ale budeš si muset pospíšit, jestli konvoj dorazí do přístavu, bude ta dívka ztracena.
But, in order for that to happen, you’ll need to build trust amongst the people. Doesn’t matter how nice your settlement is if people don’t trust you.	Ale aby se tak stalo, budeš si muset získat důvěru lidí. Nezáleží na tom, jak pěknou máš osadu, když ti lidé nevěří.
But, oh, to die in the place of someone I love is a good way to go, what a sweet death.	Ale, ach, zemřít místo někoho, koho miluji, je dobrý způsob, jak odejít. Jaká sladká smrt.
But, why? I don’t want to go back! Please! I love Edoardo, my father is wrong about him, he will keep me safe!	Ale proč? Nechci se vracet! Prosím! Miluji Edoarda, otec se v něm mýlí, on mě ochrání!
But, with YOUR investigation, we figured out that this has been happening because of a new refined version of Doll’s Tears.	Ale díky TVÉMU vyšetřování jsme zjistili, že se to děje kvůli nové, vylepšené verzi Panenčiných slz.
But. Now we’ll never know how he did it or how to make it better. At least Darek will be pleased with the outcome.	Ale. Teď se už nikdy nedozvíme, jak to dělal ani jak to vylepšit. Aspoň Darek bude s výsledkem spokojený.
