# Obsah hry, dávka 15 (K-L) - originál <TAB> překlad

# --- repliky ---
Leave me alone.	Nech mě být.
Long Sharp-bearded Axe	Dlouhá vousatá sekera
Labourer Shirt	Dělnická košile
Labourer Trousers	Dělnické kalhoty
Log Sling	Popruh na klády

# --- suroviny a jídlo ---
Leather	Useň
Leatherworking	Zpracování usně
Linen	Plátno
Log	Kláda
Lemon	Citron
Lemon Seeds	Semena citroníku
Lemon Tree	Citroník
Lemon tree	Citroník
Large Piece of Raw Meat	Velký kus syrového masa
Large Piece of Cooked Meat	Velký kus uvařeného masa
Large Piece of Burnt Meat	Velký kus spáleného masa
Left over organic matter from spoiling food.	Zbytky organické hmoty ze zkaženého jídla.

# --- zvířata ---
Lamb	Jehně
Lamb Carcass	Jehněčí mršina
Livestock	Hospodářská zvířata
Leopard Flamefish	Levhartí plamenka

# --- stavby a místa ---
Lake	Jezero
Lodge	Srub
Library	Knihovna
Livestock barn	Chlév
Livestock Barn	Chlév
Laundry Hanger	Sušák na prádlo
Laundry Hanger.	Sušák na prádlo.
Large Log Stack	Velká hromada klád
Log Cutting Station	Řezací stanoviště na klády
Log Splitting Place	Štípací místo na klády
Logging Camp	Dřevorubecký tábor
Logging Camp Storage	Sklad dřevorubeckého tábora
Logging Camp T2	Dřevorubecký tábor T2
Logging Tent	Dřevorubecký stan
Large Invasion Forces Encampment	Velký tábor vpádových sil
Kranek Shrine	Svatyně Kranek
Kug's Chamber	Kugova komnata
Kug's Chamber Bodyguard	Strážce Kugovy komnaty
Kug's Chamber Interior	Nitro Kugovy komnaty
Knitting Guild	Pletařský cech

# --- lidé ---
Labourer	Dělník
Lad	Hoch
Knowledgekeeper	Strážce vědění
Lighthouse Keeper	Strážce majáku
Light Infantry	Lehká pěchota
Light Infantry Militia	Lehkooděná domobrana

# --- rozhraní ---
Knowledge Books	Knihy vědění
Knowledge books & Library	Knihy vědění a knihovna
Learn skill by reading a book. Can't exceed the potential.	Dovednost se učíš četbou knihy. Přes svůj potenciál se nedostaneš.
Label	Popisek
LABEL	POPISEK
Land capability	Úrodnost půdy
Last meal 5 hours ago	Poslední jídlo před 5 hodinami
Lasting Type	Druh trvání
Leader:	Vůdce:
Leave	Odejít
Left Pouch Slot	Pozice na levý váček
Level	Úroveň
LEVEL UP	NOVÁ ÚROVEŇ
Limitations	Omezení
Liquids	Tekutiny
List of Spawns	Seznam míst oživení
Lives in	Bydlí v
Lives in Karvenia	Žije v Karvenii
Lives in a house that matches the settlement development	Bydlí v domě odpovídajícím rozvoji osady
Living fancy	Žije si nad poměry
Load game	Načíst hru
Load items / Buy	Naložit předměty / koupit
Loaded resources:	Naložené suroviny:
Loading	Načítání
Local Storage	Místní sklad
Lock	Zámek
Lock amount in the storage	Uzamkni množství ve skladu
Locomotion	Pohyb
LAYERS	VRSTVY
