# Quests/SideQuests - delsi texty, 37. davka
Now, we must make an offering to truly connect with the divine. Would you like to make an offering?	A teď musíme přinést obětinu, abychom se opravdu spojili s božstvím. Přeješ si obětovat?
Oh yes, she has won two village competitions, one here in Padstow when she was just a piglet and another in Farnworth. Isn’t she a beaut?	Ach ano, vyhrála dvě vesnická klání, jedno tady v Padstow, když byla ještě sele, a druhé ve Farnworthu. Není to krasavice?
Oh! Hahahaha! A jester?! Well, I’d say I’m a weaver of fine humor — among other things!	Ach! Hahaha! Šprýmař?! Inu, řekl bych, že jsem tkadlec vytříbeného humoru - mimo jiné!
Oh! Hello there. Not often we get new faces around here… well, not ones that aren’t causing trouble.	Ach! Zdravím. Nové tváře tu nevídáme často… tedy takové, co nedělají potíže.
Oh, absolutely! I'm Eliza Greenbergg, defender of the defenseless and sworn enemy of all things banditry! At your service!	Ach, rozhodně! Jsem Eliza Greenbergg, ochránkyně bezbranných a zapřisáhlá nepřítelkyně všeho lapkovského! K tvým službám!
Oh, absolutely. Those two have been at each other’s throats for years. But just because Norton’s got a grudge doesn’t mean he’s wrong.	Ach, rozhodně. Ti dva si jdou po krku už léta. Ale to, že má Norton zášť, neznamená, že se mýlí.
Oh, and I need new tools. Good ones. But Sambor the toolmaker is a master, he’ll have the best replacements.	Ach, a potřebuji nové nářadí. Dobré. Ale nástrojař Sambor je mistr, bude mít nejlepší náhradu.
Oh, and I'm also knitting some really intimidating sweaters for our brave defenders.	Ach, a taky pletu opravdu zastrašující svetry pro naše statečné obránce.
Oh, dearie, I’m just a simple soul, but I’ve got quite the tales to tell! I’ve lived in Haerndean for many moons.	Ach, drahoušku, jsem jen prostá duše, ale mám co vyprávět! Žiji v Haerndeanu už mnoho měsíců.
Oh, don’t worry. They’re harmless enough. Besides, a good brawl keeps things lively around here!	Ach, neboj. Jsou dost neškodní. A pořádná rvačka to tu ostatně udržuje živé!
Oh, him… What a pain in the arse. I’ve met people with dysentery who were more pleasant to deal with.	Ach, on… To je otrava. Potkal jsem lidi s úplavicí, se kterými se jednalo příjemněji.
Oh, I have no doubt someone as capable and resourceful as you can handle this with ease.	Ach, nepochybuji, že to někdo tak schopný a vynalézavý jako ty zvládne s lehkostí.
Oh, I've been tending this land for nigh on 20 years now, all my life really. It's been in my family for generations, and I hope to pass it on someday.	Ach, obdělávám tuhle půdu už bezmála dvacet let, vlastně celý život. Je v naší rodině po pokolení a doufám, že ji jednou předám dál.
Oh, indeed! Once, while gathering herbs at twilight, I felt a gentle breeze that whispered my name. It was as if the spirits were guiding me home!	Ach, vskutku! Jednou, když jsem za soumraku sbírala byliny, ucítila jsem jemný vánek, který zašeptal mé jméno. Jako by mě duchové vedli domů!
Oh, it gets even better. The farmer and the carpenter seem to have struck up an unlikely friendship. They're always sharing stories over a pint.	Ach, je to ještě lepší. Sedlák a tesař zřejmě navázali nečekané přátelství. Pořád si u piva vyprávějí.
Oh, it is. Fishes here work one way, one pull, and it’ll drag you into the muck. So either you’re strong, or you’ll be swamp food.	Ach ano. Zdejší ryby fungují jednoduše - jeden zátah a stáhne tě to do bahna. Takže buď jsi silný, nebo skončíš jako žrádlo bažiny.
Oh, it will. And here—your share for your contribution in disrupting their 'operations.	Ach, to ano. A tady - tvůj podíl za přispění k narušení jejich ‚podniků‘.
Oh, it's glorious beyond your wildest dreams! The Overseer has shown us visions of a world purged of the weak and unworthy.	Ach, je to slavnější než tvé nejdivočejší sny! Dohlížitel nám ukázal vidiny světa očištěného od slabých a nehodných.
Oh, joy. Fisherman’s tales again. Let's see… Ah, this script is archaic. Quite a challenge to decipher.	Ach, jaká radost. Zase rybářské báchorky. Podívejme… Ach, tohle písmo je prastaré. Rozluštit ho bude výzva.
Oh, my hidden gem is discovered! I trust the riddle was as entertaining for you as it was for me to stitch together!	Ach, můj skrytý klenot je objeven! Věřím, že tě ta hádanka bavila stejně jako mě její sešívání!
Oh, not in the slightest. I don’t even care about fishing, this was really just another job for me.	Ach, ani trochu. Rybaření mě vůbec nezajímá, byla to pro mě jen další práce.
Oh, thank you! Please check along and around the road. Perhaps he’s staying somewhere nearby.	Ach, děkuji ti! Prohlédni prosím cestu a její okolí. Možná se zdržuje někde poblíž.
Oh, we come from a far off island, nothing special to mention. But we always felt drawn to the continent and decided to set sail to help more people here.	Ach, pocházíme ze vzdáleného ostrova, nic zvláštního. Ale vždycky nás to táhlo na pevninu, tak jsme vypluli, abychom tu pomohli víc lidem.
Oh, well, I assure you, these inscriptions are more than just old words. They're a window into our heritage.	Ach, inu, ujišťuji tě, že ty nápisy jsou víc než jen stará slova. Jsou oknem do našeho dědictví.
Oh, well, there's not much to tell, really. I'm just a simple woman trying to make a new life here in Padstow with my husband.	Ach, inu, není moc co vyprávět. Jsem jen prostá žena, která si tu v Padstow s mužem buduje nový život.
Oh, we’re not welcome, are we not? Listen, mate, we go where we want, welcome or not. If you have a problem with it, speak to Lord Ashbourne.	Ach, tak my nejsme vítaní? Poslyš, kamaráde, chodíme, kam chceme, ať vítaní jsme nebo ne. Jestli s tím máš problém, promluv s lordem Ashbournem.
Oh, you talkin' about last night? Nothing serious… Just a misunderstanding, that’s all.	Ach, mluvíš o včerejšku? Nic vážného… Jen nedorozumění, nic víc.
Oh, you'd do that for me? I'd be very grateful, but watch yer back. These rogue Brigands are no laughing matter. You fancy a fight?	Ach, to bys pro mě udělal? Byl bych velmi vděčný, ale hlídej si záda. Ti zdivočelí Brigands nejsou k smíchu. Máš chuť na boj?
Oh, you'll hear all sorts in a place like this. Lately, it's all about those bandits causing a ruckus in the Lowlands. No good can come of it, mark my words.	Ach, na takovém místě uslyšíš ledacos. V poslední době jde hlavně o ty lapky, co v Nížinách dělají povyk. Nic dobrého z toho nevzejde, pamatuj na má slova.
Oh, you’d do that for me? I’d be mighty grateful, but watch yer back. These rogue Brigands ain’t no laughing matter. You fancy a fight?	Ach, to bys pro mě udělal? Byl bych náramně vděčný, ale hlídej si záda. Ti zdivočelí Brigands nejsou k smíchu. Máš chuť na boj?
Oh. Well, that’s not surprising. They push us around so often, it was only a matter of time before someone pushed back.	Ach. Inu, to není překvapivé. Strkají do nás tak často, že bylo jen otázkou času, kdy někdo strčí zpátky.
Oi, look what we got here! A big, brave hero, eh? What can we do for you on this fine day, brave hero?	Hej, podívejme, kohopak tu máme! Velký, statečný hrdina, co? Co pro tebe můžeme tenhle krásný den udělat, statečný hrdino?
Okay, whatever. That doesn't matter now, please just get rid of those boars and gather their tusks for my wife, okay?	Dobře, ať už. Na tom teď nezáleží, prostě se prosím zbav těch kanců a nasbírej pro mou ženu jejich kly, ano?
Old man, you deceived me. You were supposed to tell me about the old religion, but all this is is steps for building a shrine.	Staříku, oklamal jsi mě. Měl jsi mi vyprávět o starém náboženství, ale tohle je jen návod na stavbu svatyně.
On the other hand, I may have one other suggestion on how we can deal with this situation.	Na druhou stranu možná mám jiný návrh, jak tu situaci vyřešit.
Once the work is done, we’ll make sure you’re properly thanked, both in coin and in kind.	Až bude práce hotová, postaráme se, abys byl náležitě odměněn, mincemi i naturáliemi.
One day, a peasant child somehow got into the castle. She wasn’t there to cause any trouble, she was simply hungry.	Jednoho dne se do hradu nějak dostalo selské dítě. Nepřišlo dělat potíže, prostě mělo hlad.
One more thing, the Horndean Elder said that if you want to regain honor, you have to cut all ties with the crown.	Ještě jedna věc, horndeanský stařešina řekl, že chceš-li získat čest zpět, musíš přetnout všechny svazky s korunou.
Oscar Lanslet sent me. I'm investigating some strange occurrences in the village.	Posílá mě Oscar Lanslet. Vyšetřuji ve vsi podivné úkazy.
Oscar Lanslet, the bookseller in Haerndean, might be your best bet. He's got a head full of knowledge about all sorts.	Oscar Lanslet, knihkupec v Haerndeanu, bude tvá nejlepší naděje. Má hlavu plnou vědění o všem možném.
Our crew is trained to make sure that one person always retreats in case of danger. There’s no way the Brigands are aware of that.	Naše posádka je cvičená tak, aby v případě nebezpečí jeden člověk vždy ustoupil. Brigands o tom nemohou vědět.
Our distrust is mutual, so I’m not going to run any errands for some mystery gift.	Naše nedůvěra je vzájemná, takže po pochůzkách kvůli nějakému záhadnému daru běhat nebudu.
Our food supplies are stable for now, so I want to focus more on healing. But I can’t do everything by myself. This would be a waste of my precious time.	Zásoby jídla máme zatím jisté, takže se chci víc soustředit na léčení. Ale všechno sám nezvládnu. Byla by to škoda mého drahocenného času.
Our guards are stretched thin protecting the village. We need someone who can take the fight to the bandits directly.	Naše stráže jsou při ochraně vsi vyčerpané. Potřebujeme někoho, kdo lapkům boj přinese přímo.
Our lumber supply is running dangerously low. It's bringing construction to a halt across the village.	Naše zásoby dřeva nebezpečně docházejí. Zastavuje to stavby po celé vsi.
Our mutual acquaintance Viktor Yaxley got scared by some wolves and damaged his sword. Could you do something about it?	Náš společný známý Viktor Yaxley se lekl vlků a poškodil si meč. Mohl bys s tím něco udělat?
Our purpose is to help rebuild this wonderful village, and this magnificent country. We take a lot of pride in what we do.	Naším posláním je pomoct obnovit tuhle nádhernou vesnici i tuhle velkolepou zemi. Na to, co děláme, jsme velmi hrdí.
Our village exiled certain people long ago for cooperating with the crown. What’s even more disgusting is that they’re still doing it.	Naše vesnice kdysi vyhnala jisté lidi za spolupráci s korunou. Ještě odpornější je, že v tom pokračují dál.
Our village is usually peaceful, but lately, the constant arguing between Anna and Tomas has been unbearable. It’s like a storm that never ends.	Naše vesnice je obvykle klidná, ale poslední dobou jsou ty neustálé hádky mezi Annou a Tomasem nesnesitelné. Je to jako bouře, která nikdy neskončí.
Our village lives in fear. Bandits strike from the shadows, and none dare venture out after nightfall.	Naše vesnice žije ve strachu. Lapkové udeří ze stínů a po setmění se nikdo neodváží ven.
Our village was hit hard with famine and rebellion, and the situation has not gotten much better.	Naši vesnici tvrdě zasáhl hlad a vzpoura a situace se příliš nezlepšila.
Overcharging? That’s a strong accusation. I pride myself on offering quality books at reasonable prices.	Že přemrštěně účtuji? To je silné obvinění. Chlubím se tím, že nabízím kvalitní knihy za rozumné ceny.
People get comfortable. Comfortable people don’t notice danger until it’s too late.	Lidé zpohodlní. A pohodlný člověk si nebezpečí nevšimne, dokud není pozdě.
People have started disappearing without a trace. It’s as if they’ve vanished into thin air.	Lidé začali beze stopy mizet. Jako by se vypařili.
People in the Lowlands get harassed by bandits all the time. I can only do so much, and the Brigands don’t care. I want you to help.	Lapkové v Nížinách obtěžují lidi neustále. Já toho zmohu jen tolik a Brigands je to jedno. Chci, abys pomohl.
Perfect! So, first thing’s first, I need you to bring me some wooden logs for the handles, and I can take care of saws and ax heads.	Dokonalé! Takže nejdřív potřebuji, abys mi přinesl dřevěné klády na násady, a já se postarám o listy pil a sekerová ostří.
Perhaps if you approach him quietly, by yourself, you can apprehend him before he escapes. I’ll mark his last known hideout on your map.	Možná když se k němu přiblížíš tiše a sám, dokážeš ho zadržet dřív, než uteče. Označím ti na mapě jeho poslední známý úkryt.
Perhaps you are a great warrior and a great leader. But I can’t know for certain until you’ve proven yourself.	Možná jsi skvělý válečník i skvělý vůdce. Ale jistě to vědět nemohu, dokud se neosvědčíš.
Perhaps you could recruit them to work with you. Spread Burning Stove out so we can’t be cornered in one place.	Možná bys je mohl získat ke spolupráci. Rozptýlit Hořící kamna, ať nás nezaženou do kouta na jednom místě.
Perhaps you should consider a change in livelihood and become the Queen's fool. I will be taking my reward now.	Možná bys měl zvážit změnu povolání a stát se královniným šaškem. Teď si vezmu svou odměnu.
Perhaps, but something about it just felt… surreal. Be cautious if you're going to investigate, won't you?	Snad, ale bylo na tom něco… neskutečného. Buď opatrný, jestli to půjdeš prošetřit, ano?
Personal or not, you're stirring up things best left forgotten. We can't have that.	Osobní nebo ne, vyhrabáváš věci, které je lepší nechat zapomenuté. To dopustit nemůžeme.
Plan’s simple: you’ll help me finish the work and I’ll hand over part of my payment from Robin to you. Right?	Plán je prostý: pomůžeš mi práci dokončit a já ti předám část své odměny od Robina. Ano?
Playing the messenger is not my cup of tea, but when there’s coin to be made, I’m flexible.	Dělat posla není zrovna můj šálek čaje, ale když jsou ve hře mince, jsem pružný.
Please accept this reward, and know that I’ll tell your praises throughout Farnworth.	Přijmi prosím tuto odměnu a věz, že tvou chválu roznesu po celém Farnworthu.
Please ask around and check if this might be some kind of threat to the village. Better safe than sorry.	Poptej se prosím a zjisti, jestli to není nějaká hrozba pro vesnici. Lepší předcházet než litovat.
Please don’t be ridiculous! I’ve seen rats do more work than them. Unless it affects them directly, they don’t want to hear anything about it.	Prosím tě, nebuď směšný! Viděl jsem krysy, co odvedly víc práce než oni. Dokud se jich to netýká přímo, nechtějí o tom nic slyšet.
Please get back to work! I need to make this medicine fast or my husband’s condition will get worse.	Prosím tě, vrať se do práce! Musím ten lék připravit rychle, jinak se stav mého muže zhorší.
Please take this letter to my friend Osbert Coburns, he lives in a hut near Crasmere. I can’t move with my leg right now, and time is of the essence.	Odnes prosím tenhle dopis mému příteli Osbertu Coburnsovi, bydlí v chatrči u Crasmere. S touhle nohou se teď nemohu hýbat a čas kvapí.
Please take this, I know Anna will not pay you for your work, but you earned this reward.	Vezmi si to prosím, vím, že ti Anna za práci nezaplatí, ale tuhle odměnu sis zasloužil.
Please traveler, did you find some time to help me with this lost fertilizer? My wife will be furious if I don’t handle it before she returns.	Prosím tě, pocestný, našel sis čas pomoct mi s tím ztraceným hnojivem? Má žena bude zuřit, jestli to nevyřídím dřív, než se vrátí.
Please, be hasty in your decision, if we don’t act now, the village might not survive the next attack.	Prosím tě, rozhodni se rychle, jestli nezasáhneme hned, vesnice další útok nemusí přežít.
Please, I don't know when my husband will be back and my due date is getting closer.	Prosím tě, nevím, kdy se můj muž vrátí, a termín se blíží.
Please, I know you don’t trust me. But I’m being honest with you right now, I need your help.	Prosím tě, vím, že mi nevěříš. Ale teď jsem k tobě upřímný, potřebuji tvou pomoc.
Please, I need your help. My wife might be even worse than bandits. I beg you to come back when you find some time for me.	Prosím tě, potřebuji tvou pomoc. Má žena může být horší než lapkové. Prosím tě, vrať se, až si na mě najdeš čas.
Please, let's make a deal then. I'll pay you 100 gold coins once we reach Bradford.	Prosím tě, dohodněme se tedy. Zaplatím ti 100 zlatých, jakmile dorazíme do Bradfordu.
Please, you must help me with my situation… My life will be over if this gets you.	Prosím tě, musíš mi s mou situací pomoct… Můj život skončí, jestli se to provalí.
Poor harvest this year, too little grain. We can’t make ale without it, and the barrels ran dry faster than expected.	Letos byla špatná sklizeň, málo obilí. Bez něj pivo neuvaříme a sudy vyschly rychleji, než jsme čekali.
Proof? I’ve got my son’s nightmares and the whispers of the village. But if you want more, go look at her hut.	Důkazy? Mám noční můry svého syna a šeptandu vesnice. Ale jestli chceš víc, běž se podívat k její chatrči.
Quiet. Usually. Farming, trading, the occasional argument over whose goat is whose.	Klid. Obvykle. Hospodaření, obchod, občasná hádka o to, čí koza je čí.
Quite an interesting life you’re leading. I’ll see what I can do about that rawhide.	Vedeš docela zajímavý život. Uvidím, co s tou surovou kůží zmohu.
Rather than just being comfortable with things as they are under our so-called leader…	Místo abychom se spokojili s tím, jak to je pod naším takzvaným vůdcem…
