A good plan. We'll train and equip them well.	Dobrý plán. Dobře je vycvičíme a vyzbrojíme.
Friend, you showed that you deserve the title of Protector, our hearts are burning to stand against the oppressors. Our best archers are yours. Are you ready to hunt?	Příteli, ukázal jsi, že si zasloužíš titul Ochránce, naše srdce hoří touhou postavit se utlačovatelům. Naši nejlepší lučištníci jsou tví. Jsi připraven na lov?
Good. Remember, the brigands' vengeance will be swift and brutal. They may even target your own settlement. The louder our cry for freedom, the harsher their retribution…	Dobře. Pamatuj, odplata Brigands bude rychlá a krutá. Mohou se zaměřit i na tvou vlastní osadu. Čím hlasitěji voláme po svobodě, tím tvrdší bude jejich trest…
Have you changed your mind? Failure is not a reason to give up completely. We need to rebuild and try one more time. Let our mistakes be a lesson to us as we fight our oppressors.	Rozmyslel sis to? Neúspěch není důvod to úplně vzdát. Musíme znovu vybudovat, co padlo, a zkusit to ještě jednou. Ať jsou nám naše chyby poučením v boji s utlačovateli.
I know that we failed in liberating the land last time, but our will was not broken. As we speak, Klara is preparing to rise again. Can we count on you?	Vím, že se nám minule nepodařilo zemi osvobodit, ale naše vůle zlomena nebyla. Právě teď se Klara chystá znovu povstat. Můžeme s tebou počítat?
I'm ready to fight for Horndean. We need to finally become united.	Jsem připraven bojovat za Horndean. Musíme se konečně sjednotit.
Indeed, the fallen peers shall be avenged and Blackridgepool freed. Our belltower needs to be rebuilt even better and sturdier to show the Brigands that we are not afraid no matter what they will throw at us.	Vskutku, padlí druhové budou pomstěni a Blackridgepool osvobozen. Naše zvonice musí být postavena znovu, ještě lépe a pevněji, aby Brigands viděli, že se nebojíme, ať na nás pošlou cokoli.
Indeed, the price of liberty is eternal vigilance. Our oppressors will not take kindly to this affront. They will send reclamation parties, determined to seize back what we've so fiercely claimed.	Vskutku, cenou za svobodu je věčná ostražitost. Naši utlačovatelé tuhle urážku nepřijmou vlídně. Pošlou trestné výpravy, odhodlané vzít si zpět, co jsme tak zuřivě dobyli.
It wasn't easy, but the Ashbourne people are defeated, the bell tower stands tall, and the villagers are safe. Haerndean is finally free.	Nebylo to snadné, ale Ashbourneovi lidé jsou poraženi, zvonice stojí vysoko a vesničané jsou v bezpečí. Haerndean je konečně svobodný.
It's done. We are finally free! No more Brigands! Thank you, my friend. We will follow you wherever you want us, we will serve you.	Je to hotovo. Jsme konečně svobodní! Už žádní Brigands! Děkuji, příteli. Půjdeme za tebou, kam budeš chtít, budeme ti sloužit.
It’s hard to admit mistakes, friend, but your help made me see the truth of my actions. I shouldn’t have made alliances with the crown and Ashbourne.	Je těžké přiznat chyby, příteli, ale tvá pomoc mi otevřela oči. Neměl jsem uzavírat spojenectví s korunou a Ashbournem.
I’m glad that your fighting spirit is resonating with ours, the Gods have blessed us. Now we need to build the Belltower to have the advantage over the Brigands.	Jsem rád, že tvůj bojovný duch souzní s naším, bohové nám požehnali. Teď musíme postavit zvonici, abychom měli nad Brigands výhodu.
I’m glad to hear it. Let’s rebuild the belltower and prepare for retaliation. The foundation of our liberation shall be stronger this time. Klara is training with the villagers as we speak. Will you help us again?	To rád slyším. Postavme znovu zvonici a připravme se na odvetu. Základy našeho osvobození budou tentokrát pevnější. Klara právě cvičí s vesničany. Pomůžeš nám znovu?
Let’s focus on things that are waiting ahead of us. We need to build the belltower to set everything in motion. When the bell tolls, the stationed garrison will turn against us and become our enemy. This step will put everyone at risk, so keep your resolve and prepare for their severe response.	Soustřeďme se na to, co nás čeká. Musíme postavit zvonici, abychom všechno uvedli do pohybu. Když zvon zazní, zdejší posádka se obrátí proti nám a stane se naším nepřítelem. Tento krok všechny ohrozí, tak zůstaň odhodlaný a připrav se na jejich tvrdou odpověď.
Maybe we are not a village of fighters or skilled archers like Bradford, but our men are strong as an ox from farming all day. We will be ready for the garrison’s retaliation.	Možná nejsme vesnice bojovníků ani zkušených lučištníků jako Bradford, ale naši muži jsou z celodenní práce na polích silní jako býci. Na odvetu posádky budeme připraveni.
Once that bell rings, the stationed garrison will become hostile and act as our enemy. This will endanger everyone, so brace yourself and be ready for their harsh retaliation.	Jakmile ten zvon zazní, zdejší posádka se obrátí proti nám a stane se naším nepřítelem. To všechny ohrozí, tak se obrň a připrav na jejich tvrdou odvetu.
Please, Protector, can you lead us, as a friend to our community? Let’s make Blackridgepool free again, and after that, all the Lowlands.	Prosím, Ochránce, můžeš nás vést, jako přítel naší obce? Učiňme Blackridgepool znovu svobodným, a potom celé Nížiny.
Precisely, Protector. Furthermore, your expertise can guide us in enhancing our defenses and livelihood. Various village improvements can be constructed – granaries, smithies, training grounds, and more. They will not only strengthen Haerndean but also show your continued dedication to our cause.	Přesně tak, Ochránce. Navíc nás tvé zkušenosti mohou vést při zlepšování obrany i živobytí. Lze postavit různá vylepšení vesnice – sýpky, kovárny, cvičiště a další. Nejen posílí Haerndean, ale také ukážou tvou trvalou oddanost naší věci.
Protector, our fighting spirit was not defeated that easily. We are ready again to try and break the shackles that bind us to Ashbourne. This time we will not fail, we know their weakness and their tactics.	Ochránce, náš bojovný duch se tak snadno porazit nedal. Jsme znovu připraveni pokusit se zlomit okovy, které nás poutají k Ashbourneovi. Tentokrát neselžeme, známe jejich slabiny i taktiku.
Protector, you've ushered in a dawn that many feared would never break over Haerndean. The garrison lies defeated, a testament to your courage and of those who rose alongside you.	Ochránce, přivedl jsi úsvit, o němž se mnozí báli, že nad Haerndeanem nikdy nevzejde. Posádka leží poražena, svědectví tvé odvahy i odvahy těch, kdo povstali s tebou.
Same for me, my friend, yet our struggle is not over. We need to prepare for the Brigands retaliation. They will not surrender our village that easily.	Já také, příteli, ale náš boj ještě neskončil. Musíme se připravit na odvetu Brigands. Naši vesnici se tak snadno nevzdají.
Thank you for your honesty. This task is not to be taken lightly. When we rise, the garrison will turn its weapons against us all, without discrimination. Caution guides your words. We'll wait until you deem us ready.	Děkuji za upřímnost. Tento úkol nelze brát na lehkou váhu. Až povstaneme, posádka obrátí zbraně proti nám všem, bez rozdílu. Tvá slova vede opatrnost. Počkáme, dokud nás neuznáš za připravené.
Thank you. Before we start, we need to construct a tall, sturdy Belltower. This will be essential for signaling the start of the rebellion. Be aware that once the bell tolls, the stationed garrison will become hostile and turn into our enemy.	Děkuji. Než začneme, musíme postavit vysokou, pevnou zvonici. Bude nezbytná k ohlášení začátku povstání. Věz, že jakmile zvon zazní, zdejší posádka se obrátí proti nám a stane se naším nepřítelem.
Thanks to your leading by example, the people of Blackridgepool are now full of hope and willing to fight for their freedom. We will not be exploited by Ashbourne, and we will not be intimidated by the brigands.	Díky tvému příkladu jsou lidé z Blackridgepoolu plní naděje a ochotní bojovat za svobodu. Nenecháme se vykořisťovat Ashbournem a nenecháme se zastrašit Brigands.
That was not an easy fight. Remember, Ashbourne will not give up easily on Farnworth. His Brigands are surely preparing for a counter-offensive.	To nebyl snadný boj. Pamatuj, Ashbourne se Farnworthu snadno nevzdá. Jeho Brigands se jistě chystají na protiútok.
That’s what I wanted to hear. Before we can start, a tall, sturdy Belltower must be built. It will serve as the critical signal to launch the rebellion. Remember, once the bell tolls, the stationed garrison will become hostile and turn against us.	To jsem chtěl slyšet. Než začneme, musí být postavena vysoká, pevná zvonice. Bude klíčovým znamením k zahájení povstání. Pamatuj, jakmile zvon zazní, zdejší posádka se obrátí proti nám.
The road ahead is a serpent - unpredictable and treacherous. You have ignited a war. Enemy will regroup and come for us with all their fury. Our liberation is but the first chapter of many in this struggle.	Cesta před námi je jako had – nevyzpytatelná a zrádná. Zažehl jsi válku. Nepřítel se přeskupí a přijde po nás s celou svou zuřivostí. Naše osvobození je jen první kapitolou z mnoha v tomto boji.
The time has come once more. We've tasted defeat before, but we've rebuilt, stronger and wiser. You came to the Lowlands, breathed life back into this place, and earned our trust.	Znovu nadešel čas. Okusili jsme porážku, ale znovu jsme vybudovali, co padlo, silnější a moudřejší. Přišel jsi do Nížin, vdechl tomuto místu život a získal naši důvěru.
The time has come. We are ready to liberate ourselves from Ashbourne’s control. You came here to the Lowlands, you built a strong community, and gained our trust.	Nadešel čas. Jsme připraveni osvobodit se z Ashbourneovy nadvlády. Přišel jsi do Nížin, vybudoval silnou obec a získal naši důvěru.
This action will place everyone in serious danger. Be bold and prepare for their harsh response. Their blades will no longer distinguish between man, woman, or child.	Tento čin uvede všechny do vážného nebezpečí. Buď smělý a připrav se na jejich tvrdou odpověď. Jejich čepele už nebudou rozlišovat mezi mužem, ženou a dítětem.
We are a small and young community, and we wanted to make things easier for ourselves. Now we want to change and be free, could you be so kind and to help us as our first Protector?	Jsme malá a mladá obec a chtěli jsme si to usnadnit. Teď se chceme změnit a být svobodní. Byl bys tak laskav a pomohl nám jako náš první Ochránce?
We are in your debt, friend. Without you, liberation wouldn't be possible. We will not give our crops to Ashbourne, that dog! Our rich soil will only be used to solve the hunger crisis in the Lowlands.	Jsme tvými dlužníky, příteli. Bez tebe by osvobození nebylo možné. Nedáme svou úrodu Ashbourneovi, tomu psu! Naše úrodná půda poslouží jen k zažehnání hladu v Nížinách.
We are united, but please don’t let victory blind you. It's just the beginning. We need to prepare for future attacks from brigands.	Jsme sjednoceni, ale prosím, nenech se vítězstvím oslepit. Je to jen začátek. Musíme se připravit na další útoky Brigands.
We have to rebuild everything that we lost last time. Remember that a belltower, tall and vigilant, will be our eyes on the horizon.	Musíme znovu postavit vše, co jsme minule ztratili. Pamatuj, že zvonice, vysoká a bdělá, bude našimi očima na obzoru.
We have to rebuild everything that we lost last time. Remember that a Belltower, tall and vigilant, will be our eyes on the horizon.	Musíme znovu postavit vše, co jsme minule ztratili. Pamatuj, že zvonice, vysoká a bdělá, bude našimi očima na obzoru.
We must fortify, not just with stones and timber, but with the hearts and arms of every willing soul. I propose we form a militia, volunteers from our own people who will bear arms to defend their kin and soil.	Musíme se opevnit, nejen kamenem a dřevem, ale srdci a pažemi každé ochotné duše. Navrhuji utvořit milici, dobrovolníky z našich lidí, kteří pozvednou zbraně na obranu svých blízkých a své půdy.
Wisdom must walk hand in hand with bravery. We'll need a belltower, high and strong, to see the enemy battalion from afar.	Moudrost musí kráčet ruku v ruce s odvahou. Budeme potřebovat zvonici, vysokou a pevnou, abychom nepřátelský prapor viděli zdálky.
Wisdom walks hand in hand with bravery, indeed. A belltower, tall and vigilant, will be our eyes on the horizon. You need to rebuild it. Everything that we lost last time.	Moudrost vskutku kráčí ruku v ruce s odvahou. Zvonice, vysoká a bdělá, bude našimi očima na obzoru. Musíš ji postavit znovu. Vše, co jsme minule ztratili.
Wise, we should not be throwing away lives easily.	Moudré, neměli bychom lehkovážně zahazovat životy.
Yes, but I don’t think we should celebrate yet.	Ano, ale nemyslím, že bychom měli už slavit.
Yes, she was a sight to behold. But this is not over, the Brigands are gonna try to get the Crasmere back.	Ano, byla to podívaná. Ale ještě není konec, Brigands se pokusí získat Crasmere zpět.
Yes, the time has come for revenge.	Ano, nadešel čas pomsty.
You are right, my friend. The village needs to prepare to defend itself.	Máš pravdu, příteli. Vesnice se musí připravit na obranu.
You can count on me, but I need to make some preparations first.	Můžeš se na mě spolehnout, ale nejdřív musím udělat nějaké přípravy.
You did it! Padstow breathes freely again. Your strength has brought hope to these lands.	Dokázal jsi to! Padstow zase volně dýchá. Tvá síla přinesla těmto zemím naději.
You did it! You've brought freedom for us. After all these years I can feel that we can finally have a chance for a better life.	Dokázal jsi to! Přinesl jsi nám svobodu. Po všech těch letech cítím, že konečně máme šanci na lepší život.
You did it! You've brought freedom to us. After all these years, Bradford is free!	Dokázal jsi to! Přinesl jsi nám svobodu. Po všech těch letech je Bradford svobodný!
You did it! You've brought freedom to us. After all these years, I feel like we finally have a chance for a better life.	Dokázal jsi to! Přinesl jsi nám svobodu. Po všech těch letech cítím, že konečně máme šanci na lepší život.
You did it! You've defeated the garrison!	Dokázal jsi to! Porazil jsi posádku!
You never failed us my friend, we know that the Brigands are tough prey.	Nikdy jsi nás nezklamal, příteli, víme, že Brigands jsou tvrdá kořist.
You've defeated them!	Porazil jsi je!
You've gathered a devoted following, and the people of Padstow trust you and see you as their protector, poised to free them from Lord Ashbourne's dominance.	Shromáždil jsi oddané stoupence a lid Padstow ti věří a vidí v tobě svého ochránce, připraveného osvobodit je z nadvlády lorda Ashbournea.
Your valor is commendable, but remember, the depth of their vengeance will seek to match the extent of your aggression. The more forcefully you engage them, the more perilous the counterstrikes will become. Balance your bravery with wisdom.	Tvá statečnost je chvályhodná, ale pamatuj, hloubka jejich pomsty bude odpovídat míře tvé útočnosti. Čím tvrději na ně udeříš, tím nebezpečnější budou jejich protiúdery. Vyvažuj odvahu moudrostí.
Your words bear the weight of caution… I understand your decision. We will wait for you to be ready.	Tvá slova nesou tíhu opatrnosti… Chápu tvé rozhodnutí. Počkáme, až budeš připraven.
Your words give me hope. To initiate the rebellion, we first need to construct a tall and solid Belltower. This structure will mark the beginning of our fight. Once the bell rings, the stationed garrison will immediately become hostile and our enemy.	Tvá slova mi dávají naději. K zahájení povstání musíme nejdřív postavit vysokou a pevnou zvonici. Tato stavba bude znamenat začátek našeho boje. Jakmile zvon zazní, zdejší posádka se okamžitě obrátí proti nám.
You’ve gained our trust. Our folks will take tools that can be used as weapons and stand with you to fight for our freedom.	Získal jsi naši důvěru. Naši lidé vezmou nástroje, které poslouží jako zbraně, a postaví se s tebou do boje za naši svobodu.
Alright, should I take it?	Dobrá, mám si to vzít?
No, wait, I'll come back later.	Ne, počkej, vrátím se později.
Yes, I'll bring the rest soon.	Ano, zbytek brzy přinesu.
